date,nav_old_sf_kd,nav_finband_kd,nav_old_sf_kd_a05,nav_new_live
2013-03-12,529011825.7836935,529007380.68919796,529000533.3972822,529008427.94885397
2013-03-13,528849275.7836935,528843480.68919796,528821233.3972822,528826627.94885397
2013-03-14,527879575.7836935,527876330.68919796,527871083.3972822,527880777.94885397
2013-03-15,527208275.7836935,527201680.68919796,527190433.3972822,527203077.94885397
2013-03-18,518848125.7836935,518844230.68919796,518853933.3972822,518864577.94885397
2013-03-19,518572925.7836935,518568680.68919796,518569583.3972822,518583677.94885397
2013-03-20,515809675.7836935,515806180.68919796,515822633.3972822,515837327.94885397
2013-03-21,515397275.7836935,515394980.68919796,515405183.3972822,515421277.94885397
2013-03-22,512987975.7836935,512985580.68919796,512993983.3972822,513010377.94885397
2013-03-25,520369675.7836935,520366730.68919796,520373283.3972822,520387077.94885397
2013-03-26,518465125.7836935,518462380.68919796,518487583.3972822,518496827.94885397
2013-03-27,522695275.7836935,522692380.68919796,522700933.3972822,522712677.94885397
2013-03-28,521252725.7836935,521250030.68919796,521263783.3972822,521274077.94885397
2013-03-29,523544925.7836935,523543480.68919796,523547133.3972822,523557177.94885397
2013-04-01,521478475.7836935,521475030.68919796,521481483.3972822,521487577.94885397
2013-04-02,520015525.7836935,520011280.68919796,520016883.3972822,520020627.94885397
2013-04-03,522212125.7836935,522208780.68919796,522207133.3972822,522217677.94885397
2013-04-08,508408775.7836935,508408530.68919796,508433783.3972822,508441777.94885397
2013-04-09,508983725.7836935,508983930.68919796,509013933.3972822,509026927.94885397
2013-04-10,508870225.7836935,508871980.68919796,508905683.3972822,508924277.94885397
2013-04-11,511002825.7836935,511003580.68919796,511023183.3972822,511039177.94885397
2013-04-12,509745675.7836935,509746580.68919796,509771233.3972822,509784877.94885397
2013-04-15,507239625.7836935,507238980.68919796,507273883.3972822,507281427.94885397
2013-04-16,506220125.7836935,506219630.68919796,506252933.3972822,506256927.94885397
2013-04-17,500860125.7836935,500861880.68919796,500910583.3972822,500915477.94885397
2013-04-18,501007925.8319394,501010408.47644037,501046709.1516197,501054653.70319146
2013-04-19,508628375.8319394,508630508.47644037,508635609.1516197,508641553.70319146
2013-04-22,509371311.5239155,509374417.30040246,509386644.92987156,509393000.1249419
2013-04-23,510236211.5239155,510237167.30040246,510242994.92987156,510247200.1249419
2013-04-24,512601743.1678736,512650917.30040246,512589426.57382965,512644600.1249419
2013-04-25,511459743.1678736,511476367.30040246,511464426.57382965,511483850.1249419
2013-04-26,510257493.1678736,510226667.30040246,510273626.57382965,510240400.1249419
2013-04-29,510399093.1678736,510344967.30040246,510400676.57382965,510342350.1249419
2013-04-30,513668793.1678736,513623667.30040246,513661476.57382965,513609350.1249419
2013-05-02,515975243.1678736,515902067.30040246,515966826.57382965,515890650.1249419
2013-05-03,518014493.1678736,517944417.30040246,517996126.57382965,517924350.1249419
2013-05-06,518048643.1678736,517970667.30040246,518037426.57382965,517959500.1249419
2013-05-07,518305043.1678736,518235667.30040246,518287976.57382965,518219400.1249419
2013-05-08,521206993.1678736,521100117.30040246,521177176.57382965,521070150.1249419
2013-05-09,522678243.1678736,522544167.30040246,522645326.57382965,522510100.1249419
2013-05-10,521811943.1678736,521696117.30040246,521775226.57382965,521658250.1249419
2013-05-13,519045393.1678736,518901817.30040246,519020176.57382965,518875150.1249419
2013-05-14,519288243.1678736,519150467.30040246,519274676.57382965,519135400.1249419
2013-05-15,524201143.1678736,523992417.30040246,524168226.57382965,523953300.1249419
2013-05-16,532456543.1678736,532285667.30040246,532402376.57382965,532228300.1249419
2013-05-17,531319743.1678736,531193567.30040246,531267476.57382965,531140100.1249419
2013-05-20,531251993.1678736,531150967.30040246,531196826.57382965,531100250.1249419
2013-05-21,530565843.1678736,530460217.30040246,530528576.57382965,530424850.1249419
2013-05-22,531450793.1678736,531368067.30040246,531406576.57382965,531325800.1249419
2013-05-23,521837293.1678736,521724067.30040246,521823326.57382965,521709750.1249419
2013-05-24,518702937.10418075,518553031.2263446,518670523.89209557,518519348.2295034
2013-05-27,523921887.10418075,523785731.2263446,523865773.89209557,523731898.2295034
2013-05-28,523821787.10418075,523689481.2263446,523799073.89209557,523665048.2295034
2013-05-29,527134280.9265619,527002608.061046,527087337.56315196,526953189.169394
2013-05-30,520008280.9265619,519920958.061046,519939337.56315196,519854439.169394
2013-05-31,525350630.9265619,525294558.061046,525264337.56315196,525211089.169394
2013-06-03,517680680.9265619,517581608.061046,517617387.56315196,517520239.169394
2013-06-04,516146680.9265619,516069058.061046,516075087.56315196,515999089.169394
2013-06-05,515160980.9265619,515077608.061046,515114887.56315196,515027389.169394
2013-06-06,510224767.4493439,510186308.061046,510175617.2369824,510142589.169394
2013-06-07,511937517.4493439,511896458.061046,511873517.2369824,511789763.8071616
2013-06-10,515085367.4493439,515033911.4118025,515025917.2369824,514956813.8071616
2013-06-11,512941817.4493439,512880011.4118025,512885867.2369824,512804563.8071616
2013-06-13,503890417.4493439,503892761.4118025,503857767.2369824,503838363.8071616
2013-06-14,503302617.4493439,503251761.4118025,503285467.2369824,503212263.8071616
2013-06-17,504764567.4493439,504698661.4118025,504741167.2369824,504655113.8071616
2013-06-18,506753185.8965453,506677995.10585725,506735643.1189913,506642036.21777964
2013-06-19,504741935.8965453,504626119.866416,504731043.1189913,504602763.5727854
2013-06-20,501260885.8965453,501169219.866416,501238643.1189913,501136463.5727854
2013-06-21,497111585.8965453,497040169.866416,497110743.1189913,497033613.5727854
2013-06-24,494923285.8965453,494833419.866416,494913643.1189913,494819563.5727854
2013-06-25,491466635.8965453,491432869.866416,491464643.1189913,491430713.5727854
2013-06-26,496123484.04325765,496176223.41083235,496133397.45496505,496177379.850766
2013-06-27,497437881.70286417,497489170.5845946,497457333.6617327,497502159.24538314
2013-06-28,509743831.70286417,509797120.5845946,509720783.6617327,509770509.24538314
2013-07-01,507163031.70286417,507226720.5845946,507167233.6617327,507225259.24538314
2013-07-02,507294631.70286417,507351520.5845946,507302633.6617327,507348959.24538314
2013-07-03,505663081.70286417,505740370.5845946,505678933.6617327,505746759.24538314
2013-07-04,505565531.70286417,505633870.5845946,505574233.6617327,505639659.24538314
2013-07-05,508322181.70286417,508359770.5845946,508323083.6617327,508360509.24538314
2013-07-08,505587881.70286417,505640020.5845946,505585983.6617327,505640109.24538314
2013-07-09,511272331.70286417,511385770.5845946,511316733.6617327,511426559.24538314
2013-07-10,515759531.70286417,515847720.5845946,515747883.6617327,515836609.24538314
2013-07-11,523867231.70286417,523899020.5845946,523773283.6617327,523806109.24538314
2013-07-12,526237081.70286417,526295570.5845946,526168133.6617327,526227559.24538314
2013-07-15,528054681.70286417,528132720.5845946,527998683.6617327,528074309.24538314
2013-07-16,528393234.2171137,528459679.21524763,528314759.4746289,528387359.24538314
2013-07-17,532439455.30163217,532533368.66777635,532389732.0756834,532420220.94449437
2013-07-18,532390971.4095565,532506553.91710734,532351502.94094884,532403040.7751483
2013-07-19,529114521.4095565,529188903.91710734,529053102.94094884,529065840.7751483
2013-07-22,530769159.02153355,530846445.6437849,530687036.78582954,530689265.56246036
2013-07-23,535546013.1295375,535636229.26955885,535516936.78582954,535525965.56246036
2013-07-24,533963001.1260525,534047117.2660739,533897315.1223532,533901244.84778327
2013-07-25,531250159.7188832,531347314.1028182,531200399.92872316,531223396.64606506
2013-07-26,533021657.387826,533135282.90603846,532980758.7376942,533020958.82799214
2013-07-29,531568289.55570036,531685112.9420207,531530967.7583077,531569165.71671367
2013-07-30,534726396.9176554,534842711.32578796,534664593.0625856,534684287.17997026
2013-07-31,531818064.09740365,531903501.3139401,531761475.92636585,531773504.3597185
2013-08-01,533132732.3932792,533184542.96039057,533046403.1603142,533004546.0061689
2013-08-02,537472196.9330066,537550484.8088009,537371082.7000417,537331005.1373829
2013-08-05,537966220.3504504,538063634.6454935,537861203.6174854,537830612.5557292
2013-08-06,532493793.2652122,532535446.0143216,532442935.9709137,532386945.40659416
2013-08-07,528385197.0152122,528387888.5143216,528360145.9709137,528281610.40659416
2013-08-08,526397917.7652122,526380187.0143216,526347317.9709137,526235143.40659416
2013-08-09,523060533.4093597,523100384.0143216,523015283.3567762,522977109.40659416
2013-08-12,526662900.4093597,526721190.0143216,526646845.3567762,526609077.40659416
2013-08-13,525909029.6593597,526028941.5143216,525896873.3567762,525930044.40659416
2013-08-14,525591165.6393533,525747875.4455891,525628478.33854735,525727289.49507576
2013-08-15,523970387.1393533,524112962.4455891,524010576.33854735,524115491.49507576
2013-08-16,525045565.3515087,525234502.8936995,525056171.17410696,525186428.55600977
2013-08-19,524393432.8515087,524532157.8936995,524422151.17410696,524511428.55600977
2013-08-20,523822444.6015087,523785654.3936995,523837999.17410696,523754445.55600977
2013-08-22,522663067.8983133,522604439.8825886,522743258.0467298,522626961.4553372
2013-08-23,523104537.81312793,523071045.926173,523136045.1888532,523060715.7584474
2013-08-26,524925568.81312793,524847823.926173,524915187.1888532,524796813.7584474
2013-08-27,523652030.38232166,523577116.6631395,523582925.302843,523460330.11843336
2013-08-28,522709049.31398904,522609665.0602004,522729148.16265833,522622383.43877774
2013-08-29,523539443.9947393,523503069.195821,523669538.513393,523637222.838964
2013-08-30,529554412.0745081,529491150.7568645,529719164.6897007,529676375.54347336
2013-09-02,528864831.16111183,528776410.88382363,528961295.4316061,528875142.24024373
2013-09-03,533740826.3228006,533522813.0720334,533877642.7615691,533657109.60944825
2013-09-04,537674499.5931213,537453464.2285602,537697067.8167084,537448136.6309288
2013-09-05,539036709.5211238,538832146.9406838,539046767.0612707,538842588.7129714
2013-09-06,538277492.7711238,538092280.4406838,538256613.0612707,538074907.7129714
2013-09-09,537987522.0211238,537755231.9406838,537980791.0612707,537761324.7129714
2013-09-10,541881987.2711238,541605451.3826977,541872567.0612707,541613703.7129714
2013-09-11,542965735.7711238,542643284.3826977,542971789.0612707,542653401.7129714
2013-09-12,544724525.7711238,544457914.3826977,544808055.0612707,544520265.7129714
2013-09-13,543530062.2711238,543265891.3826977,543541593.0612707,543298767.7129714
2013-09-14,541328213.7711238,541082258.3826977,541336671.0612707,541136069.7129714
2013-09-16,547931310.7711238,547764024.3826977,547923215.0612707,547709465.7129714
2013-09-17,548898841.5211238,548784762.8826977,548891449.0612707,548740476.7129714
2013-09-18,546738693.0211238,546655329.8826977,546737127.0612707,546618178.7129714
2013-09-23,554815422.5211238,554822610.8826977,554845219.0612707,554733566.7129714
2013-09-24,554724291.7711238,554717572.3826977,554770185.0612707,554603455.7129714
2013-09-25,555244868.0013496,555221577.6757449,555277350.0855944,555094263.6842496
2013-09-26,546354271.0013496,546255491.6757449,546425778.0855944,546189525.6842496
2013-09-27,551182446.9474059,551215784.6757449,551182375.4301574,551051373.6842496
2013-09-30,544697573.9474059,544797460.6757449,544708495.4301574,544682093.6842496
2013-10-01,545715065.6974059,545802297.1757449,545738547.4301574,545678646.6842496
2013-10-02,543163736.4474059,543150545.6757449,543239969.4301574,543109479.6842496
2013-10-03,554924792.1974059,554857707.1552056,554976555.4301574,554726514.5216349
2013-10-04,556055559.6974059,556023112.1552056,556044785.4301574,555826564.5216349
2013-10-07,555480342.1974059,555432057.1552056,555436805.4301574,555204864.5216349
2013-10-08,558853843.9474059,558861403.6552056,558853347.4301574,558693137.5216349
2013-10-09,556611490.4474059,556657050.6552056,556632719.4301574,556498975.5216349
2013-10-11,557184103.9474059,557168423.6552056,557277981.4301574,557084873.5216349
2013-10-14,554985309.3986751,555061202.1552056,555126525.4301574,554909864.5216349
2013-10-15,559218218.6486751,559356763.6552056,559330835.4301574,559175209.5216349
2013-10-16,557170750.1486751,557296991.9661919,557261067.4301574,557082025.8772058
2013-10-17,556883849.6145451,556958713.4661919,556938640.0790514,556795356.8772058
2013-10-18,557941449.6145451,558015660.7376834,557947940.0790514,557797806.8772058
2013-10-21,554924977.8277386,554893790.7376834,554927595.622098,554660342.8772058
2013-10-22,554073698.5777386,554027639.2376834,554102017.622098,553800725.8772058
2013-10-23,554796531.0777386,554853784.2376834,554800187.622098,554642475.8772058
2013-10-24,556356358.5777386,556441379.2376834,556361979.622098,556236003.8772058
2013-10-25,552578615.0777386,552673346.2376834,552596885.622098,552418802.8702877
2013-10-28,557236181.0777386,557401134.2376834,557217837.622098,557089050.8702877
2013-10-29,554996775.3277386,554998925.7376834,555011905.622098,554759567.8702877
2013-10-30,558714312.0777386,558828712.2376834,558693029.622098,558527498.8702877
2013-10-31,560158149.5777386,560348877.2376834,560163305.622098,560053212.8702877
2013-11-01,555933892.8277386,556000030.7376834,555947585.622098,555738267.8702877
2013-11-04,550793392.5777386,550801221.2376834,550843099.622098,550596838.8702877
2013-11-05,548012807.3277386,548092471.7376834,548081531.622098,547918401.8702877
2013-11-06,548230166.5777386,548280513.2376834,548269613.622098,548073304.8702877
2013-11-07,545031002.0777386,545098228.90285,545115767.622098,544999000.8702877
2013-11-08,546487537.3381717,546584091.90285,546545054.8574783,546487934.8702877
2013-11-11,542292608.8381717,542314518.90285,542403778.8574783,542277250.8702877
2013-11-12,545213974.8381717,545276386.90285,545280602.8574783,545142506.8702877
2013-11-13,539113452.0881717,539143752.40285,539202630.8574783,539066163.8702877
2013-11-14,539323252.0881717,539347852.40285,539420780.8574783,539258213.8702877
2013-11-15,541232584.8381717,541157006.90285,541332886.8574783,541078792.8702877
2013-11-18,541986527.3381717,541904981.90285,542044414.8574783,541742714.8702877
2013-11-19,543224349.0881717,543112768.40285,543306374.8574783,542963909.8702877
2013-11-20,541534973.0881717,541516490.40285,541616760.8574783,541346983.8702877
2013-11-21,535539936.8381717,535583452.90285003,535638504.8574782,535503184.87028766
2013-11-22,539645112.8381717,539752230.90285,539730718.8574783,539677310.8702877
2013-11-25,546858009.0881717,546936568.40285,546883310.8574783,546763523.8702877
2013-11-26,546530037.3381717,546628921.90285,546573976.8574783,546426192.8702877
2013-11-27,547824876.5881717,547894913.40285,547892966.8574783,547700287.8702877
2013-11-28,551243760.0881717,551315906.40285,551281698.8574783,551083635.8702877
2013-11-29,552511360.0881717,552625306.40285,552542898.8574783,552363035.8702877
2013-12-02,551815222.5881717,551906341.40285,551832872.8574783,551639321.8702877
2013-12-03,549576903.3381717,549612659.90285,549613128.8574783,549334040.8702877
2013-12-04,551483924.3381717,551495067.90285,551515536.8574783,551240202.8702877
2013-12-05,549445520.8381717,549514314.90285,549474658.8574783,549260990.8702877
2013-12-06,546462209.8381717,546487596.90285,546526312.8574783,546269856.8702877
2013-12-09,553120941.8381717,553183322.90285,553129466.8574783,552906152.8702877
2013-12-10,555636843.5881717,555745799.40285,555639430.8574783,555445283.8702877
2013-12-11,557572461.0881717,557766454.40285,557553510.8574783,557437283.8702877
2013-12-12,551595503.3381717,551745009.90285,551616878.8574783,551452840.8702877
2013-12-13,555067324.3381717,555268367.90285,555071536.8574783,554982602.8702877
2013-12-16,551280685.8381717,551475454.90285,551307348.8574783,551218790.8702877
2013-12-17,550109739.0881717,550266248.40285,550154340.8574783,550004973.8702877
2013-12-18,550346964.0881717,550502238.40285,550367566.8574783,550268737.8702877
2013-12-19,552038741.8381717,552082672.90285,552053616.8574783,551839652.8702877
2013-12-20,550345054.3381717,550333897.90285,550407166.8574783,550121602.8702877
2013-12-23,551275202.287389,551357083.2434067,551307476.2216882,551045543.5634658
2013-12-24,550974152.287389,551046833.2434067,551007026.2216882,550740593.5634658
2013-12-25,552715921.537389,552758221.0557374,552735370.2216882,552436208.7731329
2013-12-26,553878791.787389,553838920.5557374,553901024.2216882,553508209.7731329
2013-12-27,555920972.787389,555856698.5557374,555944816.2216882,555527707.7731329
2013-12-30,562174733.287389,562030237.5557374,562183822.2216882,561669401.7731329
2013-12-31,560523725.037389,560313154.0557374,560504746.2216882,559899412.7731329
2014-01-02,560948100.787389,560788122.5557374,560935874.2216882,560378109.7731329
2014-01-03,555429392.037389,555316660.0557374,555429882.2216882,554941746.7731329
2014-01-06,553648807.037389,553482800.0557374,553673972.2216882,553143446.7731329
2014-01-07,552550127.787389,552387448.5557374,552580244.2216882,552066079.7731329
2014-01-08,553344727.787389,553212248.5557374,553370894.2216882,552875379.7731329
2014-01-09,553859269.537389,553663555.0557374,553873774.2216882,553349974.7731329
2014-01-10,554087674.537389,553892325.0557374,554111630.2216882,553594838.7731329
2014-01-13,556060013.037389,555846718.0557374,556059740.2216882,555504408.7731329
2014-01-14,556541873.787389,556368146.5557374,556525978.2216882,556022805.7731329
2014-01-15,557594840.3460109,557426455.8319439,557568822.9122376,557049001.71985
2014-01-16,557995175.9701229,557833759.6067705,557969328.5360223,557451124.5605028
2014-01-17,557218459.2201229,557069693.1067705,557184924.5360223,556683343.5605028
2014-01-20,558455130.9701229,558302079.6067705,558434984.5360223,557935238.5605028
2014-01-21,556155724.2201229,555983083.1067705,556126964.5360223,555609243.5605028
2014-01-22,558560748.4701229,558408484.6067705,558526214.5360223,558033638.5605028
2014-01-23,555770820.7201229,555666100.1067705,555745864.5360223,555309573.5605028
2014-01-24,558350132.7201229,558139906.1067705,558324848.5360223,557795269.5605028
2014-01-27,550117457.2201229,549936567.1067705,550137428.5360223,549663739.5605028
2014-02-05,538541825.7201229,538379720.1067705,538582514.5360223,538153283.5605028
2014-02-06,539461779.2201229,539252053.1067705,539489214.5360223,538995303.5605028
2014-02-07,542825593.4701229,542679014.6067705,542832152.5360223,542369720.5605028
2014-02-10,542500798.4701229,542332484.6067705,542530908.5360223,542059334.5605028
2014-02-11,542994648.4701229,542842934.6067705,543015508.5360223,542561534.5605028
2014-02-12,547287671.2201229,547110219.1067705,547308630.5360223,546840877.5605028
2014-02-13,545019178.4701229,544896144.6067705,545035340.5360223,544636362.5605028
2014-02-14,548109073.7201229,547935984.1067705,548116820.5360223,547666927.5605028
2014-02-17,548033052.9701229,547812435.6067705,548045998.5360223,547551944.5605028
2014-02-18,551988803.2201229,551751095.1067705,551990234.5360223,551470873.5605028
2014-02-19,551874670.7201229,551622950.1067705,551880264.5360223,551353673.5605028
2014-02-20,547173852.9701229,546921135.6067705,547203798.5360223,546680994.5605028
2014-02-21,553563599.9701229,553331251.6067705,553566742.5360223,553031590.5605028
2014-02-24,551391915.7201229,551131230.1067705,551393208.5360223,550846559.5605028
2014-02-25,549469162.2201229,549250027.1067705,549459180.5360223,548949147.5605028
2014-02-26,549091981.2201229,548957449.1067705,549074038.5360223,548634599.5605028
2014-02-27,552241587.9701229,552126015.6067705,552251986.5360223,551860536.5605028
2014-03-03,547283368.7201229,547083814.1067705,547288864.5360223,546814613.5605028
2014-03-04,544272408.4701229,544106584.6067705,544287444.5360223,543861298.5605028
2014-03-05,545806955.2201229,545640691.1067705,545809852.5360223,545381865.5605028
2014-03-06,550684234.7201229,550483452.1067705,550673166.5360223,550204211.5605028
2014-03-07,553684628.4281061,553546260.1067705,553641993.2556862,553212395.5605028
2014-03-10,549762412.4281061,549555445.627758,549755091.2556862,549267390.6603364
2014-03-11,547569508.9281061,547378642.627758,547568063.2556862,547096628.6603364
2014-03-12,548290224.9281061,548028730.627758,548281965.2556862,547754626.6603364
2014-03-13,546721533.6774648,546422747.627758,546732379.3916556,546180378.6603364
2014-03-14,544133786.9274648,543840891.127758,544170121.3916556,543640461.6603364
2014-03-17,545150215.1774648,544941874.627758,545177489.3916556,544740158.6603364
2014-03-18,547097038.6774648,546866567.627758,547126335.3916556,546633092.6603364
2014-03-19,544863370.1774648,544636424.627758,544892017.3916556,544403630.6603364
2014-03-20,539771299.1774648,539510416.627758,539825059.3916556,539323118.6603364
2014-03-21,539402546.6774648,539042197.7863537,539489597.3916556,538929136.2840124
2014-03-24,541484902.6774648,541102245.7863537,541541137.3916556,540935906.2840124
2014-03-25,542674072.6774648,542324055.7863537,542738883.3916556,542160370.2840124
2014-03-26,544384056.9274648,543957227.2863537,544454417.3916556,543792401.2840124
2014-03-27,542551241.6774648,542275477.7863537,542627291.3916556,542103772.2840124
2014-03-28,547524638.6774648,547235243.7863537,547567235.3916556,547012168.2840124
2014-03-31,550858879.6774648,550570911.7863537,550904589.3916556,550349394.2840124
2014-04-01,551684619.6774648,551370441.7863537,551734755.3916556,551173058.2840124
2014-04-02,550043256.4274648,549619448.2863537,550113127.3916556,549437311.2840124
2014-04-03,551560843.1774648,551124884.7863537,551617501.3916556,550933892.2840124
2014-04-07,549989140.6774648,549531219.7863537,550070511.3916556,549369892.2840124
2014-04-08,552320936.4274648,551939058.2863537,552382959.3916556,551755089.2840124
2014-04-09,553784436.4274648,553461808.2863537,553834559.3916556,553245439.2840124
2014-04-10,555847376.4274648,555581888.2863537,555885125.3916556,555347053.2840124
2014-04-11,555207203.9274648,554955663.2863537,555249389.3916556,554713039.2840124
2014-04-14,554652678.1774648,554335344.7863537,554685861.3916556,554084542.2840124
2014-04-15,552844270.4274648,552631870.2863537,552914607.3916556,552416291.2840124
2014-04-16,551361906.9274648,551190997.2863537,551431595.3916556,550979593.2840124
2014-04-17,553989977.9274648,553809455.2863537,554043553.3916556,553587805.2840124
2014-04-18,554689915.4274648,554517270.2863537,554756979.3916556,554311369.2840124
2014-04-21,552604084.4274648,552421542.2863537,552677037.3916556,552232971.2840124
2014-04-22,552198672.6774648,552004145.7863537,552270239.3916556,551829304.2840124
2014-04-23,550746183.4274648,550570804.2863537,550806249.3916556,550379609.2840124
2014-04-24,551905462.6774648,551726255.7863537,551955527.3916556,551511626.2840124
2014-04-25,545271407.6770016,545052996.9685037,545359310.4004477,544906762.2855939
2014-04-28,546513243.6770016,546243174.9685037,546598980.4004477,546072282.2855939
2014-04-29,549044414.6770016,548754382.9685037,549126038.4004477,548586944.2855939
2014-04-30,544147978.4270016,543951475.4685037,544233304.4004477,543773503.2855939
2014-05-02,549163352.1519713,548946416.2254094,549217644.9367325,548740254.2373261
2014-05-05,547567662.7304999,547307768.6781579,547618373.7109365,547103434.8956625
2014-05-06,550578374.7154443,550379650.5035341,550620302.5143459,550156833.2467535
2014-05-07,550833636.4654443,550624447.0035341,550859550.5143459,550376700.2467535
2014-05-08,553423434.9654443,553190230.0035341,553460722.5143459,552942348.2467535
2014-05-09,552193205.7154443,551966128.5035341,552213094.5143459,551718031.2467535
2014-05-12,548953837.2154443,548709085.5035341,548965526.5143459,548468669.2467535
2014-05-13,550069126.4654443,549835757.0035341,550058088.5143459,549538922.2467535
2014-05-14,552871693.9654443,552704632.0035341,552853596.5143459,552415364.2467535
2014-05-15,553346302.9654443,553281234.0035341,553334020.5143459,552982080.2467535
2014-05-16,554185573.2154443,554024083.5035341,554177424.5143459,553724131.2467535
2014-05-19,554687639.9654443,554501150.0035341,554701728.5143459,554226412.2467535
2014-05-20,553586630.7154443,553375448.5035341,553594492.5143459,553093153.2467535
2014-05-21,551987853.9654443,551757502.0035341,552073830.5143459,551571600.2467535
2014-05-22,558242809.9654443,558094070.0035341,558341848.5143459,557903312.2467535
2014-05-23,560926935.9654443,560805228.0035341,560971534.5143459,560528646.2467535
