book,kind,mode,cut,kappa,def_code,path_fx,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,mean_e45_exposure,exact_t1_ok
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,2,sealed_2023_plus,0.2034681492006658,-0.12989634503587966,0.13851997668272598,0.14789894718034552,879,11154.0,1102705.3325452267,3.973906854335998,1.0,True
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,2,full,0.11126387380856229,-0.201807041347007,0.010360353135058786,0.11887668916710305,3351,11154.0,1102705.3325452267,3.973906854335998,1.0,True
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,1,heldout_2019_plus,0.15602834391504206,-0.19712388436968886,0.057466401730197625,0.1311250555072322,1856,11820.0,635763.8545669329,4.353867004130705,1.0,True
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,1,sealed_2023_plus,0.21192183849678314,-0.12192670241631909,0.1509584872886236,0.1445487060395054,879,11820.0,635763.8545669329,4.353867004130705,1.0,True
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,1,full,0.11915047397662248,-0.19712388436968886,0.020588531791778053,0.11640128643348246,3351,11820.0,635763.8545669329,4.353867004130705,1.0,True
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,2,heldout_2019_plus,0.14446566012939765,-0.20010837266810866,0.044411473795343326,0.13138506746007544,1856,11826.0,1167716.4535613414,4.3213939211374255,1.0,True
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,2,sealed_2023_plus,0.19709891136178515,-0.12670957937540195,0.13374412167408417,0.14479870230822442,879,11826.0,1167716.4535613414,4.3213939211374255,1.0,True
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,2,full,0.10777974193805506,-0.20010837266810844,0.007725555604000844,0.11654746197094591,3351,11826.0,1167716.4535613414,4.3213939211374255,1.0,True
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,1,heldout_2019_plus,0.15198765104580025,-0.19606568149683323,0.05395481029738364,0.12854746323605448,1856,12426.0,676129.7251846923,4.7337238089973726,1.0,True
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,1,sealed_2023_plus,0.20687208633956922,-0.11837284728496111,0.14768566269708866,0.1413459312394576,879,12426.0,676129.7251846923,4.7337238089973726,1.0,True
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,1,full,0.11625912888001877,-0.19606568149683334,0.018226288131602097,0.11425989617770993,3351,12426.0,676129.7251846923,4.7337238089973726,1.0,True
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,2,heldout_2019_plus,0.13960341985952351,-0.19909467607959452,0.04005608181972625,0.1287247705043418,1856,12459.0,1234779.274616468,4.702201219494105,1.0,True
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,2,sealed_2023_plus,0.1912557751137911,-0.12272418442973076,0.12989368289892572,0.1414196449440266,879,12459.0,1234779.274616468,4.702201219494105,1.0,True
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,2,full,0.10401081575839566,-0.19909467607959452,0.0044634777185983965,0.11437845136076247,3351,12459.0,1234779.274616468,4.702201219494105,1.0,True
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,1,heldout_2019_plus,0.14772105931087443,-0.19584814498939884,0.049796986816175004,0.1258664276029641,1856,13045.0,715563.4225736388,5.113906434835917,1.0,True
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,1,sealed_2023_plus,0.20133832515644912,-0.11434184979423956,0.14416740025932934,0.13791125710614938,879,13045.0,715563.4225736388,5.113906434835917,1.0,True
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,1,full,0.11329330137406912,-0.19584814498939884,0.0153692288793697,0.11209750169531757,3351,13045.0,715563.4225736388,5.113906434835917,1.0,True
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,2,heldout_2019_plus,0.13438295228059993,-0.19753363131816848,0.03561613662151569,0.12601563280249786,1856,13046.0,1298367.211544486,5.076650590536082,1.0,True
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,2,sealed_2023_plus,0.18454506934629467,-0.11899981432080475,0.1250451621858923,0.13809792592781084,879,13046.0,1298367.211544486,5.076650590536082,1.0,True
