date,nav_base_e16_e18_e22_v2s,nav_const_a05,nav_const_a25,nav_const_a100_full,nav_gate_09_a25,nav_gate_09_a50,nav_gate_09_a100,nav_gate_085_a25,nav_gate_085_a50,nav_gate_085_a100,nav_gate_08_a25,nav_gate_08_a50,nav_gate_08_a100,nav_e1bin_a25,nav_e1bin_a50,nav_e1bin_a100
2023-11-08,7898285.929986369,8080943.494040052,8109082.485324493,7708640.246216746,7928272.510152857,7820168.981960319,7555290.380520446,7888809.886481418,7750638.784828612,7485597.66588892,7842461.881472467,7719839.464024178,7492310.810294367,7871910.102785261,7839809.938573592,7811529.254676873
2023-11-09,7868218.179986369,8055759.794040052,8092591.7853244925,7696222.896216746,7901100.210152857,7793942.031960318,7530640.830520446,7861187.0864814175,7723792.434828611,7460225.26588892,7814481.581472467,7692501.664024178,7466521.760294367,7842207.90278526,7810659.538573592,7783692.054676872
2023-11-10,7887021.870671658,8063517.033912242,8093239.259179726,7697494.546216746,7913314.60392894,7806059.782798611,7543294.885607539,7874455.323793659,7737074.498064717,7473376.144096691,7829011.2736765295,7706594.471290598,7480344.043925528,7860472.115528972,7828005.397224576,7798371.1308176685
2023-11-13,7901140.520671658,8078429.783912243,8109212.759179726,7710695.596216746,7927424.10392894,7819714.08279861,7556894.835607539,7888468.973793658,7751002.998064717,7486465.294096691,7842928.47367653,7720304.5212905975,7493455.543925528,7874504.065528972,7841930.397224577,7812275.730817669
2023-11-14,7915324.206712728,8092325.23035833,8123610.194630317,7726078.970316321,7941168.11318428,7833419.668617848,7570435.579835238,7902205.654520434,7764617.4745369265,7499749.779937269,7856703.407098453,7733875.761586609,7506788.998442386,7888616.278811139,7855933.230073289,7826045.125946388
2023-11-15,8047782.206712728,8214959.080358329,8222219.444630317,7816647.420316321,8066956.763184279,7956922.3686178485,7687667.379835238,8028630.804520434,7888716.224536926,7617608.229937268,7983740.707098453,7858601.911586609,7625849.998442385,8020060.028811139,7985873.930073289,7952702.875946389
2023-11-16,8062689.36157589,8236121.568748368,8260867.587009642,7851449.488922931,8085407.711444196,7975969.598908702,7708324.327027612,8046385.248654401,7906256.713583215,7636849.705467394,8000801.284883419,7875583.822903135,7644406.509020925,8035259.068738369,8001550.171588616,7969638.755888165
2023-11-17,8086603.600666373,8255611.608540159,8274673.476846617,7857322.970410766,8106714.930729012,7996832.069063702,7728244.680480744,8068025.5720321825,7927635.349722916,7657301.546517328,8022835.604812705,7897186.74366488,7665175.16440034,8058877.186562373,8024705.218554313,7991679.851763496
2023-11-20,8092206.910474042,8260685.562417189,8270223.402675752,7851401.332526424,8111950.79024335,8001432.286173937,7731425.578395061,8073327.003412041,7932679.778375422,7660933.092213114,8028111.227844771,7902306.302318179,7669020.015454424,8064377.96140081,8030075.259015878,7996895.294740158
2023-11-21,8182079.037126759,8358014.533671405,8374740.5401006695,7945270.40046499,8205053.139354601,8093631.125838231,7820924.5766788535,8165439.654220251,8023297.9775489215,7748821.323107688,8119153.884353852,7992081.089849513,7756632.294338294,8154189.645823838,8119919.1435436355,8087559.1889788015
