date,nav_base,nav_fincap50,rel_fincap50_vs_base
2019-09-20,29714974.91928471,27453120.517855927,0.9238816654709386
2019-09-23,29665442.385332648,27354903.200536042,0.9221134424767926
2019-09-24,29585146.478312097,27325714.963803884,0.9236295309146254
2019-09-25,29455011.15638879,27179081.449237086,0.9227320032211885
2019-09-26,29451477.63357061,27140091.387690805,0.9215188360109597
2019-09-27,29301382.431525044,27139706.516776294,0.9262261458209212
2019-10-01,29661045.1733039,27462573.855377086,0.9258801803819939
2019-10-02,29583703.359262794,27396247.381912768,0.9260587509688801
2019-10-03,29399118.56368736,27181756.28254309,0.9245772530104671
2019-10-04,29499519.163720578,27298994.025152244,0.9254047116376525
2019-10-07,29539002.89674455,27335912.59528937,0.9254175806422369
2019-10-08,29691021.562858924,27529225.22078192,0.9271902336704629
2019-10-09,29530235.6409024,27329303.963605966,0.9254685365853323
2019-10-14,29735951.381530557,27661542.978271727,0.9302390437540439
2019-10-15,29741611.9666278,27671847.700437084,0.9304084705121854
2019-10-16,29803997.288551107,27760581.21500388,0.9314381875100968
2019-10-17,29864365.354632266,27777956.09788728,0.9301371640760027
2019-10-18,29741880.21133607,27735683.53394101,0.9325464071827442
2019-10-21,29844310.451413807,27776678.083419442,0.9307193787787308
2019-10-22,29913945.773337115,27914911.59798624,0.9331738383662963
2019-10-23,29856277.91746175,27800715.223693684,0.9311514081075106
2019-10-24,30048022.309268303,27967033.8434082,0.9307445779811531
2019-10-25,30087246.05722825,27985585.43398912,0.9301477902217568
2019-10-28,30189042.95311492,28080950.8725418,0.9301702911269135
2019-10-29,30241750.434098836,28115371.03325984,0.9296872909035908
2019-10-30,30456347.613876637,28254610.307815395,0.927708426040617
2019-10-31,30527851.99074722,28286195.907086115,0.9265701339111401
2019-11-01,30612239.711808875,28343910.617282588,0.925901237025422
2019-11-04,30876055.27380992,28696238.681327824,0.9294010658696065
2019-11-05,31049398.076717142,28840292.35661266,0.9288518986858875
2019-11-06,31254902.453587726,28980677.95588338,0.9272362311454506
2019-11-07,31165105.55770106,28873212.5173307,0.9264596413406333
2019-11-08,31125075.917656537,28858705.71046142,0.9271850705459819
2019-11-11,30839652.20194754,28623094.1904839,0.9281263615766827
2019-11-12,30908652.20194754,28730744.1904839,0.9295372701069635
2019-11-13,30671950.329157066,28530805.41005135,0.9301920844247611
2019-11-14,30522602.160513144,28469238.933675267,0.9327264688626615
2019-11-15,30740021.499351554,28652914.854382064,0.9321045808307741
2019-11-18,30875397.825076953,28823158.59121318,0.9335315695204761
2019-11-19,30889414.09205298,28917140.02107606,0.9361504862118982
2019-11-20,30896324.677150227,28891994.74324142,0.935127237467467
2019-11-21,30623444.96342036,28631992.608960103,0.9349696823189212
2019-11-22,30701594.57458746,28723353.14974874,0.9355655153339767
2019-11-25,30813540.16546593,28725777.47987462,0.9322452832624809
2019-11-26,30684629.08627176,28762470.41311554,0.9373576044295028
2019-11-27,30920298.425110172,28894446.333822336,0.9344814832174241
2019-11-28,30837662.114320744,28819285.617435016,0.9345483295911589
2019-11-29,30561725.51964018,28555351.065044817,0.9343500924610428
2019-12-02,30590887.093603544,28613682.989030696,0.9353662383662528
2019-12-03,30576021.426660735,28614639.301776975,0.935852277916919
2019-12-04,30583860.84156349,28589796.00168999,0.9348000943960756
2019-12-05,30599958.263798032,28675595.681941167,0.93711224815187
2019-12-06,30486881.727866843,28655323.436519206,0.9399230689548193
2019-12-09,30629860.84156349,28778234.204592988,0.9395483170312704
2019-12-10,30523517.049790148,28656016.339245632,0.9388176432126666
2019-12-11,30597593.58572134,28729938.584667593,0.9389607226522119
2019-12-12,30719198.278734006,29030738.09054459,0.9450356688065558
2019-12-13,30879216.944848385,29236900.716037143,0.9468148356305638
2019-12-16,30800743.19688844,29156999.125456225,0.9466329737264824
2019-12-17,31036591.292841546,29459490.049227215,0.9491857456660171
2019-12-18,31238677.498689204,29586385.142406046,0.9471074805790838
2019-12-19,31171836.10605421,29489035.46093036,0.9460153505427608
2019-12-20,30913367.472190782,29345862.906041205,0.9492936326797887
2019-12-23,31152554.06687134,29484747.458431404,0.9464632464850278
2019-12-24,31035033.42302473,29404130.42929781,0.9474496137478956
2019-12-25,31041372.837927487,29429825.707132448,0.94808389631447
2019-12-26,31086919.733814158,29462241.14568513,0.9477375500036493
2019-12-27,31226172.1329525,29591522.341314804,0.9476512912092522
2019-12-30,31158493.30314699,29516731.785645522,0.9473093419014696
2019-12-31,30992046.79609322,29307905.80630421,0.9456589298257865
2020-01-02,31020725.625898734,29391496.36197349,0.947479330961716
2020-01-03,31119787.799895313,29484066.02856853,0.9474378880137387
2020-01-06,30871631.834125392,29224165.484868128,0.9466349444010873
2020-01-07,30907531.51798331,29167651.578261852,0.9437069266204866
2020-01-08,30748492.208022323,29006071.9236357,0.9433331471150308
2020-01-09,30938778.129978843,29271093.180811655,0.9460972588458092
2020-01-10,31032298.77382546,29368910.209945254,0.9463981519382892
2020-01-13,31376427.498689204,29653835.142406046,0.9450991558438219
2020-01-14,31525358.727633063,29783406.893705003,0.9447444246716477
2020-01-15,31389830.07645466,29636777.288656246,0.9441522052356259
2020-01-16,31380872.595470745,29622107.127938204,0.9439542204512699
2020-01-17,31510085.369500544,29730314.537142396,0.9435174227080694
2020-01-20,31688508.591112614,29904273.712526195,0.9436945770591795
2020-01-30,30448600.037399262,28605646.061563417,0.9394732771433764
2020-01-31,30658506.992035303,28785473.807084337,0.9389065754102913
2020-02-03,30460025.47920031,28597747.35529775,0.9388615703826572
2020-02-04,30708550.49991751,28886549.98370207,0.9406679740152394
2020-02-05,30886383.317760702,29031036.6794307,0.9399299484422602
2020-02-06,31154482.402579926,29377854.805022217,0.9429736121242513
2020-02-07,30951979.014575463,29195146.407572016,0.9432400556301701
2020-02-10,30924683.10755491,29148213.238639858,0.9425549531829783
2020-02-11,30961360.948494304,29242844.451166872,0.9444948011107694
2020-02-12,31013462.747599434,29306833.19071464,0.9449713316189791
2020-02-13,31112525.910462134,29412432.8606102,0.9453566369138724
2020-02-14,31148365.325364888,29440578.13844484,0.9451724939950749
2020-02-17,31191042.177438162,29444345.08786858,0.944000040792704
2020-02-18,31243942.77747138,29379082.830477733,0.9403129124811254
2020-02-19,31602602.131245766,29673541.771628328,0.9389588125811273
2020-02-20,31571288.968383066,29577094.903212767,0.9368352027955724
2020-02-21,31315763.947665866,29408292.27480845,0.9390890902088439
2020-02-24,30959045.807899367,29068372.064513016,0.9389298444429468
2020-02-25,30929482.645036664,29054425.19609746,0.9393763720376972
2020-02-26,30717462.00119005,28844108.16696386,0.939013391335729
2020-02-27,30674787.126849018,28738726.41857667,0.9368842984870218
2020-03-02,30270782.076259874,28346868.424921386,0.9364432129142995
2020-03-03,30563821.38622086,28625748.079547536,0.9365893000687712
2020-03-04,30703547.111913044,28783254.0737695,0.9374569644626347
2020-03-05,31015276.22560969,29048068.46544166,0.9365729408354041
2020-03-06,30587421.775053762,28596554.410960026,0.9349122204958957
2020-03-09,30016870.817444067,28000991.422957208,0.9328417873153071
2020-03-10,29866896.428773794,27944517.560882714,0.9356351312739994
2020-03-11,29692383.844561316,27885133.01182034,0.9391341954151651
2020-03-12,28786304.351826444,27165647.79165101,0.9437004298861099
2020-03-13,28302960.853836235,26660167.465970155,0.9419568363765937
2020-03-16,27324937.663483888,25869337.119836774,0.9467299592199133
2020-03-17,26470424.52509731,25434398.80950802,0.9608610086851078
2020-03-18,26082122.36297516,25131175.986794464,0.9635402992537674
2020-03-19,24694200.537093926,24053831.20176192,0.9740680272531971
2020-03-20,26161473.599282846,25117832.24164973,0.9601076998330199
2020-03-23,25346265.28306781,24411152.08709402,0.9631064701039612
2020-03-24,25949969.85459859,25005403.683481496,0.9636004906206198
2020-03-25,26584220.075654622,25678389.6657176,0.9659260114699937
2020-03-26,26600271.1684074,25632218.95774302,0.9636074307462656
2020-03-27,26751890.6131821,25851230.276465252,0.9663328342007707
2020-03-30,26580120.935836352,25603138.624338057,0.9632438725972428
2020-03-31,26607377.60658126,25696642.533856098,0.9657713328163579
2020-04-01,26292327.849037997,25421761.11305034,0.9668889441442322
2020-04-06,26631307.951600764,25722052.706543025,0.9658576572089436
2020-04-07,26813780.184346713,25871984.680106297,0.9648764367513457
2020-04-08,27034318.304015167,26028237.62703493,0.9627850546972803
2020-04-09,27036176.56365941,26059306.48098265,0.963868038796957
2020-04-10,27410190.08409859,26427313.276085623,0.9641419193009114
2020-04-13,26953923.677077334,26185643.054884437,0.9714965200837802
2020-04-14,27386548.561274085,26632512.50210995,0.9724669190249705
2020-04-15,27737877.432513993,26908258.31458787,0.9700907497358231
2020-04-16,27396398.034926213,26637720.08691283,0.9723073833630909
2020-04-17,27599168.07873961,26752799.373437274,0.96933354284855
2020-04-20,27557798.423759114,26748509.546124198,0.9706330358764369
2020-04-21,27012334.829634592,26248848.18688169,0.9717356293867905
2020-04-22,27031040.721719168,26244703.403170053,0.9709098392975561
2020-04-23,27018401.306816414,26210158.125335414,0.9700854550088761
2020-04-24,27009661.430389937,26301747.835684314,0.9737903565903602
2020-04-27,27444307.873614077,26728816.18645191,0.9739293229598963
2020-04-28,27890557.21007349,27007318.0774429,0.9683319653322816
