date,nav_base,nav_fin_rs_soft_tilt_exdiv
2014-12-05,600398059.4179394,599359597.6656879
2014-12-08,599773504.6179394,598296132.8156879
2014-12-09,600211623.4179394,599011954.315688
2014-12-10,593750513.2179394,592145239.815688
2014-12-11,590374560.1020118,589187673.7835307
2014-12-12,591040073.6199875,590101963.5135082
2014-12-15,588099979.5525842,586947502.5661082
2014-12-16,589594842.3727579,588357669.7109004
2014-12-17,583803452.2810589,582644874.4190139
2014-12-18,588071223.4024292,586901943.1701361
2014-12-19,594886605.0024292,593479017.4201361
2014-12-22,595057605.0024292,593803217.4201361
2014-12-23,594461419.5747674,593566210.651607
2014-12-24,599031497.4872307,598087980.1485958
2014-12-25,597544255.6015654,596535116.3374237
2014-12-26,599688531.7680866,598650069.8429055
2014-12-27,597719188.7237068,596670706.5444098
2014-12-29,601559899.9944043,600834580.5751612
2014-12-30,602051913.570423,601336131.3641992
2014-12-31,605057294.0017447,604129807.1455209
2015-01-05,599567723.3068149,598635648.2215967
2015-01-06,588511372.9068148,587304957.3715967
2015-01-07,586828837.6865796,585495608.4743527
2015-01-08,595444501.0074952,593984389.9792247
2015-01-09,596727489.8074951,595178155.1292248
2015-01-12,595626351.5173247,594133213.1838198
2015-01-13,601748550.4324329,600233466.5205064
2015-01-14,595355089.0391848,594030307.7660215
2015-01-15,592635519.1269394,591188015.0477241
2015-01-16,592603758.1065323,590828592.2090639
2015-01-19,594984367.3065324,593292734.0090638
2015-01-20,594013328.5065324,592396618.8590639
2015-01-21,599798592.3182578,598248964.4444679
2015-01-22,602437686.1182578,601146133.4944679
2015-01-23,606707263.5182577,605343269.8444679
2015-01-26,606594274.7182578,605404054.6944679
2015-01-27,608852054.1182578,607723734.0944679
2015-01-28,607001896.7182578,605925341.394468
2015-01-29,603246442.3182578,602103664.4444679
2015-01-30,602355405.9182578,600983788.0944679
2015-02-02,604643912.7182578,603754491.0944679
2015-02-03,603718161.3182578,602782524.9944679
2015-02-04,609448170.0114472,608805812.8456447
2015-02-05,611521661.2079875,611042910.6760179
2015-02-06,608745511.2079875,607906910.6760179
2015-02-09,604956424.0079876,603967155.5760179
2015-02-10,607775729.5364794,606921355.5208818
2015-02-11,608178850.6030368,607307618.8067533
2015-02-12,609064048.8685203,608394375.5175759
2015-02-13,609299078.8685201,608778681.8675759
2015-02-24,617706575.2685202,617606728.7675759
2015-02-25,621110082.6685202,621017071.4675758
2015-02-26,616485801.6685202,616186736.9175758
2015-03-02,610959970.4960941,610226104.6370807
2015-03-03,612378677.4030155,611973331.4183575
2015-03-04,612573914.8030155,612107330.4683574
2015-03-05,608859766.8030155,608293223.5183575
2015-03-06,612920314.8030155,612533280.4683574
2015-03-09,607315852.8030155,606768716.8683575
2015-03-10,606956564.0030155,606494901.7183574
2015-03-11,605873570.6030154,605504865.6683575
2015-03-12,612225545.2030154,612277730.2183574
2015-03-13,609463611.2030154,609393979.9183575
2015-03-16,607426495.8030155,607353657.1683575
2015-03-17,611016462.6030154,611030435.6183575
2015-03-18,617984435.8030155,618558884.0683575
2015-03-19,622165604.4030154,622991161.6183575
2015-03-20,620486840.4030155,621136304.9683574
2015-03-23,621190660.146117,621987987.0984879
2015-03-24,622422548.21964,623033086.596582
2015-03-25,618618894.0196401,619096948.696582
2015-03-26,618213124.81964,618520494.196582
2015-03-27,612050833.5130131,612388680.7586086
2015-03-30,615972011.6820656,616820586.3268961
2015-03-31,620950902.0304565,622034608.9389993
2015-04-01,618725875.7424685,619748076.7963059
2015-04-02,622983748.1045189,623910630.9869828
2015-04-07,625197832.1045189,626158181.2869828
2015-04-08,621811237.3045189,622737629.1369828
2015-04-09,625553150.7045189,626394408.8369828
2015-04-10,627538514.7045189,628581765.4869828
2015-04-13,629783105.3045189,631042329.7369828
2015-04-14,630013539.7045189,631299713.0369828
2015-04-15,623303446.5045189,624403370.9369829
2015-04-16,628910795.9045188,630247943.9869828
2015-04-17,624866417.8575572,625966203.5821197
2015-04-20,625733066.0575572,626796204.4821197
2015-04-21,626824530.0575572,627913761.1321197
2015-04-22,629855475.2575572,631172446.2821196
2015-04-23,651790844.0575572,654717125.6321197
2015-04-24,653504057.6575571,656249099.2821196
2015-04-27,659328311.6575571,661137055.9821197
2015-04-28,661559436.2575572,663351120.5321196
2015-04-29,652974567.2575572,654695947.2321197
2015-04-30,647883183.2575573,649256996.9321196
2015-05-04,651130462.2575572,652231188.4321197
2015-05-05,649396143.6575571,650462660.8821197
2015-05-06,650443919.0575571,651996246.3321197
2015-05-07,643255051.6575572,645012022.6821197
2015-05-08,644467024.8575572,646109271.1321197
2015-05-11,643297814.0575572,644747919.2821196
2015-05-12,646114203.8575572,647520017.5321196
2015-05-13,650248228.2575572,651917393.0321196
2015-05-14,637409993.8575572,638546246.9821197
2015-05-15,639072567.6575571,640673972.3821197
2015-05-18,643099273.6973832,644925096.8013371
2015-05-19,645054267.0973831,646712982.8513371
2015-05-20,644101828.5093081,646088781.9570678
2015-05-21,635914799.3093082,637315396.5070679
2015-05-22,637890667.5093081,639067291.0570679
2015-05-25,635187030.8032228,636192567.5912012
2015-05-26,640272033.6032227,641729189.3912011
2015-05-27,642317714.8032228,643990517.8912011
2015-05-28,640212019.6032227,641705982.7412012
2015-05-29,641100745.9397446,642965226.7948048
2015-06-01,637917769.7397447,639724662.5948048
2015-06-02,637477507.1397446,639257172.0448048
