code,ex,kind,low_date,dist,in_autumn,month
2892,2024-08-08,close,2024-11-14,65,True,11
2892,2024-08-08,low,2024-11-14,65,True,11
2892,2025-08-07,close,2025-12-01,78,True,12
2892,2025-08-07,low,2025-12-02,79,True,12
5880,2012-08-03,close,2012-11-21,77,True,11
5880,2012-08-03,low,2012-11-01,63,True,11
5880,2013-08-14,close,2013-08-22,5,False,8
5880,2013-08-14,low,2013-08-22,5,False,8
5880,2014-08-19,close,2014-10-17,41,False,10
5880,2014-08-19,low,2014-10-17,41,False,10
5880,2015-08-13,close,2015-08-24,7,False,8
5880,2015-08-13,low,2015-08-24,7,False,8
5880,2016-08-10,close,2016-11-14,64,True,11
5880,2016-08-10,low,2016-11-09,61,True,11
5880,2017-08-16,close,2017-08-18,2,False,8
5880,2017-08-16,low,2017-08-17,1,False,8
5880,2018-08-21,close,2018-10-25,45,True,10
5880,2018-08-21,low,2018-10-24,44,True,10
5880,2019-08-14,close,2019-08-15,1,False,8
5880,2019-08-14,low,2019-08-16,2,False,8
5880,2020-08-12,close,2020-09-24,31,False,9
5880,2020-08-12,low,2020-09-24,31,False,9
5880,2021-08-11,close,2021-08-19,6,False,8
5880,2021-08-11,low,2021-08-16,3,False,8
5880,2022-08-10,close,2022-10-19,48,False,10
5880,2022-08-10,low,2022-10-20,49,True,10
5880,2023-08-09,close,2023-10-04,39,False,10
5880,2023-08-09,low,2023-10-04,39,False,10
5880,2024-08-14,close,2025-01-02,95,False,1
5880,2024-08-14,low,2025-01-02,95,False,1
5880,2025-08-13,close,2025-08-29,12,False,8
5880,2025-08-13,low,2025-08-29,12,False,8
