date,nav_base,nav_kd_mix_l75
2015-10-07,600525358.328795,600430731.909581
2015-10-08,597430778.3545469,597371947.7964426
2015-10-12,602083744.7045469,602048569.7964425
2015-10-13,604655267.1881433,604638089.8464426
2015-10-14,599089474.6381432,599209525.4541408
2015-10-15,604842246.0381433,604895968.6041408
2015-10-16,608869590.8381432,608968886.4041407
2015-10-19,607839449.9881432,608059381.8041408
2015-10-20,611902373.6881433,612042261.2541407
2015-10-21,605194793.7881433,605430861.0541407
2015-10-22,610595630.4381433,610767859.1041408
2015-10-23,615263513.6029642,615308081.5067663
2015-10-26,621105058.6129453,621088960.8915886
2015-10-27,618371692.2618407,618425069.6546007
2015-10-28,617837668.2618407,617902985.4046007
2015-10-29,611793123.7618407,611833922.4046007
2015-10-30,607548126.5461577,607649499.5467623
2015-11-02,604164285.1461577,604486267.8467623
2015-11-03,611104020.7961577,611309240.2467623
2015-11-04,615058899.6822652,615240684.2979088
2015-11-05,614521470.8513926,614709862.6339074
2015-11-06,605777993.5371389,605995070.3668655
2015-11-09,604701439.6871389,604803618.4168655
2015-11-10,596925147.9768186,597084434.0772781
2015-11-11,595547154.3244053,595610537.913068
2015-11-12,595820173.5775325,595956542.9601138
2015-11-13,590901411.5229583,591053885.9075043
2015-11-16,589180659.742441,589267378.3636616
2015-11-17,595312080.9988558,595455678.5818452
2015-11-18,591703137.8199197,591801774.3415314
2015-11-19,597207843.6699196,597295107.7915314
2015-11-20,595268257.1699196,595401603.4915315
2015-11-23,594052992.1363889,594236587.7415315
2015-11-24,593889381.2363889,594002583.1415315
2015-11-25,593106748.186389,593267064.7415314
2015-11-26,595265484.9701753,595399814.7564505
2015-11-27,590621709.8201753,590695073.6404254
2015-11-30,588194929.0552398,588177701.0404255
2015-12-01,596385679.7552398,596433834.7904255
2015-12-02,591576284.8052398,591687455.9404255
2015-12-03,590323650.2052399,590336421.8904254
2015-12-04,589435989.3052398,589381717.2904255
2015-12-07,589400872.0552398,589356730.8904254
2015-12-08,581776559.7052399,581780571.8904254
2015-12-09,576846499.5052398,576923238.1404254
2015-12-10,580337812.3552399,580235145.4904255
2015-12-11,575503560.7052399,575643497.5404255
2015-12-14,572660760.6052399,572729986.2904254
2015-12-15,571447226.1052399,571548763.4904255
2015-12-16,574041977.8052398,574127190.1904255
2015-12-17,582112107.5052398,582272246.8404255
2015-12-18,575713969.1552398,575895972.0904255
2015-12-21,575091517.1552398,575294840.5904255
2015-12-22,578599807.8052398,578804501.6404254
2015-12-23,581383055.2052399,581597160.5404255
2015-12-24,582180928.9052398,582423339.9904255
2015-12-25,583680446.1552398,583891076.3904256
2015-12-28,584959015.4052398,585135294.2904255
2015-12-29,581070237.6552398,581333019.3404255
2015-12-30,578325981.5052398,578570331.0904255
2015-12-31,580578917.814628,580828662.0234426
2016-01-04,571313655.3491707,571532287.1399277
2016-01-05,570735418.5491706,571024628.0399277
2016-01-06,566600190.3991706,566910237.0399277
2016-01-07,559929589.2491707,560363837.4399277
2016-01-08,561809189.2491707,562197837.4399277
2016-01-11,558285457.6491706,558678460.5399277
2016-01-12,562574418.8234117,562898576.3899277
2016-01-13,563264425.2734118,563603417.2551622
2016-01-14,561988249.5734117,562358056.3051623
2016-01-15,556453439.3734117,556888122.5551623
2016-01-18,551554822.5734117,551960152.0051622
2016-01-19,556605754.6234117,556871594.7551622
2016-01-20,552876141.4234117,553179653.8551623
2016-01-21,545470131.6734117,545766885.9551623
2016-01-22,550135420.3234117,550413765.5051622
2016-01-25,563920790.1734117,563976455.9051622
2016-01-26,557792545.4734117,557966549.3551623
2016-01-27,560920410.1234117,561098444.6551622
2016-01-28,563196671.0734117,563549378.0051622
2016-01-29,577570671.1734117,577834702.1551622
2016-01-30,582491177.0734117,582672918.1051623
2016-02-01,584306607.5234118,584499995.4051622
2016-02-02,582939120.9234117,583050479.8551623
2016-02-03,575821237.1734117,575946927.7051623
2016-02-15,580224484.4234117,580466575.5551622
2016-02-16,589232582.9734117,589392734.0551623
2016-02-17,586397198.9234117,586512427.1051623
2016-02-18,589970902.8234117,590049111.5551623
2016-02-19,591461191.1734117,591606936.3051623
2016-02-22,591103015.1734117,591227220.5551622
2016-02-23,591725091.1734117,591834936.3051622
2016-02-24,586928326.2234117,587075686.2051623
2016-02-25,593022253.9734117,593079411.1551623
2016-02-26,596484157.8234117,596563863.1051623
2016-03-01,597619305.9234117,597843142.8551623
2016-03-02,599885838.9732876,600121339.6625412
2016-03-03,607251013.5851464,607416899.2720526
2016-03-04,609006799.0309579,609089205.6516759
2016-03-07,612587550.4182589,612612325.6030374
2016-03-08,611097657.8351598,611093020.8529278
2016-03-09,607151406.0191137,607267361.7281067
