date,nav_base,nav_chal,rel_chal_vs_base
2024-01-19,1248887432.4675438,1289675751.6901138,1.0326597242971536
2024-01-22,1252886221.9304984,1293875495.3514135,1.032715878507912
2024-01-23,1253945191.0804985,1295000789.692806,1.032741142838094
2024-01-24,1255886245.6304984,1297021045.792806,1.0327536035253386
2024-01-25,1257901820.2304983,1299114708.2428057,1.0327631992811295
2024-01-26,1269312703.3304985,1310779847.8428059,1.0326689746376156
2024-01-29,1272876988.5804985,1314596152.3928058,1.032775487487469
2024-01-30,1260683509.3804984,1302079610.292806,1.0328362357437748
2024-01-31,1258151028.5304985,1299569889.792806,1.0329204207786438
2024-02-01,1268398510.2304983,1310180966.292806,1.0329411109562994
2024-02-02,1271382935.5804982,1313298185.5928059,1.0329682339122868
2024-02-05,1266168567.4304984,1308059981.792806,1.0330851795249665
2024-02-15,1276124145.3804984,1318294778.742806,1.0330458705878758
2024-02-16,1276899241.2360144,1319029079.4698215,1.0329938626896091
2024-02-19,1286419547.8360143,1328664624.3323848,1.0328392681590033
2024-02-20,1289340534.1860144,1331485860.132385,1.032687505611524
2024-02-21,1284312030.3860145,1326354704.132385,1.032735560168921
2024-02-22,1285938106.4582322,1327870240.775757,1.0326082057191817
2024-02-23,1285484728.858232,1327589454.4757571,1.0327539679564475
2024-02-26,1279786787.508232,1321677046.625757,1.0327322172149362
2024-02-27,1284211099.1082323,1326510094.4257572,1.0329377275643372
2024-02-29,1292850579.3582323,1335349582.2257571,1.032872323798332
2024-03-01,1287509919.3082323,1329761321.3757572,1.0328163701373472
2024-03-04,1293218567.858232,1335575532.675757,1.0327531369176632
2024-03-05,1295445972.2082322,1337791194.625757,1.0326877564375323
2024-03-06,1303380134.4582322,1345894254.2257571,1.0326183579475812
2024-03-07,1307335359.4082322,1350152427.325757,1.0327514035395677
2024-03-08,1319437437.8226526,1362708370.171918,1.0327949860363759
2024-03-11,1317089928.3726525,1360249189.121918,1.0327686514182
2024-03-12,1321758649.4726527,1365101189.7219179,1.0327915692222311
2024-03-13,1329811614.516135,1373387034.121918,1.0327681147691272
2024-03-14,1352002932.3661351,1396691944.121918,1.0330539310869487
2024-03-15,1353921496.3161352,1398939857.4719179,1.0332503481762219
2024-03-18,1351406863.355139,1396404444.9417412,1.0332968425769917
2024-03-19,1343116477.757613,1387896525.2417412,1.0333404051142983
2024-03-20,1334999813.707613,1379341066.2917411,1.0332144260462344
2024-03-21,1357301339.757613,1402594014.2417412,1.033369652823165
2024-03-22,1351619827.384043,1396828186.4515958,1.0334475406113641
2024-03-25,1350703008.0340428,1395850720.1515958,1.0334253435796117
2024-03-26,1360853129.534043,1406305908.4515958,1.0334002089800212
2024-03-27,1359884626.934043,1405324423.7515957,1.0334144499596265
2024-03-28,1352594575.984043,1397779823.0515957,1.0334063494485621
2024-03-29,1363489545.234043,1409136244.3515956,1.0334778504735198
2024-04-01,1365599155.5340428,1411309625.8015957,1.0334728313812387
2024-04-02,1365155890.884043,1410925332.4015958,1.0335268974211536
2024-04-03,1346296564.284043,1391431511.2015958,1.0335252633891667
2024-04-08,1358256066.784043,1403860700.9015956,1.0335758736756693
2024-04-09,1369066220.2840428,1415005861.0015957,1.0335554555630053
2024-04-10,1368646722.084043,1414538463.5515957,1.0335307429792204
2024-04-11,1365930859.5340428,1411881815.1015956,1.0336407624491535
2024-04-12,1357610913.334043,1403171915.8015957,1.0335596907921603
2024-04-15,1351977565.884043,1397300381.088964,1.0335233485736761
2024-04-16,1323493853.484043,1367713050.838964,1.0334109578510817
2024-04-17,1325936108.484043,1370219076.388964,1.0333975126113355
2024-04-18,1334931430.184043,1379614656.788964,1.0334723009696167
