date,nav,cost,exposure
2016-04-29,1.5063495050151354,0.0,0.7805312503913096
2016-05-03,1.50839658413583,0.0,0.7805312503913096
2016-05-04,1.5023190271473454,0.0,0.7915046878717441
2016-05-05,1.4909005093951153,6.707338551870724e-06,0.7915046878717441
2016-05-06,1.4854082843801104,0.0,0.7915046878717441
2016-05-09,1.4790975330162655,0.0,0.7915046878717441
2016-05-10,1.4851924472333335,0.0,0.7915046878717441
2016-05-11,1.4780377451504745,0.0,0.8019294534781569
2016-05-12,1.4819584733937365,6.371971624277152e-06,0.8019294534781569
2016-05-13,1.4768956315773523,0.0,0.8019294534781569
2016-05-16,1.4743888644400016,0.0,0.8019294534781569
2016-05-17,1.4857587165432504,0.0,0.8019294534781569
2016-05-18,1.4875185434937293,0.0,0.811832980804249
2016-05-19,1.4794055626508573,6.053373043063298e-06,0.811832980804249
2016-05-20,1.480445065535617,0.0,0.811832980804249
2016-05-23,1.4942296002619642,0.0,0.811832980804249
2016-05-24,1.4897837516489059,0.0,0.811832980804249
2016-05-25,1.498675826790229,0.0,0.8212413317640366
2016-05-26,1.4940056359719687,0.0017126982800434866,0.8212413317640366
2016-05-27,1.5061915507845944,0.0,0.8212413317640366
2016-05-30,1.5182963900025004,0.0,0.8212413317640366
2016-05-31,1.523968036160737,0.0,0.8212413317640366
2016-06-01,1.5269376518718454,0.0,0.8301792651758347
2016-06-02,1.524224179018299,7.64193306708745e-06,0.8301792651758347
2016-06-03,1.5291177785284527,0.0,0.8301792651758347
2016-06-04,1.521939645818663,0.0,0.8301792651758347
2016-06-06,1.5242963702516021,0.0,0.8301792651758347
2016-06-07,1.5355356730910668,0.0,0.838670301917043
2016-06-08,1.541617494633397,7.259836413733022e-06,0.838670301917043
2016-06-13,1.5169892414310187,0.0,0.838670301917043
2016-06-14,1.5309125861905546,0.0,0.838670301917043
2016-06-15,1.5320948161266317,0.0,0.838670301917043
2016-06-16,1.5110123261739754,0.0,0.8467367868211908
2016-06-17,1.5277720340486354,6.89684459304639e-06,0.8467367868211908
2016-06-20,1.535579593844624,0.0,0.8467367868211908
2016-06-21,1.5402284135209783,0.0,0.8467367868211908
2016-06-22,1.5413208085345305,0.0,0.8467367868211908
2016-06-23,1.5361873290531418,0.0,0.8543999474801313
2016-06-24,1.5087347773939512,6.5520023633940926e-06,0.8543999474801313
2016-06-27,1.5056802711579085,0.0011827291760782583,0.8543999474801313
2016-06-28,1.5100694713413314,0.0,0.8543999474801313
2016-06-29,1.5201265666838195,0.0,0.8543999474801313
2016-06-30,1.5331847539851795,0.0,0.8616799501061247
2016-07-01,1.5341085595576607,6.224402245224455e-06,0.8616799501061247
2016-07-04,1.536016474510178,0.0,0.8616799501061247
2016-07-05,1.533183589820137,0.0,0.8616799501061247
2016-07-06,1.5088237980031214,0.0,0.8616799501061247
2016-07-07,1.5040699630894157,0.0,0.8685959526008185
2016-07-11,1.5224858080532877,5.913182132963119e-06,0.8685959526008185
2016-07-12,1.5335071631794817,0.0,0.8685959526008185
2016-07-13,1.5470395032966842,0.0,0.8685959526008185
2016-07-14,1.5537815363781449,0.0,0.8685959526008185
