date,nav_base,nav_sleeve_fin_only_a10,rel_sleeve_vs_base
2019-11-18,30880860.97435826,30685795.58865801,0.9936832918660453
2019-11-19,30894879.774358258,30703019.288658008,0.9937898937590465
2019-11-20,30901687.47435826,30706646.888658006,0.9936883516195646
2019-11-21,30628647.62435826,30433738.63865801,0.9936363829023505
2019-11-22,30706546.22435826,30513864.488658007,0.9937250599825712
2019-11-25,30818591.774358258,30611305.988658007,0.9932740020304005
2019-11-26,30689891.92435826,30500105.388658006,0.9938159920481955
2019-11-27,30925663.62435826,30730818.188658006,0.9936995552280797
2019-11-28,30842821.67435826,30650925.788658008,0.9937782642675722
2019-11-29,30566627.12435826,30375842.538658008,0.9937584024261474
2019-12-02,30595838.87435826,30404116.88865801,0.9937337235142479
2019-12-03,30580872.72435826,30378065.788658008,0.9933681769801581
2019-12-04,30588815.02435826,30389288.188658006,0.9934771309205221
2019-12-05,30604704.27435826,30407872.08865801,0.9935685643639705
2019-12-06,30491577.824358262,30301402.538658008,0.9937630224714599
2019-12-09,30634815.02435826,30438238.18865801,0.993583221065838
2019-12-10,30528265.72435826,30341398.188658006,0.9938788682794006
2019-12-11,30602392.17435826,30403567.738658007,0.9935029773304177
2019-12-12,30723949.22435826,30531017.08865801,0.9937204643097348
2019-12-13,30883766.924358264,30693114.88865801,0.9938267881580894
2019-12-16,30805290.77435826,30619943.58865801,0.9939832677750754
2019-12-17,31041045.72435826,30863608.788658008,0.9942837964520952
2019-12-18,31243138.87435826,31050967.88865801,0.9938491780075923
2019-12-19,31175888.47435826,30982451.988658007,0.9937953176263332
2019-12-20,30917418.22435826,30748695.08865801,0.99454278056221
2019-12-23,31156862.77435826,30983478.33865801,0.9944351125157908
2019-12-24,31039236.97435826,30871187.038658008,0.9945858870229612
2019-12-25,31045679.27435826,30877809.438658006,0.9945928116367901
2019-12-26,31091328.92435826,30919429.438658006,0.9944711438318231
2019-12-27,31230377.824358262,31056053.538658008,0.9944181179401458
2019-12-30,31162493.22435826,30981208.738658007,0.994182606494446
2019-12-31,30996194.97435826,30814612.88865801,0.9941417943121578
2020-01-02,31025079.574358262,30843757.68865801,0.9941556351123717
2020-01-03,31124093.97435826,30948904.63865801,0.9943712631171021
2020-01-06,30875780.274358258,30703267.688658006,0.9944126890343393
2020-01-07,30911830.22435826,30728935.938658006,0.9940833562952175
2020-01-08,30752886.72435826,30583396.83865801,0.9944886511884425
2020-01-09,30943127.274358258,30778515.088658005,0.9946801697113316
2020-01-10,31036753.074358262,30868706.38865801,0.9945855584410636
2020-01-13,31380888.87435826,31230817.88865801,0.9952177586077597
2020-01-14,31529822.37435826,31385536.788658008,0.9954238376611474
2020-01-15,31394499.62435826,31246633.988658007,0.995290078279014
2020-01-16,31385542.27435826,31246836.38865801,0.9955805802401708
2020-01-17,31514609.324358262,31379155.938658006,0.9957018859315016
2020-01-20,31693345.87435826,31559713.33865801,0.9957835775298067
2020-01-30,30452641.574358262,30329417.08865801,0.9959535698931284
2020-01-31,30662859.32435826,30542850.788658008,0.9960861922748047
2020-02-03,30464323.22435826,30361491.038658008,0.9966245045083414
2020-02-04,30713056.02435826,30605299.93865801,0.9964915218591471
2020-02-05,30890946.22435826,30782988.188658006,0.9965051884485453
2020-02-06,31159105.22435826,31059550.138658006,0.9968049440128842
2020-02-07,30956652.27435826,30851529.288658008,0.9966041875339561
2020-02-10,30929406.67435826,30828456.038658008,0.996736095303634
2020-02-11,30966137.22435826,30871054.08865801,0.9969294479640342
2020-02-12,31018133.47435826,30916555.58865801,0.9967252096008864
2020-02-13,31117301.924358264,31016449.28865801,0.9967589530755138
2020-02-14,31153244.22435826,31055171.688658006,0.9968519318567929
2020-02-17,31195820.72435826,31105772.988658007,0.9971134679707291
2020-02-18,31248623.37435826,31172645.588658005,0.9975686037496743
2020-02-19,31607390.02435826,31536003.388658006,0.9977414574362122
2020-02-20,31575971.574358262,31511609.68865801,0.9979616815416531
2020-02-21,31320238.77435826,31255200.788658008,0.9979234517920247
2020-02-24,30963410.674358264,30891416.88865801,0.9976748754697145
2020-02-25,30933742.22435826,30864023.188658006,0.9977461816551456
2020-02-26,30721616.42435826,30645481.888658006,0.9975217926476067
2020-02-27,30679348.02435826,30599024.08865801,0.9973818239019787
2020-03-02,30275125.324358262,30195375.188658006,0.9973658197993951
2020-03-03,30568068.824358262,30488614.288658008,0.9974007342054615
