book,alpha,window,cagr,max_drawdown,vol,utility,n_days,mean_e45_exposure,exact_t1,live_wire
BLEND_E45_A10,0.1,validation_2019_2022,0.1122994145132421,-0.2168718841310523,0.1308627181681188,0.0038634724477159543,977,0.9906797294391435,True,False
BLEND_E45_A10,0.1,sealed_2023_plus,0.22739069565372372,-0.10577429644608305,0.15164401778998376,0.1745035474306822,879,0.9906797294391435,True,False
BLEND_E45_A10,0.1,heldout_2019_plus,0.1663791782881041,-0.2168718841310523,0.14106421425867885,0.057943236222577965,1856,0.9906797294391435,True,False
BLEND_E45_A15,0.15,full,0.1281585898147799,-0.21850026412867607,0.12388294016503303,0.018908457750441865,3351,0.9860195941587152,True,False
BLEND_E45_A15,0.15,oof_2011_2018,0.09122614152885955,-0.17071108472481689,0.1026080452887248,0.005870599166451107,1495,0.9860195941587152,True,False
BLEND_E45_A15,0.15,validation_2019_2022,0.1102765927866185,-0.21850026412867607,0.12955906915997462,0.0010264607222804645,977,0.9860195941587152,True,False
BLEND_E45_A15,0.15,sealed_2023_plus,0.21984286448730872,-0.09807307599909232,0.14790994091143198,0.17080632648776256,879,0.9860195941587152,True,False
BLEND_E45_A15,0.15,heldout_2019_plus,0.1617478843601421,-0.21850026412867607,0.13852568523743364,0.05249775229580406,1856,0.9860195941587152,True,False
BLEND_E45_A20,0.2,full,0.12543363158295473,-0.22020360864741095,0.12160263344237467,0.015331827259249253,3351,0.9813594588782871,True,False
BLEND_E45_A20,0.2,oof_2011_2018,0.0910908759144049,-0.1683832002151332,0.10152316448743412,0.006899275806838301,1495,0.9813594588782871,True,False
BLEND_E45_A20,0.2,validation_2019_2022,0.10902869437301677,-0.22020360864741095,0.12843158921698317,-0.001073109950688711,977,0.9813594588782871,True,False
BLEND_E45_A20,0.2,sealed_2023_plus,0.21085515955756717,-0.09315927605975616,0.14299013484088358,0.1642755215276891,879,0.9813594588782871,True,False
BLEND_E45_A20,0.2,heldout_2019_plus,0.1568300392931985,-0.22020360864741095,0.13548680705477423,0.04672823496949302,1856,0.9813594588782871,True,False
BLEND_E45_A25,0.25,full,0.124038092709855,-0.22008177023841224,0.11992778375578673,0.013997207590648875,3351,0.9766993235978588,True,False
BLEND_E45_A25,0.25,oof_2011_2018,0.09128144255463799,-0.165746292631895,0.1004628042853837,0.008408296238690494,1495,0.9766993235978588,True,False
BLEND_E45_A25,0.25,validation_2019_2022,0.10846661305403948,-0.22008177023841224,0.1274411027649833,-0.0015742720651666375,977,0.9766993235978588,True,False
BLEND_E45_A25,0.25,sealed_2023_plus,0.20564512383990396,-0.09332258706256946,0.13983088916830658,0.15898383030861923,879,0.9766993235978588,True,False
BLEND_E45_A25,0.25,heldout_2019_plus,0.15406866712029776,-0.22008177023841224,0.13341423752666234,0.04402778200109164,1856,0.9766993235978588,True,False
BLEND_E45_A30,0.3,full,0.12288663246756593,-0.2184481455648416,0.11848094121412006,0.013662559685145126,3351,0.9720391883174304,True,False
BLEND_E45_A30,0.3,oof_2011_2018,0.09151226436810611,-0.16426428531999615,0.09961637725253926,0.009380121708108036,1495,0.9720391883174304,True,False
BLEND_E45_A30,0.3,validation_2019_2022,0.10816754038984122,-0.2184481455648417,0.12608902487383747,-0.0010565323925796344,977,0.9720391883174304,True,False
BLEND_E45_A30,0.3,sealed_2023_plus,0.2008053635513667,-0.09333021039713629,0.13752913919990178,0.15414025835279854,879,0.9720391883174304,True,False
BLEND_E45_A30,0.3,heldout_2019_plus,0.1516463782659545,-0.2184481455648417,0.13159050497000396,0.04242230548353365,1856,0.9720391883174304,True,False
BLEND_E45_A35,0.35,full,0.12183700415975074,-0.21815909396452637,0.11736202923325594,0.012757457177487552,3351,0.9673790530370024,True,False
BLEND_E45_A35,0.35,oof_2011_2018,0.0915943982300984,-0.16316973396408974,0.09904739580138672,0.010009531248053538,1495,0.9673790530370024,True,False
BLEND_E45_A35,0.35,validation_2019_2022,0.10832620263822412,-0.21815909396452648,0.1250066712397478,-0.0007533443440391197,977,0.9673790530370024,True,False
BLEND_E45_A35,0.35,sealed_2023_plus,0.19615872861633843,-0.09321429942594994,0.13567838517455513,0.14955157890336346,879,0.9673790530370024,True,False
BLEND_E45_A35,0.35,heldout_2019_plus,0.1495629265710181,-0.21815909396452648,0.13012678102049632,0.040483379588754864,1856,0.9673790530370024,True,False
BLEND_E45_A40,0.4,full,0.12036549151949916,-0.21785278417674014,0.11615537717289241,0.011439099431129085,3351,0.9627189177565741,True,False
BLEND_E45_A40,0.4,oof_2011_2018,0.09172938958708965,-0.16225209870688084,0.09853600988336754,0.010603340233649228,1495,0.9627189177565741,True,False
BLEND_E45_A40,0.4,validation_2019_2022,0.1091687683743845,-0.21785278417674026,0.12414898838901982,0.00024237628601436745,977,0.9627189177565741,True,False
BLEND_E45_A40,0.4,sealed_2023_plus,0.1890245284197245,-0.09287215965745099,0.1332228221384947,0.142588448590999,879,0.9627189177565741,True,False
BLEND_E45_A40,0.4,heldout_2019_plus,0.14669533533945467,-0.21785278417674026,0.1284790623937072,0.03776894325108454,1856,0.9627189177565741,True,False
BLEND_E45_A45,0.45,full,0.11916935284549623,-0.21740945142287216,0.1151901220123772,0.010464627134060156,3351,0.9580587824761458,True,False
BLEND_E45_A45,0.45,oof_2011_2018,0.09180961189678571,-0.16145065650261958,0.09811757425128373,0.011084283645475923,1495,0.9580587824761458,True,False
BLEND_E45_A45,0.45,validation_2019_2022,0.10939185001787366,-0.21740945142287205,0.12339024094176301,0.0006871243064376364,977,0.9580587824761458,True,False
BLEND_E45_A45,0.45,sealed_2023_plus,0.18381859599534067,-0.09258681400572599,0.13133460094237748,0.13752518899247768,879,0.9580587824761458,True,False
BLEND_E45_A45,0.45,heldout_2019_plus,0.1443913299370405,-0.21740945142287205,0.12716511767630465,0.03568660422560449,1856,0.9580587824761458,True,False
BLEND_E45_A50,0.5,full,0.11784487012367761,-0.21685181389419883,0.11436996394993533,0.009418963176578199,3351,0.9533986471957177,True,False
BLEND_E45_A50,0.5,oof_2011_2018,0.09182260642147089,-0.16079008807925965,0.09774845881831323,0.011427562381841061,1495,0.9533986471957177,True,False
BLEND_E45_A50,0.5,validation_2019_2022,0.10855721351563408,-0.21685181389419872,0.12262348522618136,0.000131306568534717,977,0.9533986471957177,True,False
BLEND_E45_A50,0.5,sealed_2023_plus,0.17945664230139236,-0.09248103750299363,0.12987019538251168,0.13321612354989554,879,0.9533986471957177,True,False
BLEND_E45_A50,0.5,heldout_2019_plus,0.14190839697220947,-0.21685181389419872,0.1260568184073087,0.03348249002511011,1856,0.9533986471957177,True,False
BLEND_E45_A55,0.55,full,0.11682572443534145,-0.21604389653451905,0.11354147725587187,0.008803776168081923,3351,0.9487385119152894,True,False
BLEND_E45_A55,0.55,oof_2011_2018,0.09171827179687475,-0.1602063460285772,0.09735783112867108,0.011615098782586153,1495,0.9487385119152894,True,False
BLEND_E45_A55,0.55,validation_2019_2022,0.10827723671121792,-0.21604389653451905,0.1218786744437299,0.00025528844395839023,977,0.9487385119152894,True,False
