date,nav_base_e16_e18_e22_v2s,nav_blend_e45_a05,nav_blend_e45_a10,nav_blend_e45_a15,nav_blend_e45_a20,nav_blend_e45_a25,nav_blend_e45_a30,nav_blend_e45_a35,nav_blend_e45_a40,nav_blend_e45_a45,nav_blend_e45_a50,nav_blend_e45_a55,nav_blend_e45_a60,nav_blend_e45_a65,nav_blend_e45_a70,nav_blend_e45_a75,nav_blend_e45_a80,nav_blend_e45_a85,nav_blend_e45_a90,nav_blend_e45_a95,nav_chal_e45_e3
2022-12-27,7704492.389953281,7631753.9584071,7535503.590548997,7501838.222110721,7474570.855694385,7460543.646187845,7459467.514815343,7481457.620444741,7494310.205408633,7503119.983515951,7494045.059050002,7477843.261957181,7456242.6216934575,7424001.871836252,7382104.677979442,7367928.51919678,7316630.370653124,7272967.032187,7229119.41144659,7184292.647372368,7138367.683933445
2022-12-28,7660109.739953281,7587897.0084071,7488942.840548997,7454544.4221107215,7426817.255694386,7412780.896187845,7411813.014815343,7433193.170444742,7446316.755408633,7455203.3335159505,7447057.909050003,7431210.261957181,7409387.221693457,7377585.371836252,7336243.3779794425,7322448.569196781,7272315.620653124,7229159.282187,7185818.511446591,7140954.997372367,7095584.083933445
2022-12-29,7612491.689953282,7543049.1584071005,7447538.390548998,7415268.072110722,7388997.255694387,7375828.6961878445,7375371.014815343,7396545.320444742,7409194.455408633,7418064.883515951,7409978.009050002,7394135.011957181,7372280.721693457,7340698.321836252,7299632.327979443,7285995.919196781,7236296.970653124,7193494.532187,7150522.66144659,7106019.197372368,7061008.283933445
2022-12-30,7646252.089953282,7574706.9584071,7478336.940548996,7448453.322110721,7426450.755694386,7415255.046187844,7416014.214815343,7439239.370444742,7454008.305408632,7464096.933515951,7456631.759050002,7441219.66195718,7419804.221693457,7388187.721836252,7346930.277979443,7333211.069196781,7283030.970653124,7239784.582187,7196389.71144659,7151512.647372368,7106301.687037582
2023-01-03,7702179.689953282,7627605.6584071,7530329.140548997,7494389.872110722,7463786.905694386,7447989.046187844,7445948.964815343,7466127.0204447415,7477429.305408632,7485379.183515951,7476096.609050003,7459423.86195718,7436983.471693457,7404607.771836252,7362695.1279794425,7348463.96919678,7297699.420653123,7254168.132187,7210460.91144659,7165411.397372368,7119847.387037582
2023-01-04,7701818.239953281,7626494.6084071,7529108.540548997,7493514.322110722,7463258.055694385,7447581.096187845,7445660.814815342,7466809.970444742,7479962.655408633,7488895.933515951,7480747.2090500025,7464825.0619571805,7442802.321693457,7410790.971836252,7369134.677979442,7355111.96919678,7304708.920653123,7261187.782187,7217499.91144659,7172186.097372368,7126908.937037582
2023-01-05,7725237.839953281,7663898.8084071,7569483.840548997,7535202.722110721,7506448.905694386,7492050.996187844,7490710.114815342,7512299.670444742,7525237.905408633,7533984.783515951,7525363.309050002,7509072.51195718,7486794.921693457,7454303.221836251,7412149.027979443,7398163.229605784,7346735.320653124,7302756.032187,7258571.261446591,7213299.048041427,7167610.987037581
2023-01-06,7755069.689953282,7686324.9584071,7591360.990548997,7556131.022110722,7525926.755694387,7510381.4461878445,7508324.514815343,7529816.820444742,7542844.705408633,7551579.883515951,7542845.559050003,7526572.86195718,7504405.1216934575,7471843.871836252,7429529.577979443,7415377.729605784,7363697.470653124,7319541.632187,7275187.31144659,7229814.448041427,7183888.687037582
2023-01-09,7926428.739953281,7857133.9084071,7762113.590548997,7722887.6721107215,7688543.505694386,7670373.9461878445,7666572.614815342,7688880.320444741,7701815.555408632,7710139.8335159505,7699553.759050002,7682494.66195718,7660520.221693457,7626658.221836251,7582767.477979442,7567918.479605784,7513089.420653123,7467329.682186999,7421322.81144659,7375907.898041426,7327966.037037581
2023-01-10,7947606.703323982,7876469.372201843,7780013.760037507,7739940.814669939,7705269.724197969,7686793.542887842,7682843.199151765,7704360.344739156,7716278.080166549,7724038.719829499,7712971.756621984,7695368.628442828,7672792.569788471,7638578.994230721,7594395.778522563,7579893.979605784,7524358.552645421,7478419.755900037,7432237.06599804,7387131.898041427,7338984.637037582
