code,cash_ex_date,cash_payment_date,cash_dividend,stock_ex_date,stock_payment_date,source,source_url
2892,2010-08-11,2010-09-02,0.5,2010-08-11,2010-09-24,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2009-07-07,2009-08-06,0.5,2009-07-07,2009-08-20,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2008-08-12,2008-09-02,1.7,2008-08-12,2008-09-19,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2007-08-09,2007-08-29,1.0,2007-08-09,2007-09-21,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2006-08-08,2006-09-04,1.25,2006-08-08,2006-09-20,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2005-08-09,2005-09-05,0.75,2005-08-09,2005-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
5880,2026-08-11,2026-09-11,0.8,2026-08-11,2026-09-11,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2025-08-13,2025-09-16,0.7,2025-08-13,2025-10-07,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2024-08-14,2024-09-16,0.65,2024-08-14,2024-09-16,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2023-08-09,2023-09-12,0.5,2023-08-09,2023-09-12,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2022-08-10,2022-09-13,1.0,2022-08-10,2022-09-13,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2021-08-11,2021-08-31,0.85,2021-09-08,2021-10-13,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2020-08-12,2020-09-16,0.85,2020-08-12,2020-09-16,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2019-08-14,2019-09-18,0.75,2019-08-14,2019-09-18,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2018-08-21,2018-09-21,0.75,2018-08-21,2018-09-21,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2017-08-16,2017-09-18,0.75,2017-08-16,2017-09-18,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2016-08-10,2016-09-14,0.3,2016-08-10,2016-09-14,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2015-08-13,2015-09-25,0.5,2015-08-13,2015-09-25,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2014-08-19,2014-10-08,0.5,2014-08-19,2014-10-08,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2013-08-14,2013-10-09,0.4,2013-08-14,2013-10-03,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
5880,2012-08-03,2012-09-03,0.5,2012-08-03,2012-09-27,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend
2412,2026-07-09,2026-08-07,5.2,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2025-07-03,2025-08-08,5.0,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2024-07-04,2024-08-08,4.758,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2023-06-29,2023-08-04,4.702,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2022-06-30,2022-08-05,4.608,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2021-08-25,2021-09-28,4.306,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2020-07-02,2020-08-06,4.226,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2019-07-25,2019-08-28,4.479,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2018-07-23,2018-08-24,4.796,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2017-07-21,2017-08-25,4.9419,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2016-07-21,2016-08-26,5.4852,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2015-07-16,2015-08-27,4.8564,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2014-07-17,2014-08-27,4.5251,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2013-07-17,2013-08-23,5.35,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2012-07-17,2012-08-22,5.4608,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2011-07-21,2011-08-17,5.5243,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2010-08-12,2010-09-10,4.06,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2009-08-03,2009-09-02,3.83,2009-08-03,2009-09-18,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2008-10-17,2008-11-11,4.26,2008-10-17,2008-12-03,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2007-07-26,2007-08-23,3.58,2007-07-26,2007-09-07,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2006-08-10,2006-09-07,4.3,2006-08-10,2006-10-31,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2005-08-11,2005-08-31,4.7,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2004-07-13,2004-07-30,4.5,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2003-07-30,2003-08-15,4.0,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2002-07-10,2002-07-31,3.5,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2001-06-22,2001-07-31,5.8,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,2000-03-01,,4.76,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,1999-12-01,,4.99,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
2412,1998-12-01,,4.06,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend
3045,2026-07-09,2026-07-31,4.7443,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2025-07-09,2025-07-31,4.5,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2024-07-08,2024-07-31,4.3,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2023-06-30,2023-07-26,4.3,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2022-07-08,2022-08-03,4.3,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2021-08-23,2021-09-11,4.2995,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2020-07-17,2020-08-12,4.75,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2019-07-09,2019-07-31,5.549,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2018-07-10,2018-08-01,5.6,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2017-07-11,2017-08-03,5.6,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2016-06-30,2016-07-21,5.6,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2015-06-26,2015-07-17,5.6,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2014-06-27,2014-07-18,5.6,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2013-07-08,2013-07-26,5.5,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2012-07-09,2012-07-27,5.16,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2011-06-30,2011-07-21,4.1619,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2010-07-05,2010-07-23,5.0278,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2009-07-06,2009-07-24,4.687,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2008-07-01,2008-07-24,2.5433,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2007-07-18,2007-08-10,2.5876,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2006-07-13,2006-08-10,2.6168,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2005-07-14,2005-08-10,2.473,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2004-07-22,2004-08-23,2.3758,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2003-08-15,2003-09-12,2.0,2003-08-15,2003-09-22,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,2002-05-14,2002-05-24,1.9,2002-09-20,2002-10-25,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,,,,2001-05-09,2001-06-28,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,,,,2000-03-28,2001-06-28,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
3045,1999-03-19,,1.8,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend
