date,nav_base,nav_chal,rel_chal_vs_base
2017-04-28,710397399.0883764,707194394.2511436,0.9954912492059471
2017-05-02,721796279.5591934,718440673.9416233,0.9953510350321848
2017-05-03,723091847.5091933,719745973.9916233,0.9953728236197166
2017-05-04,726608234.6091933,723269983.2916232,0.9954057067363604
2017-05-05,721453016.5091933,718137211.7916232,0.9954039907773706
2017-05-08,724424309.0091933,721116978.6916233,0.9954345398457246
2017-05-09,723547847.1508375,720251439.4841883,0.9954441054871082
2017-05-10,722359359.5343975,719058556.4677483,0.9954305249553674
2017-05-11,724047419.036366,720716600.2363675,0.9953997228462861
2017-05-12,724824919.036366,721459900.2363675,0.99535747363036
2017-05-15,727695715.886366,724289789.5863674,0.995319573517277
2017-05-16,727096386.986366,723692850.2863674,0.9953190020457873
2017-05-17,725893558.2363659,722527685.0363674,0.9953631311894043
2017-05-18,723086464.6863661,719741880.3863674,0.9953745721108895
2017-05-19,723027963.636366,719706492.6363674,0.9954061652286673
2017-05-22,725002493.5863659,721625519.6863674,0.9953421209859656
2017-05-23,725581740.286366,722205334.9863675,0.9953466231128336
2017-05-24,726039071.286366,722644397.1863674,0.9953243919862549
2017-05-25,726589934.886366,723221627.3863674,0.9953642249386164
2017-05-26,727394585.122444,724045534.5618243,0.9953958269292643
2017-05-31,725053881.2724441,721693284.4118242,0.9953650384510428
2017-06-01,723951563.0862721,720599319.6973475,0.99536951978578
2017-06-02,725459613.0862721,722082069.6973475,0.9953442709587157
2017-06-03,726323013.0862721,722933869.6973475,0.9953338344953114
2017-06-05,728344375.6362722,724946312.1473476,0.9953345373389393
2017-06-06,728118794.6362722,724710749.9473475,0.9953193837131658
2017-06-07,727237476.6862723,723839399.8973476,0.9953274179372489
2017-06-08,731333950.1862721,727880531.5973475,0.9952779184009644
2017-06-09,728594456.6362722,725163776.9473475,0.9952913727826544
2017-06-12,726985274.5862722,723569076.9973476,0.9953008709965016
2017-06-13,728487933.2862723,725037419.2973475,0.9952634575931009
2017-06-14,725943262.0362722,722529884.5473475,0.9952980106470717
2017-06-15,726717208.7362722,723288149.8473476,0.9952814398122104
2017-06-16,727920815.3362722,724490519.2473476,0.9952875422482046
2017-06-19,731026091.9862722,727556061.5973475,0.9952532058336027
2017-06-20,732334651.7362722,728842841.6473476,0.9952319474701272
2017-06-21,732126237.6362722,728658091.7473476,0.9952629127182742
2017-06-22,735262197.5362722,731765793.2473476,0.9952446837323605
2017-06-23,734875277.4862721,731379670.2973475,0.9952432646790328
2017-06-26,746354053.9362721,742797385.8473475,0.9952346100752495
2017-06-27,750599225.3362721,747015742.0473475,0.9952258366809276
2017-06-28,745267937.7362722,741765410.4473475,0.9953003113221756
2017-06-29,753069943.9862722,749510128.9973476,0.9952729291384527
2017-06-30,751205468.3862722,747657524.3973476,0.9952769992522202
2017-07-03,753111036.6661396,749523164.3371373,0.995235931815732
2017-07-04,750355643.4529213,746788090.6565806,0.995245517472323
2017-07-05,755581428.4612747,751992372.9664459,0.9952499421509898
2017-07-06,752848480.5612748,749267548.4664459,0.9952434889791381
2017-07-07,749880877.2612747,746351363.7664459,0.9952932344298212
2017-07-10,748538539.1112747,745009316.7164459,0.9952851827789402
2017-07-11,753269593.9224261,749709412.8569908,0.995273696039028
2017-07-12,751872607.522426,748337643.0569907,0.9952984529160017
2017-07-13,753037152.122426,749498885.4569907,0.9953013385123659
2017-07-14,756025728.9224261,752484349.2569908,0.9953157947805785
2017-07-17,760410526.472426,756903025.5069908,0.9953873587446156
2017-07-18,762200421.072426,758669967.9069908,0.9953680776501438
2017-07-19,760707760.622426,757153400.9569907,0.995327562239503
2017-07-20,760098699.122426,756517546.2569908,0.9952885686167205
2017-07-21,755587351.9224261,752054960.3569907,0.9953249726104493
2017-07-24,759686695.472426,756108315.0069908,0.9952896628481693
2017-07-25,759838341.1224262,756281942.5569907,0.9953195326256083
2017-07-26,757513625.2724261,753980115.4069908,0.9953353844108552
2017-07-27,760731781.3724262,757198812.5069908,0.9953558284904811
2017-07-28,759272450.8724262,755724370.0069908,0.995326999074761
2017-07-31,754938940.972426,751414421.1069907,0.9953313842032105
2017-08-01,759011485.722426,755483384.9569907,0.9953517162364449
2017-08-02,766375521.9224261,762854027.9569907,0.9954050020326826
2017-08-03,763824756.0724261,760296903.4069908,0.9953813323836537
2017-08-04,771650204.9724262,768067716.0069907,0.9953573666638713
2017-08-07,777104906.722426,773499340.6569908,0.9953602582685491
2017-08-08,775469542.4224261,771895650.3569907,0.9953913185883856
2017-08-09,767307239.2724261,763780915.8069907,0.9954042875070759
2017-08-10,758996473.0724261,755504446.0069907,0.9953991524475738
2017-08-11,758091175.7425673,754618761.4053819,0.9954195294071533
2017-08-14,753308288.2425673,749862611.005382,0.9954259400952246
2017-08-15,755429409.6925673,751944546.455382,0.995386910818572
2017-08-16,756379981.9425675,752924442.4053819,0.9954314767449148
2017-08-17,765008164.8925674,761519537.455382,0.9954397513683069
2017-08-18,761052279.7553208,757571045.053011,0.9954257614162472
2017-08-21,760021765.3053207,756559888.303011,0.9954450291289763
2017-08-22,764790742.3053209,761285184.303011,0.9954163174207064
2017-08-23,764269570.4053208,760782727.503011,0.9954376792726936
2017-08-24,769785159.9553207,766279962.7530109,0.9954465253623319
2017-08-25,768036096.4553208,764548164.753011,0.9954586357094315
2017-08-28,773712579.1912646,770223857.4959981,0.9954909332107368
2017-08-29,772302351.0912646,768833764.2959982,0.9955087708973497
2017-08-30,773994258.2412646,770490709.4459982,0.9954734175893921
2017-08-31,777231132.3798009,773693909.0884745,0.9954489428640155
2017-09-01,776250032.7298009,772715380.0384744,0.9954465023609772
2017-09-04,770755222.2298008,767230196.7384744,0.995426530512335
2017-09-05,772423956.6798009,768898292.7884744,0.995435584485907
2017-09-06,767804516.6798009,764278886.1884744,0.9954081665127834
2017-09-07,767565945.7298009,764028388.1384745,0.9953912004421158
2017-09-08,769726594.7798009,766160879.3884745,0.9953675559406304
2017-09-11,768287666.6798009,764747386.1884744,0.9953919857823229
2017-09-12,771207414.6298008,767675280.2384744,0.9954199942527499
2017-09-13,767481395.7298009,763946888.1384745,0.9953946667489373
2017-09-14,766906194.2798009,763420391.9884745,0.995454721428349
2017-09-15,764777024.4298009,761279091.1384743,0.9954262050511592
2017-09-18,768226007.7798009,764758289.9884745,0.995486070822637
2017-09-19,767526830.6298009,764040705.5384744,0.9954579762528094
2017-09-20,766088047.1298009,762560418.2384745,0.9953952696370307
2017-09-21,765335810.9298009,761849121.1384745,0.9954442354042071
