book,kind,mode,cut,def_code,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,exact_t1_ok
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,1,sealed_2023_plus,0.18849065125589548,-0.12336847550536634,0.1268064135032123,0.14210898953148463,879,13035,698550.2462619358,5.094733161970828,True
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,1,full,0.10801357787277022,-0.23482326662260644,-0.009398055438533004,0.11585785500786128,3351,13035,698550.2462619358,5.094733161970828,True
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,2,heldout_2019_plus,0.12712052667701568,-0.2368701506189732,0.008685451367529073,0.13120681841613255,1856,12997,1265104.5320082968,5.049100879677734,True
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,2,sealed_2023_plus,0.17188320172194582,-0.12762967338588438,0.10806836502900363,0.142164239383391,879,12997,1265104.5320082968,5.049100879677734,True
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,2,full,0.09486167144364299,-0.2368701506189732,-0.023573403865843612,0.115917321178951,3351,12997,1265104.5320082968,5.049100879677734,True
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,1,heldout_2019_plus,0.11810282466736188,-0.23002406691121213,0.0030907912117558167,0.1206486502024211,1856,14994,845255.2857063666,6.8552450519988835,True
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,1,sealed_2023_plus,0.15860848444069187,-0.1085005309123559,0.10435821898451392,0.12896767617892652,879,14994,845255.2857063666,6.8552450519988835,True
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,1,full,0.0911447837039232,-0.23002406691121213,-0.023867249751682862,0.10684678622958277,3351,14994,845255.2857063666,6.8552450519988835,True
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,2,heldout_2019_plus,0.10049694061224534,-0.2321183283557473,-0.015562223565628308,0.1208077083343912,1856,14953,1490242.9961538934,6.785308028675798,True
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,2,sealed_2023_plus,0.13653555627933267,-0.11405192661720487,0.07950959297073024,0.12912695314981767,879,14953,1490242.9961538934,6.785308028675798,True
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,2,full,0.07398159048214259,-0.2321183283557472,-0.04207757369573101,0.10696218983910731,3351,14953,1490242.9961538934,6.785308028675798,True
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,1,heldout_2019_plus,0.1363470016523447,-0.2306678808555842,0.0210130612245526,0.13242346065674043,1856,13015,688632.7271002926,5.074318448267736,True
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,1,sealed_2023_plus,0.1848674329910427,-0.12339266118263659,0.1231711023997244,0.14279843556190025,879,13015,688632.7271002926,5.074318448267736,True
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,1,full,0.10587220550120646,-0.2306678808555841,-0.009461734926585585,0.11671769441487836,3351,13015,688632.7271002926,5.074318448267736,True
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,2,heldout_2019_plus,0.12300787689624948,-0.2322306699098009,0.0068925419413490285,0.13250118983108433,1856,12962,1250275.012106961,5.034559069477149,True
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,2,sealed_2023_plus,0.16806115071200023,-0.1277475170383977,0.10418739219280138,0.1428543850881675,879,12962,1250275.012106961,5.034559069477149,True
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,2,full,0.09274791081708189,-0.2322306699098009,-0.02336742413781856,0.11676001964691851,3351,12962,1250275.012106961,5.034559069477149,True
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,1,heldout_2019_plus,0.11188524605546424,-0.22436351965696888,-0.00029651377302020165,0.12289633287422193,1856,14953,827462.1041023298,6.8145738148780675,True
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,1,sealed_2023_plus,0.15342361275155514,-0.108668831874147,0.09908919681448164,0.13027363199430972,879,14953,827462.1041023298,6.8145738148780675,True
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,1,full,0.08792541889139205,-0.22436351965696888,-0.02425634093709239,0.10830481188525287,3351,14953,827462.1041023298,6.8145738148780675,True
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,2,heldout_2019_plus,0.09430159216106349,-0.2263558815872394,-0.018876348632556217,0.12302008163005415,1856,14942,1461794.6310577656,6.752921586199022,True
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,2,sealed_2023_plus,0.13124185114924503,-0.11419596012724065,0.0741438710856247,0.1303949961508509,879,14942,1461794.6310577656,6.752921586199022,True
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,2,full,0.07077989218017633,-0.2263558815872394,-0.04239804861344337,0.10839809404138002,3351,14942,1461794.6310577656,6.752921586199022,True
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,1,heldout_2019_plus,0.13839138187902122,-0.2329197946691124,0.02193148454446503,0.13168955459572138,1856,13041,693310.8816543198,5.089682809428429,True
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,1,sealed_2023_plus,0.1869336169953888,-0.12350597087085291,0.12518063155996234,0.14245483875484538,879,13041,693310.8816543198,5.089682809428429,True
