book,kind,cut,sleeves,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_score,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp,years_helped,n_years_helped,turnover_per_year,fees_tax_sum
BLEND_E45_A05,ref_e45,,,2,sealed_2023_plus,2.6803988168110915,1.4227910337783145,1.9690032999219342,-1.539721128826732,1.140161902968373,-2.1098020803109185,-0.08542678342109422,-0.006858673375553792,0.7366110395178094,-1.5397211288267099,2020,1,2.225674480040662,763092.3348075293
BLEND_E45_A05,ref_e45,,,2,full,0.7366110395178094,0.4272517314494628,0.522985173793078,-1.539721128826732,1.140161902968373,-2.1098020803109185,-0.08542678342109422,-0.006858673375553792,0.7366110395178094,-1.5397211288267099,2020,1,2.225674480040662,763092.3348075293
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,2,heldout_2019_plus,0.964108002428965,1.2892893769133718,0.3194633139722791,-1.7282167915167679,1.5213706183712539,-2.488902100702395,-0.07803227604455953,0.15011014872301498,0.9641080024289872,-1.7282167915167457,2020,1,2.2583892035879405,772298.401499703
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,2,sealed_2023_plus,3.3986440938879703,1.8670326458963604,2.46512777093979,-1.7282167915167679,1.5213706183712539,-2.488902100702395,-0.07803227604455953,0.15011014872301498,0.9641080024289872,-1.7282167915167457,2020,1,2.2583892035879405,772298.401499703
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,2,full,0.9641080024289872,0.5875981457069024,0.670308929575536,-1.7282167915167679,1.5213706183712539,-2.488902100702395,-0.07803227604455953,0.15011014872301498,0.9641080024289872,-1.7282167915167457,2020,1,2.2583892035879405,772298.401499703
M1_EQW_C25,m1,0.25,,2,heldout_2019_plus,2.730205761275928,4.486265186903049,0.48707316782440335,1.058066380599243,5.282713348970214,-1.583290293885864,1.0516268926511474,0.8514606869979624,2.730205761275939,1.0580663805992652,"2015,2018,2020,2022",4,2.6960081872483252,879633.4254064306
M1_EQW_C25,m1,0.25,,2,sealed_2023_plus,5.344451357146484,8.583873952273358,1.0525143810098054,1.058066380599243,5.282713348970214,-1.583290293885864,1.0516268926511474,0.8514606869979624,2.730205761275939,1.0580663805992652,"2015,2018,2020,2022",4,2.6960081872483252,879633.4254064306
M1_EQW_C25,m1,0.25,,2,full,2.730205761275939,2.5577876888186246,1.4513119168666266,1.058066380599243,5.282713348970214,-1.583290293885864,1.0516268926511474,0.8514606869979624,2.730205761275939,1.0580663805992652,"2015,2018,2020,2022",4,2.6960081872483252,879633.4254064306
M1_EQW_C50,m1,0.5,,2,heldout_2019_plus,5.322149286567324,6.523636421809065,2.0603310756627917,2.571467094798474,7.671348783663401,-1.2642072970332263,2.1569055369145884,1.2556559965804737,5.322149286567335,2.5714670947984963,"2015,2018,2020,2022",4,3.6355268526817213,1094120.5905126845
M1_EQW_C50,m1,0.5,,2,sealed_2023_plus,5.874305656590806,11.347955353263828,0.2003279799588924,2.571467094798474,7.671348783663401,-1.2642072970332263,2.1569055369145884,1.2556559965804737,5.322149286567335,2.5714670947984963,"2015,2018,2020,2022",4,3.6355268526817213,1094120.5905126845
M1_EQW_C50,m1,0.5,,2,full,5.322149286567335,4.228910901135774,3.207693835999448,2.571467094798474,7.671348783663401,-1.2642072970332263,2.1569055369145884,1.2556559965804737,5.322149286567335,2.5714670947984963,"2015,2018,2020,2022",4,3.6355268526817213,1094120.5905126845
M1_EQW_C75,m1,0.75,,2,heldout_2019_plus,7.9864621820066155,8.60911976544183,3.6819022992857002,3.989673424481377,10.109496384780225,-1.0650747679087358,3.1247750835227683,1.5537203774033337,7.9864621820066155,3.989673424481399,"2015,2018,2020,2022",4,4.7227955812004145,1291494.80341194
M1_EQW_C75,m1,0.75,,2,sealed_2023_plus,6.358335815145222,14.059361056279919,-0.6713447129947374,3.989673424481377,10.109496384780225,-1.0650747679087358,3.1247750835227683,1.5537203774033337,7.9864621820066155,3.989673424481399,"2015,2018,2020,2022",4,4.7227955812004145,1291494.80341194
M1_EQW_C75,m1,0.75,,2,full,7.986462182006626,6.007689001837102,4.982617681088075,3.989673424481377,10.109496384780225,-1.0650747679087358,3.1247750835227683,1.5537203774033337,7.9864621820066155,3.989673424481399,"2015,2018,2020,2022",4,4.7227955812004145,1291494.80341194
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,2,heldout_2019_plus,4.942584886203461,5.992216401169448,1.946476685618737,1.7880315125637702,7.048943872993618,-1.7364404239330389,1.783142176234609,1.1701266899891372,4.942584886203449,1.7880315125637813,"2015,2018,2020,2022",4,3.7381230876014877,1157126.535554056
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,2,sealed_2023_plus,5.6439543645667385,10.549575051963856,0.36916683858481036,1.7880315125637702,7.048943872993618,-1.7364404239330389,1.783142176234609,1.1701266899891372,4.942584886203449,1.7880315125637813,"2015,2018,2020,2022",4,3.7381230876014877,1157126.535554056
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,2,full,4.942584886203472,3.7963039060947334,3.044432933156105,1.7880315125637702,7.048943872993618,-1.7364404239330389,1.783142176234609,1.1701266899891372,4.942584886203449,1.7880315125637813,"2015,2018,2020,2022",4,3.7381230876014877,1157126.535554056
BASE_E16_E18_E22_v2s,ref,0.0,,3,heldout_2019_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.1763805022912925,1071121.9063740014
BASE_E16_E18_E22_v2s,ref,0.0,,3,sealed_2023_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.1763805022912925,1071121.9063740014
BASE_E16_E18_E22_v2s,ref,0.0,,3,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.1763805022912925,1071121.9063740014
BLEND_E45_A05,ref_e45,,,3,heldout_2019_plus,0.7562688169570397,0.9925323484194726,0.26000264274730345,-1.6013424884892546,1.1705746559550478,-2.1866298164667786,-0.07708267807758906,-0.03381420622071696,0.7562688169570397,-1.6013424884892435,2020,1,2.215592797383246,1090070.964962673
BLEND_E45_A05,ref_e45,,,3,sealed_2023_plus,2.7724925625807972,1.4821151785098463,2.031434973325874,-1.6013424884892546,1.1705746559550478,-2.1866298164667786,-0.07708267807758906,-0.03381420622071696,0.7562688169570397,-1.6013424884892435,2020,1,2.215592797383246,1090070.964962673
