book,kind,mode,cut,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,mean_e45_exposure,exact_t1_ok
M2_RELOC_719B_C50,m2_reloc_719b,RELOC_719B,0.5,3,full,0.07585539055885548,-0.19861317346313667,-0.02345119617271285,0.11280001396020173,3351,17422,1651031.5403086648,4.5671483834221185,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,0,heldout_2019_plus,0.11287034323186318,-0.16858263997931233,0.028579023242207013,0.11771902392638717,1856,18822,0.0,5.772287504170326,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,0,sealed_2023_plus,0.17155172878614944,-0.08234833099206851,0.13037756329011518,0.11678603779863049,879,18822,0.0,5.772287504170326,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,0,full,0.09805822090560867,-0.16858263997931233,0.013766900915952507,0.10434158998181342,3351,18822,0.0,5.772287504170326,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,1,heldout_2019_plus,0.09799001761760207,-0.17300461952904167,0.01148770785308123,0.11803684511954504,1856,18688,738475.9877656456,5.774978023958138,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,1,sealed_2023_plus,0.1541935584670071,-0.0879355981756661,0.11022575937917406,0.1172413756964516,879,18688,738475.9877656456,5.774978023958138,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,1,full,0.08216934948721022,-0.17300461952904178,-0.004332960277310671,0.10454984328233825,3351,18688,738475.9877656456,5.774978023958138,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,2,heldout_2019_plus,0.08323832448987645,-0.18871068950060377,-0.011117020260425436,0.11835170233427258,1856,18633,1319006.930047062,5.786546172500091,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,2,sealed_2023_plus,0.13718600535383163,-0.09342571071375749,0.09047314999695288,0.117721656597511,879,18633,1319006.930047062,5.786546172500091,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,2,full,0.06650093483889252,-0.18871068950060388,-0.027854409911409417,0.10476589277117808,3351,18633,1319006.930047062,5.786546172500091,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,3,heldout_2019_plus,0.06886263867604603,-0.20583325440757905,-0.034053988527743495,0.1186506084703551,1856,18536,1772127.6067411478,5.790128438306934,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,3,sealed_2023_plus,0.12040539442005582,-0.09856900227462828,0.07112089328274168,0.11814819306304893,879,18536,1772127.6067411478,5.790128438306934,1.0,True
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,3,full,0.05119945888608535,-0.20583325440757916,-0.05171716831770423,0.1049802136235609,3351,18536,1772127.6067411478,5.790128438306934,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,0,heldout_2019_plus,0.16139328083346083,-0.1930183033494446,0.06488412915873853,0.12573098101279945,1856,13126,0.0,5.156910543689597,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,0,sealed_2023_plus,0.21918845311689417,-0.10979178382512866,0.16429256120432983,0.1378293272413298,879,13126,0.0,5.156910543689597,1.0,True
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,0,full,0.12663840652396252,-0.19301830334944448,0.030129254849240283,0.11201794947980832,3351,13126,0.0,5.156910543689597,1.0,True
