book,kind,mode,cut,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_score,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp,years_helped,n_years_helped,turnover_per_year,fees_tax_sum
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,0,sealed_2023_plus,5.3441434073452925,8.443820149000159,1.1222333328452132,0.0002060196688358218,8.826374968703398,-4.412981464682863,5.096088576362401,1.7173014566042255,5.606050366848681,5.501684371547933,"2015,2018,2020,2022",4,5.772287504170326,0.0
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,0,full,5.562601632500675,4.601386584258771,3.2619083403712894,0.0002060196688358218,8.826374968703398,-4.412981464682863,5.096088576362401,1.7173014566042255,5.606050366848681,5.501684371547933,"2015,2018,2020,2022",4,5.772287504170326,0.0
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,0,heldout_2019_plus,3.119035295487449,2.6469345276650014,1.7955680316549483,5.4676963208059925,3.125338475312267,3.905027083149859,3.3214679419674487,1.3697026696802062,3.119035295487471,5.46769632080597,"2015,2018,2020,2022",4,5.156910543689597,0.0
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,0,sealed_2023_plus,2.5997981240392765,3.6801477159256857,0.7597242660764336,5.4676963208059925,3.125338475312267,3.905027083149859,3.3214679419674487,1.3697026696802062,3.119035295487471,5.46769632080597,"2015,2018,2020,2022",4,5.156910543689597,0.0
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,0,full,3.11903529548746,1.743368022423386,2.247351284275767,5.4676963208059925,3.125338475312267,3.905027083149859,3.3214679419674487,1.3697026696802062,3.119035295487471,5.46769632080597,"2015,2018,2020,2022",4,5.156910543689597,0.0
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,0,heldout_2019_plus,5.509627745533496,4.245717991162512,3.3867687499522403,6.921724925173112,5.007855582792442,4.41779713377689,5.096088576362401,1.7410087943865782,5.509627745533507,6.9217249251730895,"2015,2018,2020,2022",4,6.955317662850187,0.0
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,0,sealed_2023_plus,4.1983919813221355,5.775996429617991,1.31039376651314,6.921724925173112,5.007855582792442,4.41779713377689,5.096088576362401,1.7410087943865782,5.509627745533507,6.9217249251730895,"2015,2018,2020,2022",4,6.955317662850187,0.0
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,0,full,5.509627745533496,2.8316729072279667,4.093791291919513,6.921724925173112,5.007855582792442,4.41779713377689,5.096088576362401,1.7410087943865782,5.509627745533507,6.9217249251730895,"2015,2018,2020,2022",4,6.955317662850187,0.0
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,0,heldout_2019_plus,5.587882339622774,6.073010903925202,2.551376887660173,2.6793714008283898,7.154540909807028,-0.8978990540751242,2.8381435239761554,1.5135363065625795,5.587882339622796,2.6793714008283787,"2015,2018,2020,2022",4,4.406512026903357,0.0
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,0,sealed_2023_plus,5.99180826874689,9.54661668939183,1.2184999240509757,2.6793714008283898,7.154540909807028,-0.8978990540751242,2.8381435239761554,1.5135363065625795,5.587882339622796,2.6793714008283787,"2015,2018,2020,2022",4,4.406512026903357,0.0
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,0,full,5.5878823396227855,3.529592224316569,3.823086227464501,2.6793714008283898,7.154540909807028,-0.8978990540751242,2.8381435239761554,1.5135363065625795,5.587882339622796,2.6793714008283787,"2015,2018,2020,2022",4,4.406512026903357,0.0
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,0,heldout_2019_plus,8.31474083800574,7.7283841762065375,4.450548749902471,4.183019080434036,9.094692236819114,-0.3643270379755208,4.1780654443706045,1.985277979032718,8.314740838005763,4.1830190804340255,"2015,2018,2020,2022",4,5.682173687402535,0.0
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,0,sealed_2023_plus,6.66665130482984,11.326695803878305,1.0033034028906878,4.183019080434036,9.094692236819114,-0.3643270379755208,4.1780654443706045,1.985277979032718,8.314740838005763,4.1830190804340255,"2015,2018,2020,2022",4,5.682173687402535,0.0
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,0,full,8.314740838005752,4.739096601523163,5.945192537244171,4.183019080434036,9.094692236819114,-0.3643270379755208,4.1780654443706045,1.985277979032718,8.314740838005763,4.1830190804340255,"2015,2018,2020,2022",4,5.682173687402535,0.0
BASE_E16_E18_E22_v2s,ref,,,1,heldout_2019_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.18569227557563,391684.7088881098
BASE_E16_E18_E22_v2s,ref,,,1,sealed_2023_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.18569227557563,391684.7088881098
BASE_E16_E18_E22_v2s,ref,,,1,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.18569227557563,391684.7088881098
BLEND_E45_A05,ref_e45,,,1,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,-1.4865418444504397,1.1342731286939856,-2.0536784087974325,-0.0757229701511486,0.062216719367702567,0.7024106199616909,-1.4865418444504397,2020,1,2.233277734222544,400183.75862767885
BLEND_E45_A05,ref_e45,,,1,sealed_2023_plus,2.7784750941674097,1.4195835045774485,2.0686833418786854,-1.4865418444504397,1.1342731286939856,-2.0536784087974325,-0.0757229701511486,0.062216719367702567,0.7024106199616909,-1.4865418444504397,2020,1,2.233277734222544,400183.75862767885
BLEND_E45_A05,ref_e45,,,1,full,0.7024106199616909,0.42342237927519566,0.490699430324093,-1.4865418444504397,1.1342731286939856,-2.0536784087974325,-0.0757229701511486,0.062216719367702567,0.7024106199616909,-1.4865418444504397,2020,1,2.233277734222544,400183.75862767885
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,1,heldout_2019_plus,0.9119746801036444,1.253015844704719,0.2854667577512848,-1.6680524154453091,1.4797064761568945,-2.4079056535237564,-0.06311787655725043,0.17105472034134594,0.9119746801036666,-1.668052415445298,2020,1,2.265940532357012,405612.14461244736
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,1,sealed_2023_plus,3.4184805927018114,1.8016299024675497,2.5176656414680365,-1.6680524154453091,1.4797064761568945,-2.4079056535237564,-0.06311787655725043,0.17105472034134594,0.9119746801036666,-1.668052415445298,2020,1,2.265940532357012,405612.14461244736
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,1,full,0.9119746801036444,0.5604244367688915,0.6317624617191986,-1.6680524154453091,1.4797064761568945,-2.4079056535237564,-0.06311787655725043,0.17105472034134594,0.9119746801036666,-1.668052415445298,2020,1,2.265940532357012,405612.14461244736
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,1,heldout_2019_plus,5.354807914755244,6.002039703485207,2.3537880630126407,2.831788936594859,7.065834538839333,-0.7011283328248075,2.2800183806319763,1.3671429597266749,5.3548079147552325,2.831788936594859,"2015,2018,2020,2022",4,3.652030667183624,590274.6200734263
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,1,sealed_2023_plus,6.229576048022977,10.647198997371898,0.9059765493370282,2.831788936594859,7.065834538839333,-0.7011283328248075,2.2800183806319763,1.3671429597266749,5.3548079147552325,2.831788936594859,"2015,2018,2020,2022",4,3.652030667183624,590274.6200734263
