portfolio,start,end,days,ending_nav,cumulative_return,cagr,annualized_volatility,sharpe_rf0,max_drawdown,calmar,average_daily_turnover,total_cost,trade_count,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,turnover_feasible,utility
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.4491391904793525,0.44913919047935247,0.04857271282481146,0.20435489672080043,0.3347144592947103,-0.37386898261433743,0.12991907615646303,0.04909182745345586,0.37585404775478015,2910,20,21,1.25,INDUSTRY_LIQUIDITY,5,false,-0.13836177848235726
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.9352889363474641,0.9352889363474641,0.08808184806948915,0.1950294808781754,0.5308286805709322,-0.35143544243022673,0.2506345047624977,0.04082746493847966,0.3606213552048254,2730,20,21,1.5,NONE,3,false,-0.08763587314562421
TRAIN_OOF,2011-01-03,2018-12-28,1972,2.0335763619174236,1.0335763619174236,0.09499541189792149,0.19664966249274868,0.5602673381933211,-0.3449127729088157,0.2754186546841376,0.03835009378816391,0.33343833347704316,2673,20,21,1.5,NONE,5,false,-0.07746097455648637
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.377865175851079,0.3778651758510789,0.0418330249160781,0.1994714696109667,0.30557076937964733,-0.3852816358321829,0.10857778057789214,0.04752153206007565,0.3537186286167046,2876,20,21,1.5,INDUSTRY_LIQUIDITY,3,false,-0.15080779300001335
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.6183713143962035,0.6183713143962035,0.06348521312178912,0.20544459879032653,0.40277013859961813,-0.37760952430838757,0.16812397207953308,0.04526158300233672,0.35501665205103866,2823,20,21,1.5,INDUSTRY_LIQUIDITY,5,false,-0.12531954903240466
TRAIN_OOF,2011-01-03,2018-12-28,1972,2.0605270179252844,1.0605270179252844,0.09684016647035709,0.19422118472733477,0.5735503939935913,-0.3542082337607043,0.2733989705495674,0.03479297611502455,0.3106341481788624,2592,20,21,2.0,NONE,3,false,-0.08026395040999507
TRAIN_OOF,2011-01-03,2018-12-28,1972,2.068213078097618,1.0682130780976178,0.09736241516952804,0.19536933639553083,0.5736841316464771,-0.3533109796539672,0.2755714392597841,0.03253513886952064,0.29154843465498353,2543,20,21,2.0,NONE,5,false,-0.07929307465745555
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.4692898471276468,0.46928984712764676,0.050425701995351346,0.20002672010338302,0.3463208865683762,-0.37879793137394524,0.1331203204105453,0.04208435853232717,0.3228426027612897,2757,20,21,2.0,INDUSTRY_LIQUIDITY,3,false,-0.13897326369162127
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.5570514735089653,0.5570514735089653,0.05824611084866205,0.20284086179258876,0.380921804221822,-0.4062449179320936,0.1433768356910209,0.03883429262990363,0.29647683391064783,2683,20,21,2.0,INDUSTRY_LIQUIDITY,5,false,-0.14487634811738476
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.3544526702296171,0.35445267022961713,0.03955271632649926,0.19227527722235965,0.2980690568883275,-0.31493159182530195,0.12559145336057564,0.08733141453096466,0.6305634844178785,14496,30,5,1.25,NONE,3,false,-0.11791307958615171
