id,mode,assist,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
KD+BOTH__BELOW_MA60__ABOVE_MA20,KD+BOTH,BELOW_MA60+ABOVE_MA20,-3.442308677067929,-2.871045241432635,1.1425268712705883,ALERT,ALERT,False,False,-3.9829455346478526,5214,0.13492681655932204,-0.25257767525572317
KD+SELL_ROC10_GT5,KD+SELL_HIGH,ROC10_GT5,-3.5681167698224714,-3.3098870598827768,0.5164594198793893,PASS,ALERT,False,False,-4.108753627402395,3999,0.14070171547239596,-0.2569660934402246
KD+BOTH__BELOW_MA20__MACD_HIST_POS,KD+BOTH,BELOW_MA20+MACD_HIST_POS,-3.653011429438524,-3.0584360226207363,1.1891508136355755,ALERT,ALERT,False,False,-4.193648287018448,4913,0.13764590929298492,-0.25445158306760407
KD+BOTH__BELOW_MA60__BIAS20_GT5,KD+BOTH,BELOW_MA60+BIAS20_GT5,-3.686254451211124,-3.5722714784223064,0.22796594557763505,ALERT,PASS,False,False,-4.226891308791048,3643,0.14022759954912334,-0.2595899376256199
KD+BUY_AND_K9_LT20,KD+BUY_AND_LOW,K9_LT20,-0.4178489802259877,1.3770593088617278,3.589816578175431,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-0.9584858378059113,6660,0.11743467661634566,-0.21009662975277954
KD+BOTH__D9_LT20__RSI14_GT70,KD+BOTH,D9_LT20+RSI14_GT70,-0.5236938047033957,1.1935661336004877,3.4345198766077667,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.0643306622833193,4868,0.11533790717597192,-0.21193156150539194
KD+BOTH__D9_LT20__D9_GT80,KD+BOTH,D9_LT20+D9_GT80,-0.5336347913825978,0.8124527872445442,2.692175157254284,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.0742716489625215,5708,0.11854687268910191,-0.21574269496895127
KD+BOTH__D9_LT20__CCI20_GT100,KD+BOTH,D9_LT20+CCI20_GT100,-0.5977749830837431,1.345082179135193,3.8857143244378722,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.1384118406636667,5936,0.11407477739230565,-0.210416401050045
KD+BOTH__CCI20_LT_N100__RSI14_GT70,KD+BOTH,CCI20_LT_N100+RSI14_GT70,-0.6270156694697993,-0.02318212860483726,1.207667081729924,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.1676525270497229,4219,0.1300216915341661,-0.2240990441274452
KD+BOTH__D9_LT20__BB_UPPER,KD+BOTH,D9_LT20+BB_UPPER,-0.720430615849621,1.1802979419477944,3.8014571155948307,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.2610674734295446,5591,0.1142860616232586,-0.21206424342191887
KD+BOTH__D9_LT20__BB_PCTB_GT1,KD+BOTH,D9_LT20+BB_PCTB_GT1,-0.720430615849621,1.1802979419477944,3.8014571155948307,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.2610674734295446,5591,0.1142860616232586,-0.21206424342191887
