date,financial_equal_weight,E9A_static_10pct_telco,E9B_static_20pct_telco,E9C_trend_defensive_10_30,E9D_relative_strength_10_30,E9E_stress_defensive_10_35
2022-11-29,3.346435055660241,3.3645422470990702,3.3743274887483095,3.379198626241131,3.163116568653455,3.4008198697607703
2022-11-30,3.390580377841368,3.409965553440951,3.4209250424271453,3.4216365972468084,3.2058205094397256,3.446732945422367
2022-12-01,3.3755706518618616,3.391038796464869,3.3980939273068476,3.4026450610211096,3.1880268441547854,3.427602113806301
2022-12-02,3.3437471337070415,3.3642174182321374,3.3763754244142388,3.375731883186481,3.1628111863769037,3.4004915384800767
2022-12-05,3.3386749281726864,3.3596033544766626,3.372235647331681,3.3711020272069,3.1584733536371457,3.395827724342064
2022-12-06,3.3102545937346957,3.3314200354843906,3.3443630863910134,3.3404798466621584,3.131977290661279,3.367340523354362
2022-12-07,3.3429144021961936,3.364751559366232,3.3782887983109817,3.374830317085106,3.1633133499840667,3.40103143890298
2022-12-08,3.3224538250569378,3.34477014498857,3.358842278061269,3.3516099603335596,3.144528166668979,3.380834578215596
2022-12-09,3.334778217685462,3.3570580273838178,3.371062065269149,3.3605266842146366,3.156080408116262,3.393254952679038
2022-12-12,3.339999426043663,3.3630403407051217,3.3777985852104955,3.3679691230971063,3.161704577169811,3.3993017693084817
2022-12-13,3.305749959214633,3.328246698548147,3.342542998576629,3.32995186139051,3.1289939324794616,3.3641329704352296
2022-12-14,3.337689655891803,3.3590342410433056,3.3720873900365405,3.3548779302439717,3.1579383114238855,3.3952524745368398
2022-12-15,3.3292147184399603,3.3500418047001443,3.3625949073450596,3.342736325707815,3.1494842269450416,3.3861630787298025
2022-12-16,3.2908228140575106,3.312401202384865,3.325808451602253,3.3040075774143736,3.1140970615913557,3.3481166228192145
2022-12-19,3.2895549066402627,3.3112051590990195,3.324688069727489,3.3029745145178735,3.1129726220520557,3.3469076833936198
2022-12-20,3.271424428537467,3.293741327043546,3.3079422990687335,3.287122128935757,3.0965543004885565,3.3292555504451844
2022-12-21,3.2643526502282496,3.2893277410658572,3.3062277870661503,3.2881194034955867,3.092404943486058,3.3247943757035796
2022-12-22,3.3052731082891182,3.327997438483164,3.3425191535260064,3.321649104899236,3.1287595949132947,3.363881022764647
2022-12-23,3.2774056592229175,3.301916773554673,3.318311695999863,3.2995673979539153,3.1042403060180708,3.3375191473618764
2022-12-26,3.2888045754492716,3.313746846075246,3.3305481314885546,3.3120803727105748,3.115362145379862,3.3494767756910684
2022-12-27,3.299101816448642,3.322918044094813,3.3385555867397625,3.318839895310748,3.123984289576478,3.3587468606428463
2022-12-28,3.27723338171495,3.3025369599978576,3.319731551223953,3.3017702240997906,3.1048233636437503,3.338146020863244
2022-12-29,3.252202393094421,3.279387622116478,3.2985474052482098,3.2827751281638595,3.083059911492397,3.3147470790587
2022-12-30,3.2690081022710293,3.295036670883717,3.3129831651832715,3.29584338272423,3.097772095737371,3.330564861116978
2023-01-03,3.270050656998367,3.2972943177058562,3.316466472189768,3.3005157552713342,3.0998945835959892,3.3328468506441578
2023-01-04,3.2748376675224997,3.3031989753817723,3.323489494537156,3.3085838182956726,3.1054457460291616,3.3388151743190067
2023-01-05,3.307705007322767,3.333189663688616,3.3504836925879404,3.3322905004336882,3.133640976203635,3.3691292322832527
2023-01-06,3.3123180591238306,3.3387264543836612,3.3569420159151027,3.339601712356336,3.1388462948171147,3.3747257225120944
2023-01-09,3.3868687091146232,3.4116432025114003,3.428016151047837,3.4080798514129858,3.2073977223802688,3.448428683467619
2023-01-10,3.391407327218076,3.4157066523640793,3.4315882945952025,3.4089286459035484,3.2112179049224805,3.4525359467991117
2023-01-11,3.3640116000934355,3.3834593560646953,3.3945141367096765,3.376745339988848,3.180901163527182,3.4199409493382937
2023-01-12,3.3524802487602576,3.3710698440497073,3.3812900618184654,3.3643804132796333,3.169253376739565,3.4074178494504745
2023-01-13,3.3549318769168064,3.374889171852204,3.386479179441434,3.368192162144254,3.1728440521319197,3.411278358525984
