book,alpha,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,turnover_per_year,fees_tax_sum,n_fills,book_cagr,base_cagr,book_mdd,base_mdd
BLEND_E45_A25,0.25,1,heldout_2019_plus,0.45190621351619553,2.7191223715498314,-0.9076549722587202,2.3050196205038636,405459.81220810884,6410,0.1548439985792287,0.18203522229472702,-0.22091438224309323,-0.2254334443782552
BLEND_E45_A25,0.25,1,full,0.45190621351618443,1.3289479376655589,-0.212567755316595,2.3050196205038636,405459.81220810884,6410,0.12460447735272973,0.13789395672938531,-0.22091438224309323,-0.22543344437825508
CHAL_E45_E3,1.0,1,heldout_2019_plus,1.7098029519699187,5.411064986379199,-0.9957295412196809,2.3087497007231046,388995.7044729777,6835,0.12792457243093502,0.18203522229472702,-0.208335414858556,-0.2254334443782552
CHAL_E45_E3,1.0,1,full,1.7098029519699187,2.8752291324421364,0.2721883857488505,2.3087497007231046,388995.7044729777,6835,0.10914166540496395,0.13789395672938531,-0.2083354148585559,-0.22543344437825508
BASE_E16_E18_E22_v2s,0.0,2,heldout_2019_plus,0.0,0.0,0.0,2.1781887970938945,746243.4866161725,6121,0.17628281683062874,0.17628281683062874,-0.226955650132887,-0.226955650132887
BASE_E16_E18_E22_v2s,0.0,2,full,0.0,0.0,0.0,2.1781887970938945,746243.4866161725,6121,0.13174310802986677,0.13174310802986677,-0.2269556501328871,-0.2269556501328871
BLEND_E45_A05,0.05,2,heldout_2019_plus,0.7366110395178094,0.9660298204434037,0.25359612929610753,2.225674480040662,763092.3348075293,6158,0.1666225186261947,0.17628281683062874,-0.2195895397377089,-0.226955650132887
BLEND_E45_A05,0.05,2,full,0.7366110395178094,0.4272517314494628,0.522985173793078,2.225674480040662,763092.3348075293,6158,0.12747059071537215,0.13174310802986677,-0.219589539737709,-0.2269556501328871
BLEND_E45_A10,0.1,2,heldout_2019_plus,0.8795223364614579,1.5277038791461584,0.11567039688837877,2.262954303310081,770959.3846690988,6239,0.16100577803916716,0.17628281683062874,-0.2181604267682724,-0.226955650132887
BLEND_E45_A10,0.1,2,full,0.879522336461469,0.7108820667761195,0.5240813030734093,2.262954303310081,770959.3846690988,6239,0.12463428736210558,0.13174310802986677,-0.2181604267682724,-0.2269556501328871
BLEND_E45_A25,0.25,2,heldout_2019_plus,0.4704755894014867,2.795232794845548,-0.9271408080212873,2.2972515844704,771034.1075791632,6383,0.14833048888217326,0.17628281683062874,-0.22225089423887212,-0.226955650132887
BLEND_E45_A25,0.25,2,full,0.4704755894014867,1.378740300148884,-0.21889456067295532,2.2972515844704,771034.1075791632,6383,0.11795570502837793,0.13174310802986677,-0.22225089423887223,-0.2269556501328871
CHAL_E45_E3,1.0,2,heldout_2019_plus,1.7110971719081158,5.518312726117913,-1.0480591911508408,2.3100022910154534,742769.3384603505,6824,0.12109968956944961,0.17628281683062874,-0.20984467841380583,-0.226955650132887
CHAL_E45_E3,1.0,2,full,1.7110971719081158,2.9351146107293946,0.24353986654341853,2.3100022910154534,742769.3384603505,6824,0.10239196192257283,0.13174310802986677,-0.20984467841380594,-0.2269556501328871
BASE_E16_E18_E22_v2s,0.0,3,heldout_2019_plus,0.0,0.0,0.0,2.1763805022912925,1071121.9063740014,6105,0.1707297752219452,0.1707297752219452,-0.22881748058361306,-0.22881748058361306
BASE_E16_E18_E22_v2s,0.0,3,full,0.0,0.0,0.0,2.1763805022912925,1071121.9063740014,6105,0.12580370452487655,0.12580370452487655,-0.22881748058361318,-0.22881748058361318
BLEND_E45_A05,0.05,3,heldout_2019_plus,0.7562688169570397,0.9925323484194726,0.26000264274730345,2.215592797383246,1090070.964962673,6132,0.1608044517377505,0.1707297752219452,-0.22125479241404267,-0.22881748058361306
BLEND_E45_A05,0.05,3,full,0.7562688169570397,0.45254457992529584,0.5299965269943918,2.215592797383246,1090070.964962673,6132,0.12127825872562359,0.12580370452487655,-0.22125479241404278,-0.22881748058361318
BLEND_E45_A10,0.1,3,heldout_2019_plus,0.9761337276200432,1.5490988100038239,0.2015843226181313,2.249277709026033,1100549.6668097705,6172,0.15523878712190697,0.1707297752219452,-0.21905614330741263,-0.22881748058361306
BLEND_E45_A10,0.1,3,full,0.9761337276200543,0.7275932983887845,0.6123370784256621,2.249277709026033,1100549.6668097705,6172,0.1185277715409887,0.12580370452487655,-0.21905614330741263,-0.22881748058361318
BLEND_E45_A25,0.25,3,heldout_2019_plus,0.561779047043498,2.8870026895744916,-0.8817222977437478,2.288898771729339,1099955.6286682994,6355,0.1418597483262003,0.1707297752219452,-0.22319969011317808,-0.22881748058361306
BLEND_E45_A25,0.25,3,full,0.5617790470435091,1.4509608356017,-0.16370137075734092,2.288898771729339,1099955.6286682994,6355,0.11129409616885955,0.12580370452487655,-0.22319969011317808,-0.22881748058361318
CHAL_E45_E3,1.0,3,heldout_2019_plus,1.7461881532136792,5.643004688232978,-1.0753141909028097,2.3090059704519863,1062782.4723793902,6858,0.11429972833961544,0.1707297752219452,-0.21135559905147627,-0.22881748058361306
CHAL_E45_E3,1.0,3,full,1.7461881532136903,3.0193858759061776,0.23649521526060147,2.3090059704519863,1062782.4723793902,6858,0.09560984576581477,0.12580370452487655,-0.21135559905147627,-0.22881748058361318
