date,nav_base,nav_fin_pre_exdiv_kd,nav_fin_rs_soft_tilt_exdiv,nav_mix_l75
2013-04-10,508870225.7836935,508870225.7836935,508464130.0054542,508770217.66397643
2013-04-11,511002825.7836935,511002825.7836935,510665130.0054542,510920967.66397643
2013-04-12,509745675.7836935,509745675.7836935,509131030.0054542,509593017.66397643
2013-04-15,507239625.7836935,507239625.7836935,506341430.0054542,507014917.66397643
2013-04-16,506220125.7836935,506220125.7836935,504919980.0054542,505890217.66397643
2013-04-17,500860125.7836935,500860125.7836935,499310830.0054542,500467417.66397643
2013-04-18,501007925.8319394,501007925.8319394,499762730.80290294,500693592.4880832
2013-04-19,508628375.8319394,508628375.8319394,507789730.80290294,508416042.4880832
2013-04-22,509371311.5239155,509371311.5239155,508552591.5380169,509167030.70788765
2013-04-23,510236211.5239155,510236211.5239155,509261441.5380169,509988530.70788765
2013-04-24,512601743.1678736,512601743.1678736,512051624.2335908,512462390.27184355
2013-04-25,511459743.1678736,511459743.1678736,510528174.2335908,511225490.27184355
2013-04-26,510257493.1678736,510257493.1678736,508542624.2335908,509824540.27184355
2013-04-29,510399093.1678736,510399093.1678736,508582274.2335908,509935540.27184355
2013-04-30,513668793.1678736,513668793.1678736,511631674.2335908,513147190.27184355
2013-05-02,515975243.1678736,515975243.1678736,514585874.2335908,515620440.27184355
2013-05-03,518014493.1678736,518014493.1678736,516943474.2335908,517738840.27184355
2013-05-06,518048643.1678736,518048643.1678736,517337724.2335908,517868640.27184355
2013-05-07,518305043.1678736,518305043.1678736,517471324.2335908,518094140.27184355
2013-05-08,521206993.1678736,521206993.1678736,520258574.2335908,520964940.27184355
2013-05-09,522678243.1678736,522678243.1678736,521735224.2335908,522438790.27184355
2013-05-10,521811943.1678736,521811943.1678736,520701874.2335908,521527240.27184355
2013-05-13,519045393.1678736,519045393.1678736,517923874.2335908,518757940.27184355
2013-05-14,519288243.1678736,519288243.1678736,517913524.2335908,518935790.27184355
2013-05-15,524201143.1678736,524201143.1678736,523226424.2335908,523946890.27184355
2013-05-16,532456543.1678736,532456543.1678736,532003424.2335908,532337740.27184355
2013-05-17,531319743.1678736,531319743.1678736,530708324.2335908,531159840.27184355
2013-05-20,531251993.1678736,531251993.1678736,531383174.2335908,531283140.27184355
2013-05-21,530565843.1678736,530565843.1678736,529896274.2335908,530393140.27184355
2013-05-22,531450793.1678736,531450793.1678736,530664324.2335908,531248090.27184355
2013-05-23,521837293.1678736,521837293.1678736,520845874.2335908,521582190.27184355
2013-05-24,518702937.10418075,518702937.10418075,517836474.01351094,518478900.02601814
2013-05-27,523921887.10418075,523921887.10418075,523582074.01351094,523831000.02601814
2013-05-28,523821787.10418075,523821787.10418075,523155324.01351094,523649700.02601814
2013-05-29,527134280.9265619,527134280.9265619,526463522.2667058,526959398.2425607
2013-05-30,520008280.9265619,520008280.9265619,519347422.2667058,519836798.2425607
2013-05-31,525350630.9265619,525350630.9265619,524885272.2667058,525230098.2425607
2013-06-03,517680680.9265619,517680680.9265619,517025972.2667058,517511898.2425607
2013-06-04,516146680.9265619,516146680.9265619,515231072.2667058,515911548.2425607
2013-06-05,515160980.9265619,515160980.9265619,513357686.8827813,514702398.2425607
2013-06-06,510224767.4493439,510220285.3409869,508531986.8827813,509792725.11893207
2013-06-07,511937517.4493439,511929535.3409869,510547536.8827813,511578375.11893207
2013-06-10,515085367.4493439,515092585.3409869,514214236.8827813,514859375.11893207
2013-06-11,512941817.4493439,512946435.3409869,511642836.8827813,512607825.11893207
2013-06-13,503890417.4493439,503891785.3409869,502363086.8827813,503508375.11893207
2013-06-14,503302617.4493439,503304785.3409869,501456086.8827813,502832575.11893207
2013-06-17,504764567.4493439,504767435.3409869,503032586.8827813,504321375.11893207
2013-06-18,506753185.8965453,506752029.9326643,504619913.61992556,506207647.14183253
2013-06-19,504741935.8965453,504744329.9326643,502602963.61992556,504195297.14183253
2013-06-20,501260885.8965453,501271229.9326643,499857563.61992556,500898447.14183253
2013-06-21,497111585.8965453,497135679.9326643,496302163.61992556,496906047.14183253
2013-06-24,494923285.8965453,494930829.9326643,493220013.61992556,494483697.14183253
2013-06-25,491466635.8965453,491475179.9326643,490080113.61992556,491105397.14183253
2013-06-26,496123484.04325765,496122699.3234252,494459014.7682778,495692352.9308549
2013-06-27,497437881.70286417,497448019.7212405,496089774.4927579,497089727.82808006
2013-06-28,509743831.70286417,509749069.7212405,508495474.4927579,509417927.82808006
2013-07-01,507163031.70286417,507179169.7212405,506390224.4927579,506962077.82808006
2013-07-02,507294631.70286417,507314469.7212405,506287024.4927579,507033477.82808006
2013-07-03,505663081.70286417,505684019.7212405,505029574.4927579,505497027.82808006
2013-07-04,505565531.70286417,505597769.7212405,505810324.4927579,505624927.82808006
2013-07-05,508322181.70286417,508346219.7212405,507998774.4927579,508235977.82808006
2013-07-08,505587881.70286417,505606419.7212405,505517824.4927579,505564127.82808006
2013-07-09,511272331.70286417,511307469.7212405,511404574.4927579,511306327.82808006
2013-07-10,515759531.70286417,515804519.7212405,516907474.4927579,516051527.82808006
2013-07-11,523867231.70286417,523910419.7212405,525422724.4927579,524259527.82808006
2013-07-12,526237081.70286417,526281169.7212405,527515174.4927579,526561127.82808006
2013-07-15,528054681.70286417,528097119.7212405,529264524.4927579,528361027.82808006
2013-07-16,528388792.62076414,528424031.03049403,529442518.0545432,528653582.7951595
2013-07-17,532445652.04860616,532492876.60718375,533706909.53836447,532770982.86003476
2013-07-18,532394570.3252145,532441369.58312213,533456016.0284338,532667948.64504766
2013-07-19,529126970.3252145,529174469.58312213,530107766.0284338,529381398.64504766
2013-07-22,530783870.136039,530836556.56944877,531980174.2067981,531091177.8956385
2013-07-23,535561208.45331264,535606693.43297404,536801232.44025356,535877048.48736143
2013-07-24,533999948.8895972,534040931.429489,535127214.6472571,534288671.8840862
2013-07-25,531310790.0651845,531341977.3490726,532096366.9746721,531512672.4493452
2013-07-26,533051994.38680625,533086498.8015775,533865453.2230172,533259107.38835365
2013-07-29,531573261.07859945,531635948.90465856,532798331.62398344,531890234.9913382
2013-07-30,534866711.0785994,534949548.90465856,536893081.6239835,535397484.9913382
2013-07-31,531842411.0785994,531896248.90465856,532949481.62398344,532130184.9913382
2013-08-01,533249911.07859945,533318348.90465856,535156231.62398344,533745784.9913382
2013-08-02,537830125.4291543,537797636.1872468,539843604.3020563,538337777.3599526
2013-08-05,538378637.3009641,538322821.4418578,540531855.1907907,538921032.6452147
2013-08-06,532769438.3009642,532745390.6130859,534044846.1907907,533086220.6452147
2013-08-07,528716227.0509642,528665428.1130859,529791072.4407907,528988168.1452147
2013-08-08,526740564.8009642,526693455.6130859,528200407.6907907,527111177.6452147
2013-08-09,523399873.33391076,523355301.9427084,524794573.4338217,523755163.9995947
2013-08-12,526799272.33391076,526812541.9427084,527633482.4338217,526996475.9995947
2013-08-13,525820784.58391076,525896364.4427084,525811447.1838217,525785216.4995947
2013-08-14,525780691.2244134,525589989.01106954,525064995.9999431,525569039.6807657
2013-08-15,524191575.7244134,523956834.01106954,523456391.4999431,523972403.6807657
2013-08-16,525278928.395613,525074820.9245194,525003327.81608456,525180025.76218194
2013-08-19,524563895.895613,524373263.4245194,524049500.31608456,524399468.26218194
2013-08-20,523878490.645613,523755993.4245194,523164342.56608456,523659766.26218194
2013-08-22,522687421.37928814,522588810.6113899,522415218.59429044,522582208.0532063
2013-08-23,523146901.4196874,523027060.5262045,522552697.04659235,522959440.5311453
2013-08-26,524894269.4196874,524816043.0262045,524209219.04659235,524680304.0311453
2013-08-27,523644108.32905215,523564689.8604018,523257466.22614735,523507624.0401751
2013-08-28,522528926.26311827,522501689.663514,521130560.00841135,522123331.5335647
2013-08-29,523372683.08411664,523334622.7037344,521820278.7353212,522927901.0296851
2013-08-30,529367678.7787642,529324554.3983819,527474022.3727571,528833489.6714499
2013-09-02,528564000.4762202,528592848.3458379,526843449.8240602,528069411.6189059
2013-09-03,533407401.2361333,533486157.35575104,531923130.8829201,532976233.1063894
2013-09-04,537492220.1163849,537515114.1456087,536877238.6408359,537292107.3268903
2013-09-05,538854165.5136443,538834022.542868,537792034.9990001,538533555.628525
