date,nav_share_1,nav_board_lot_1000
2013-03-14,3167570.652604444,3163608.366201625
2013-03-15,3163519.352604444,3157558.366201625
2013-03-18,3113333.652604444,3111058.366201625
2013-03-19,3111702.252604444,3110408.366201625
2013-03-20,3095132.052604444,3095758.366201625
2013-03-21,3092649.002604444,3093558.366201625
2013-03-22,3078175.652604444,3079308.366201625
2013-03-25,3122505.402604444,3122558.366201625
2013-03-26,3111055.2526044436,3112008.366201625
2013-03-27,3136473.152604444,3137158.366201625
2013-03-28,3127803.252604444,3129508.366201625
2013-03-29,3141543.7026044438,3142508.366201625
2013-04-01,3129103.852604444,3130408.366201625
2013-04-02,3120299.252604444,3120608.366201625
2013-04-03,3133536.002604444,3134108.366201625
2013-04-08,3050635.2026044438,3053258.366201625
2013-04-09,3054121.302604444,3055708.366201625
2013-04-10,3053488.052604444,3055708.366201625
2013-04-11,3066277.902604444,3067758.366201625
2013-04-12,3058710.602604444,3060308.366201625
2013-04-15,3043632.902604444,3045158.366201625
2013-04-16,3037470.302604444,3039608.366201625
2013-04-17,3005279.052604444,3007708.366201625
2013-04-18,3006173.9135854496,3008558.366201625
2013-04-19,3051916.96358545,3051708.366201625
2013-04-22,3056386.7305655554,3055208.366201625
2013-04-23,3061554.4805655554,3061758.366201625
2013-04-24,3075762.431819301,3075808.366201625
2013-04-25,3068917.9818193014,3068308.366201625
2013-04-26,3061696.8818193013,3061158.366201625
2013-04-29,3062504.3818193013,3061758.366201625
2013-04-30,3082119.081819301,3082058.366201625
2013-05-02,3095976.0818193015,3091808.366201625
2013-05-03,3108203.431819301,3102958.366201625
2013-05-06,3108441.3318193015,3101758.366201625
2013-05-07,3109988.681819301,3104408.366201625
2013-05-08,3127395.1818193016,3120508.366201625
2013-05-09,3136229.1318193013,3127758.366201625
2013-05-10,3131011.1818193016,3124158.366201625
2013-05-13,3114407.581819301,3107208.366201625
2013-05-14,3115873.0818193015,3109229.829895375
2013-05-15,3145295.4318193016,3131929.829895375
2013-05-16,3194868.281819301,3178529.829895375
2013-05-17,3188050.681819301,3174329.829895375
2013-05-20,3187669.531819301,3173429.829895375
2013-05-21,3183554.931819301,3170579.829895375
2013-05-22,3188863.7318193014,3176679.829895375
2013-05-23,3131148.331819301,3121229.829895375
2013-05-24,3112344.9427692373,3104079.829895375
2013-05-27,3143657.3427692372,3133729.829895375
2013-05-28,3143052.2927692374,3131979.829895375
2013-05-29,3162906.770131795,3152079.829895375
2013-05-30,3120186.720131795,3116029.829895375
2013-05-31,3152253.1201317953,3148579.829895375
2013-06-03,3106232.570131795,3102629.829895375
2013-06-04,3096993.1318109278,3095479.829895375
2013-06-05,3090951.431810927,3090729.829895375
2013-06-06,3061264.1318109273,3060329.829895375
2013-06-07,3071505.5818109275,3068129.829895375
2013-06-10,3090407.7318109274,3085279.829895375
2013-06-11,3077557.4818109274,3073929.829895375
2013-06-13,3023310.031810927,3025329.829895375
2013-06-14,3019680.6318109273,3017929.829895375
2013-06-17,3028439.8818109273,3024979.829895375
2013-06-18,3040350.946345537,3036079.829895375
2013-06-19,3028288.946345537,3024129.829895375
2013-06-20,3007385.246345537,3001779.829895375
2013-06-21,2982534.146345537,2977329.829895375
2013-06-24,2969352.046345537,2964929.829895375
2013-06-25,2948578.746345537,2941779.829895375
2013-06-26,2976501.739238499,2971551.77618625
2013-06-27,2984409.386252977,2979201.77618625
2013-06-28,3058220.986252977,3040051.77618625
2013-07-01,3042769.936252977,3033451.77618625
2013-07-02,3043539.336252977,3032651.77618625
2013-07-03,3033759.386252977,3022401.77618625
2013-07-04,3033197.436252977,3019901.77618625
2013-07-05,3049715.486252977,3033951.77618625
2013-07-08,3033304.636252977,3017251.77618625
2013-07-09,3067464.786252977,3053551.77618625
2013-07-10,3094392.636252977,3079451.77618625
2013-07-11,3143010.786252977,3127201.77618625
2013-07-12,3157246.236252977,3142601.77618625
2013-07-15,3168146.736252977,3153351.77618625
2013-07-16,3170139.3735563545,3155716.4170175
2013-07-17,3194495.41977277,3179966.4170175
2013-07-18,3194184.2600134937,3179066.4170175
2013-07-19,3174583.210013494,3159216.4170175
2013-07-22,3184511.640969605,3166562.4659605
2013-07-23,3213114.0502701458,3190712.4659605
2013-07-24,3203815.0932714166,3186640.153903375
2013-07-25,3187729.8199346242,3175043.256111875
2013-07-26,3198164.2636966235,3184796.290549
2013-07-29,3189317.0509334095,3176196.290549
2013-07-30,3209062.6009334093,3192296.290549
2013-07-31,3190918.2009334094,3176946.290549
2013-08-01,3199333.5009334097,3181496.290549
2013-08-02,3226854.6731254095,3209884.94386175
2013-08-05,3230173.815394796,3213838.44386175
2013-08-06,3196548.8793947957,3184031.44386175
2013-08-07,3172219.396894796,3159247.69386175
2013-08-08,3160345.2003947957,3145120.94386175
2013-08-09,3140315.1254514097,3125998.1815165
2013-08-12,3160673.4114514096,3148905.1815165
2013-08-13,3154746.3579514096,3145231.9315165
2013-08-14,3154500.65398962,3146340.4315165
2013-08-15,3144966.1079896204,3138708.65111175
2013-08-16,3151469.770099742,3142643.40111175
2013-08-19,3147198.8775997423,3140303.40111175
2013-08-20,3143102.716599742,3136470.15111175
2013-08-22,3135987.295444183,3129984.15111175
2013-08-23,3138729.04067879,3135256.5536080003
2013-08-26,3149211.4091787897,3146002.0536080003
2013-08-27,3141687.4184093405,3136051.3036080003
2013-08-28,3134992.8141058697,3132815.3036080003
2013-08-29,3140062.449094472,3139436.5131877502
2013-08-30,3176015.8696293365,3176693.5131877502
2013-09-02,3171194.3613055944,3172056.2631877502
2013-09-03,3200307.864399643,3202806.0131877502
2013-09-04,3224812.9828803986,3221889.5131877502
2013-09-05,3232946.611296316,3230715.3351845
2013-09-06,3228507.5042963163,3225216.5851845
2013-09-09,3225873.400796316,3224693.3351845
2013-09-10,3249496.4337963164,3246569.8514173753
2013-09-11,3255010.359796316,3254175.3514173753
2013-09-12,3266377.0927963164,3266227.3514173753
2013-09-13,3259921.4817963163,3257191.8514173753
2013-09-14,3246842.955796316,3244086.3514173753
2013-09-16,3287183.9077963163,3281397.3514173753
2013-09-17,3293998.647296316,3286934.6014173753
2013-09-18,3281552.321296316,3274329.1014173753
2013-09-23,3331379.534796316,3321746.1014173753
2013-09-24,3330512.6952963164,3320008.8514173753
2013-09-25,3333486.458946047,3324967.6014173753
2013-09-26,3278677.5879460466,3273290.6014173753
2013-09-27,3308735.8385724486,3299266.1014173753
2013-09-30,3270241.9860724485,3262341.6014173753
2013-10-01,3276550.7720724484,3267746.3514173753
2013-10-02,3260130.2255724487,3255369.6014173753
2013-10-03,3330849.0185724488,3320808.3514173753
2013-10-04,3338246.6260724487,3324018.3514173753
2013-10-07,3334822.4185724487,3319358.3514173753
2013-10-08,3356052.859572449,3338443.1014173753
2013-10-09,3343231.965572449,3324805.6014173753
2013-10-11,3345843.826572449,3330691.1014173753
2013-10-14,3332560.0392354177,3316698.3514173753
2013-10-15,3359009.951735418,3340179.1014173753
2013-10-16,3346834.6727354177,3327961.6014173753
2013-10-17,3344165.8460142203,3326520.3514173753
2013-10-18,3351087.5960142203,3323170.3514173753
2013-10-21,3331541.3978743735,3302631.7359998752
2013-10-22,3326956.1513743736,3297354.9859998752
2013-10-23,3331457.2438743734,3301294.9859998752
2013-10-24,3341431.7873743735,3310968.9859998752
2013-10-25,3318676.3103743736,3287779.4859998752
2013-10-28,3347596.0438743737,3313744.9859998752
2013-10-29,3332010.9753743736,3301851.7359998752
2013-10-30,3355035.4623743733,3324590.4859998752
2013-10-31,3364615.7728743735,3337962.4859998752
2013-11-01,3338008.7828743733,3311261.7359998752
2013-11-04,3306538.2848743736,3283637.4859998752
2013-11-05,3290522.6408743737,3268009.2359998752
2013-11-06,3290845.9843743737,3268723.9859998752
2013-11-07,3272395.0938743735,3252118.9859998752
2013-11-08,3280737.385741641,3261842.4859998752
2013-11-11,3254712.412741641,3238598.9859998752
2013-11-12,3272999.977241641,3250748.4859998752
2013-11-13,3235713.903741641,3217182.2359998752
2013-11-14,3236967.503741641,3216482.2359998752
2013-11-15,3247143.844241641,3229846.4859998752
2013-11-18,3251754.330741641,3231362.4859998752
2013-11-19,3258965.005741641,3238943.2359998752
2013-11-20,3250056.586241641,3226313.7359998752
2013-11-21,3214342.620741641,3191627.9859998752
2013-11-22,3239765.540241641,3215057.4859998752
2013-11-25,3282907.1687416406,3255085.2359998752
2013-11-26,3281893.466741641,3255826.4859998752
2013-11-27,3289396.649241641,3261367.2359998752
2013-11-28,3310028.190241641,3282742.7359998752
2013-11-29,3318297.3902416406,3287842.7359998752
2013-12-02,3313658.3797416408,3284620.7359998752
2013-12-03,3299884.550241641,3269991.9859998752
2013-12-04,3310664.851741641,3280839.4859998752
2013-12-05,3299192.707741641,3269301.9859998752
2013-12-06,3280875.892241641,3254068.4859998752
2013-12-09,3321281.409241641,3293849.4859998752
2013-12-10,3337221.0312416404,3307118.2359998752
2013-12-11,3349948.488741641,3317028.2359998752
2013-12-12,3313505.400241641,3281741.9859998752
2013-12-13,3334890.951741641,3303039.4859998752
2013-12-16,3312227.942741641,3282531.9859998752
2013-12-17,3304765.938741641,3274145.2359998752
2013-12-18,3305667.786741641,3277767.2359998752
2013-12-19,3314259.259241641,3288199.4859998752
2013-12-20,3303470.3717416413,3277849.4859998752
2013-12-23,3310912.503078139,3281039.7979135
2013-12-24,3308934.503078139,3280239.7979135
2013-12-25,3319442.632578139,3290818.5479135
2013-12-26,3325461.214578139,3297638.7979135
2013-12-27,3337112.883078139,3308534.2979135
2013-12-30,3373829.296078139,3345080.7979135
2013-12-31,3363075.9630781393,3334269.5479135
2014-01-02,3366558.284578139,3335674.7979135
2014-01-03,3334021.493578139,3304747.0479135
2014-01-06,3322624.378578139,3294927.0479135
2014-01-07,3315934.7320781387,3286250.2979135
2014-01-08,3321231.682078139,3290200.2979135
2014-01-09,3323551.837078139,3294571.0479135
2014-01-10,3324995.155078139,3296003.0479135
2014-01-13,3336391.045078139,3305944.5479135
2014-01-14,3339991.681578139,3309369.7979135
2014-01-15,3346302.6741047273,3314454.5479135
2014-01-16,3348855.750637411,3317954.5479135
2014-01-17,3344114.943637411,3312305.7979135
2014-01-20,3351722.518637411,3320036.5479135
2014-01-21,3337559.7286374113,3305785.7979135
2014-01-22,3352511.576137411,3319946.5479135
2014-01-23,3336306.653637411,3302564.2979135
2014-01-24,3350458.8906374113,3317555.2979135
2014-01-27,3301467.8156374115,3272050.7979135
2014-02-05,3232540.451137411,3204806.7979135
2014-02-06,3237387.0761374114,3209578.2979135
2014-02-07,3258410.0376374116,3227725.0479135
2014-02-10,3255974.5056374115,3226607.0479135
2014-02-11,3259170.3056374113,3226707.0479135
2014-02-12,3284393.529137411,3254923.2979135
2014-02-13,3271393.4716374115,3243011.0479135
2014-02-14,3288970.151637411,3260903.2979135
2014-02-17,3287770.198137411,3258430.0479135
2014-02-18,3311502.096137411,3282554.2979135
2014-02-19,3310359.153637411,3283964.2979135
2014-02-20,3282025.648137411,3256980.0479135
2014-02-21,3320914.3001374113,3292691.0479135
2014-02-24,3307360.985637411,3279882.2979135
2014-02-25,3296308.6916374112,3267694.7979135
2014-02-26,3295160.973137411,3263549.2979135
2014-02-27,3314464.382137411,3286466.0479135
2014-03-03,3283394.183637411,3257121.2979135
2014-03-04,3265642.868637411,3239599.0479135
2014-03-05,3274572.322637411,3247385.7979135
2014-03-06,3303282.0671374113,3274536.7979135
2014-03-07,3321809.456270529,3290950.2979135
2014-03-10,3297596.4727705293,3267734.7979135
2014-03-11,3284324.428770529,3255347.2979135
2014-03-12,3287758.8122705296,3261912.7979135
2014-03-13,3278002.3697160804,3250507.2979135
2014-03-14,3262067.3157160804,3236320.5479135
2014-03-17,3268940.0597160803,3244205.7979135
2014-03-18,3280593.88771608,3256489.2979135
2014-03-19,3267130.0087160803,3243521.7979135
2014-03-20,3235683.1072160807,3217524.2979135
2014-03-21,3233065.3037160803,3217209.448354
2014-03-24,3245219.20121608,3226860.948354
2014-03-25,3252867.7542160805,3234222.948354
2014-03-26,3263190.5187160806,3241281.698354
2014-03-27,3252895.7357160803,3231827.448354
2014-03-28,3282785.7877160804,3261338.448354
2014-03-31,3303162.1922160806,3280997.948354
2014-04-01,3307751.4752160804,3286599.9483540007
2014-04-02,3296903.4162160805,3276444.698354
2014-04-03,3306032.2032160806,3285133.448354
2014-04-07,3296072.5307160807,3277053.4483540007
2014-04-08,3311328.48221608,3289498.698354
2014-04-09,3320954.6822160804,3297448.698354
2014-04-10,3334127.5652160803,3309000.698354
2014-04-11,3330079.93971608,3304608.698354
2014-04-14,3325969.6182160806,3300903.448354
2014-04-15,3315971.0487160804,3291383.198354
2014-04-16,3307452.5377160804,3282647.698354
2014-04-17,3323250.4392160806,3298795.198354
2014-04-18,3327574.5997160804,3303617.198354
2014-04-21,3315169.73121608,3290421.698354
2014-04-22,3312755.19221608,3287904.948354
2014-04-23,3303956.6097160806,3279164.198354
2014-04-24,3311038.9562160806,3285590.948354
2014-04-25,3270214.9719927236,3248920.435118
2014-04-28,3276861.3394927233,3253431.935118
2014-04-29,3291733.4909927235,3268729.435118
2014-04-30,3263423.8064927235,3240127.685118
2014-05-02,3293234.032278756,3270780.685118
2014-05-05,3282982.5201913277,3261781.7282825
2014-05-06,3302083.93290357,3280782.4782825
2014-05-07,3303625.27190357,3282699.2282825
2014-05-08,3318662.2979035703,3295104.7282825
2014-05-09,3311339.15140357,3288377.9782825
2014-05-12,3291549.32240357,3270360.4782825
2014-05-13,3298577.03590357,3274585.2282825
2014-05-14,3316262.61240357,3291611.2282825
2014-05-15,3320510.62690357,3292267.7282825
2014-05-16,3324257.25890357,3297637.9782825
2014-05-19,3326992.41590357,3301886.7282825
2014-05-20,3319797.03040357,3293883.9782825
2014-05-21,3309959.37940357,3287109.2282825
2014-05-22,3348752.94590357,3325926.7282825
2014-05-23,3365386.44640357,3339040.2282825
2014-05-26,3369778.206937698,3343230.2282825
2014-05-27,3383089.204129372,3354985.7282825
2014-05-28,3419709.6089639454,3392011.9782825
2014-05-29,3415530.5077589857,3388776.7282825
2014-05-30,3446409.7603733963,3412428.2282825
2014-06-03,3444672.307668168,3413644.17395925
2014-06-04,3426583.947788757,3396425.42395925
2014-06-05,3427187.1941995393,3394836.67395925
2014-06-06,3432564.3196995393,3399828.67395925
2014-06-09,3435554.4801995396,3406550.67395925
2014-06-10,3462307.6723257564,3432429.67395925
2014-06-11,3454395.0683257566,3425492.92395925
2014-06-12,3458013.636825756,3428186.17395925
2014-06-13,3459679.6088257562,3430804.92395925
2014-06-16,3458364.2118257564,3430466.92395925
2014-06-17,3466156.1808257564,3440332.92395925
2014-06-18,3469467.6308257566,3443232.92395925
2014-06-19,3469337.7838257565,3442085.67395925
2014-06-20,3447814.085772731,3424485.67395925
2014-06-23,3463106.3933373075,3438689.17395925
2014-06-24,3480144.3193373075,3454044.67395925
2014-06-25,3489800.2668373077,3463055.42395925
2014-06-26,3509387.414337307,3481516.17395925
2014-06-27,3512009.664337307,3487668.42395925
2014-06-30,3516840.339837307,3492410.42395925
2014-07-01,3524201.521837307,3497278.42395925
2014-07-02,3529660.2903373074,3504423.92395925
2014-07-03,3510654.334837307,3485389.67395925
2014-07-04,3513900.610337307,3488331.67395925
2014-07-07,3505264.1878373073,3478349.42395925
2014-07-08,3538555.9793373076,3509838.42395925
2014-07-09,3544179.0118373074,3516829.17395925
2014-07-10,3574906.8848373075,3547884.17395925
2014-07-11,3552278.3503373074,3526584.67395925
2014-07-14,3568079.3908373076,3543848.92395925
2014-07-15,3607532.0888373074,3576723.17395925
2014-07-16,3594341.640837307,3563101.17395925
2014-07-17,3608540.120337308,3578919.27395925
2014-07-18,3605862.327337308,3574865.77395925
2014-07-21,3606985.0053373077,3576299.27395925
2014-07-22,3629895.4678373076,3597230.02395925
2014-07-24,3649186.1293373075,3616279.02395925
2014-07-25,3660142.7308373074,3626126.52395925
2014-07-28,3705568.1359024704,3673911.52395925
2014-07-29,3676137.63090247,3644486.27395925
2014-07-30,3699658.9799024705,3669394.52395925
2014-07-31,3671755.8884024704,3638996.27395925
2014-08-01,3638182.337883842,3612133.83895925
2014-08-04,3626970.8264775868,3597376.51123725
2014-08-05,3541828.537540754,3515716.5990112503
2014-08-06,3589618.0257070116,3558788.2215112504
2014-08-07,3601694.090707012,3568308.2215112504
2014-08-08,3584634.852697012,3553672.9765112507
2014-08-11,3609046.4052170115,3574729.4665112505
2014-08-12,3596091.0619520117,3562956.5990112503
2014-08-13,3634913.618972012,3600311.0890112505
2014-08-14,3636330.4987870115,3601550.22990175
2014-08-15,3623135.289974832,3589298.1475545
2014-08-18,3606065.708954832,3573387.6575545003
2014-08-19,3656445.1187498313,3626871.5475545
2014-08-20,3696310.6988648316,3665469.607794375
2014-08-21,3725933.3754448313,3691344.2227038755
2014-08-22,3783489.1438398315,3746668.3252038755
2014-08-25,3771701.4631648315,3738260.0252038753
2014-08-26,3766015.8722248315,3729391.7577038757
2014-08-27,3787277.0355098317,3747762.3027038756
2014-08-28,3771654.9179970594,3734906.7027038755
2014-08-29,3729055.3417640724,3691834.0677038757
2014-09-01,3758583.962534918,3719634.9252038756
2014-09-02,3724856.772144869,3690062.1027038754
2014-09-03,3772439.7804348688,3737307.9827038753
2014-09-04,3769197.912354869,3733204.6602038755
2014-09-05,3746658.8689248688,3714609.6377038755
2014-09-09,3755572.265189869,3723494.5052038757
2014-09-10,3740188.891084869,3707041.1827038755
2014-09-11,3739000.8458648687,3709352.8052038755
2014-09-12,3722812.523189869,3690958.5927038756
2014-09-15,3716384.6136298683,3677635.347703875
2014-09-16,3670995.0709298686,3636216.035203875
2014-09-17,3694661.234729869,3662099.2477038754
2014-09-18,3708384.2588348687,3676652.570203875
2014-09-19,3706554.5276298686,3672760.4477038756
2014-09-22,3679850.632969869,3647198.2027038755
2014-09-23,3669205.707089869,3637572.6802038755
2014-09-24,3675107.449989869,3645583.8802038757
2014-09-25,3649526.628904869,3622391.1352038756
2014-09-26,3640849.6418242077,3609642.790203876
2014-09-29,3613422.650839819,3584408.3452038756
2014-09-30,3608083.357185887,3579037.8002038756
2014-10-01,3594001.4300182792,3567771.6227038754
2014-10-02,3570392.75210438,3546585.945203875
2014-10-03,3636979.3244043803,3611024.757703875
2014-10-06,3604093.2696393803,3579134.2902038754
2014-10-07,3600457.54179938,3575915.8352038753
2014-10-08,3608502.8013743805,3582355.337233375
2014-10-09,3634500.1291233134,3606302.6330411253
2014-10-13,3558484.340932712,3533277.542923875
2014-10-14,3571303.6534941657,3546514.3551635
2014-10-15,3541726.7539228546,3517868.20318975
2014-10-16,3529413.1015609484,3507369.12846175
2014-10-17,3522655.357174337,3499522.846363
2014-10-20,3538831.743516167,3514130.1335931253
2014-10-21,3541758.1261968464,3514405.642297875
2014-10-22,3551295.8970968463,3525627.6547978753
2014-10-23,3564106.584825144,3534896.052064875
2014-10-24,3563666.5601901435,3537308.907064875
2014-10-27,3580006.637315144,3559672.807064875
2014-10-28,3608910.379485144,3586558.2970648753
2014-10-29,3637840.7518151435,3622339.4195648753
2014-10-30,3640191.2106901435,3629600.4195648753
2014-10-31,3662795.5294701434,3652937.142064875
2014-11-03,3647971.8716701437,3633764.9420648753
2014-11-04,3644192.9970308836,3630025.519564875
2014-11-05,3639004.083507015,3632051.7320340006
2014-11-06,3626476.5468834336,3619627.4420340005
2014-11-07,3604462.140216642,3599621.8420340004
2014-11-10,3660715.7916458673,3652270.805837125
2014-11-11,3650566.321692599,3645703.583337125
2014-11-12,3612257.2898198557,3606989.4882761254
2014-11-13,3631517.4197648554,3626072.0782761252
2014-11-14,3634821.078747778,3632445.3232761254
2014-11-17,3599928.5594377783,3603274.7782761254
2014-11-18,3620148.6034850255,3622873.5457761255
2014-11-19,3643528.0098441015,3643135.9122771253
2014-11-20,3653440.2155631427,3657026.3973955
2014-11-21,3644531.1023942246,3646436.9748955
2014-11-24,3650022.15528954,3652835.127509375
2014-11-25,3627894.318376523,3622730.7676232504
2014-11-26,3626295.288601351,3616271.6066308753
2014-11-27,3641983.627073695,3639860.9446965004
2014-11-28,3653950.8623555284,3648718.9944041255
2014-12-01,3592686.053045041,3596679.6093178755
2014-12-02,3545457.863350041,3572399.7193178753
2014-12-03,3574282.699713552,3599860.109317875
2014-12-04,3615445.5152885523,3630765.521817875
2014-12-05,3602509.7509435522,3613627.3318178756
2014-12-08,3598765.396678552,3613428.376817875
2014-12-09,3601371.4991685525,3613555.1318178754
2014-12-10,3562638.051488552,3584832.309317875
2014-12-11,3542374.282137217,3561494.1193178752
2014-12-12,3546416.7137538283,3562985.96108725
2014-12-15,3528763.296242981,3548486.4730071253
2014-12-16,3537719.987212015,3559532.540396125
2014-12-17,3502956.2821156173,3524737.112476
2014-12-18,3528609.0177957336,3545364.724976
2014-12-19,3569485.3695407333,3584744.614976
2014-12-22,3570459.7695407337,3594844.614976
2014-12-23,3566898.654453273,3589491.2924760003
2014-12-24,3594256.6325381403,3615214.2894432503
2014-12-25,3585348.850592239,3607711.656690625
2014-12-26,3598202.905874049,3623888.2241906254
2014-12-27,3586399.131295061,3615871.001690625
2014-12-29,3609431.706214674,3635291.546690625
2014-12-30,3612390.152058094,3636575.3691906254
2014-12-31,3630367.5543370415,3660267.547970625
2015-01-05,3597430.1460827584,3618381.5512612504
2015-01-06,3531123.9142177585,3556116.1712612505
2015-01-07,3521024.8719594534,3554988.37126125
2015-01-08,3572714.80775271,3613144.8287612502
2015-01-09,3580406.28487771,3621308.72876125
2015-01-12,3573774.0034260196,3627934.4387612506
2015-01-13,3610511.598666999,3657450.4287612503
2015-01-14,3572164.6326491614,3620308.9162612506
2015-01-15,3555841.465068393,3605319.4937612503
2015-01-16,3555618.7006113892,3609053.5908237505
2015-01-19,3569900.7945713894,3619828.3389917505
2015-01-20,3564086.4174463893,3614714.43899175
2015-01-21,3598777.761841889,3653132.70649175
2015-01-22,3614611.8781468887,3663763.8289917503
2015-01-23,3640209.775111889,3688182.0964917503
2015-01-26,3639558.647986889,3685868.1964917504
2015-01-27,3653114.473866889,3696943.7189917504
2015-01-28,3642043.0015368885,3686062.5964917503
2015-01-29,3619513.6118418886,3667582.70649175
2015-01-30,3614150.1178668886,3669282.70649175
2015-02-02,3627923.128676889,3669497.6514917505
2015-02-03,3622338.249246889,3664527.7289917506
2015-02-04,3656755.094084771,3697367.3486697506
2015-02-05,3669211.4924790664,3706606.7711697505
2015-02-06,3652511.3924790663,3695306.7711697505
2015-02-09,3629804.1020690664,3673572.3261697507
2015-02-10,3646675.83909259,3683260.7842618753
2015-02-11,3649076.0491806143,3686957.5763663757
2015-02-12,3654465.258331145,3691010.8232853753
2015-02-13,3655881.0336961453,3693123.6782853757
2015-02-24,3706308.868066145,3739436.9682853757
2015-02-25,3726692.6903961455,3754668.0907853753
2015-02-26,3698920.700171145,3726754.3782853754
2015-03-02,3665799.6516411323,3704238.623285375
2015-03-03,3674325.697330709,3705829.2782853753
2015-03-04,3675448.545025709,3703223.2557853754
2015-03-05,3653176.223940709,3683480.5107853753
2015-03-06,3677541.295025709,3705073.2557853754
2015-03-09,3643945.125715709,3675152.7107853754
2015-03-10,3641796.398590709,3671988.8107853755
2015-03-11,3635326.824485709,3666535.4882853753
2015-03-12,3673497.8961007087,3698112.0557853756
2015-03-13,3656906.023240709,3684647.1107853753
2015-03-16,3644672.3955857093,3670999.3882853757
2015-03-17,3666172.519160709,3687918.8882853757
2015-03-18,3708025.361345709,3721475.533285375
2015-03-19,3733115.606550709,3740692.7557853754
2015-03-20,3723028.308325709,3733364.9557853756
2015-03-23,3727296.7344879094,3734413.7440160005
2015-03-24,3734636.6223966465,3745953.166516
2015-03-25,3711788.1676166467,3726041.5440160003
2015-03-26,3709348.122926647,3728536.9890160006
2015-03-27,3672338.868301909,3693016.0215160004
2015-03-30,3695957.7299811025,3709511.466516
2015-03-31,3725800.8212522813,3732607.9580135
2015-04-01,3712463.475692908,3720746.1616386254
2015-04-02,3737978.5902395314,3745804.3673046255
2015-04-07,3751256.6130995313,3757769.3123046253
2015-04-08,3730908.9095645314,3737396.067304625
2015-04-09,3753357.1083045313,3759736.534804625
2015-04-10,3765256.3565295315,3769614.3348046253
2015-04-13,3778764.6052845316,3779975.9573046253
2015-04-14,3780120.1703445315,3780568.7023046254
2015-04-15,3739864.9535245313,3739424.9123046254
2015-04-16,3773541.854039531,3769837.5798046254
2015-04-17,3749248.067928039,3748597.112304625
2015-04-20,3754425.8962980392,3753549.3898046254
2015-04-21,3760941.844523039,3759927.189804625
2015-04-22,3779153.2902580393,3774928.234804625
2015-04-23,3910875.6824130393,3879342.569804625
2015-04-24,3921126.888438039,3891892.5698046256
2015-04-27,3956000.847968039,3934523.504804625
2015-04-28,3969399.2695830395,3947300.0723046255
