date,nav_base,nav_blend_e45_a25,rel_blend_vs_base
2020-06-09,990817904.2926615,971002408.4286206,0.9800008702121838
2020-06-10,994802710.5110688,977806332.219498,0.9829148251085493
2020-06-11,980732909.4549817,964171937.1994019,0.9831136774386584
2020-06-12,971078899.468779,956454803.9494019,0.984940363211087
2020-06-15,964217773.9217036,949179260.5494019,0.9844034057667943
2020-06-16,977037168.7834468,959859650.3494018,0.9824187666724763
2020-06-17,981767825.6883545,962559607.7994019,0.9804350709135482
2020-06-18,975227359.1883543,957184269.2994019,0.9814985811062878
2020-06-19,969860125.9383544,952046150.0494019,0.9816324277980629
2020-06-22,972616989.8883543,954516731.4494017,0.9813901477897993
2020-06-23,973443281.2383543,955919374.5994018,0.981998019836698
2020-06-24,975112550.5383543,957183412.4494019,0.9816132629212353
2020-06-29,971874845.0303607,953371693.7494018,0.9809613847137068
2020-06-30,976912846.7866231,956849807.5494019,0.9794628156409091
2020-07-01,981273439.0366231,961844715.5965456,0.9802005000164359
2020-07-02,987121777.9866232,968175123.7965456,0.9808061633198673
2020-07-03,988727359.586623,970082592.8465456,0.9811426612611666
2020-07-06,1003637380.2866231,982506138.6465455,0.978945342157301
2020-07-07,999833936.7366232,980535912.3465456,0.9806987703847453
2020-07-08,1001301256.0366231,981422350.1965456,0.9801469280895914
2020-07-09,997885462.486623,980263223.8965455,0.9823404195646214
2020-07-10,993967900.186623,976150992.6965456,0.9820749669212334
2020-07-13,992955968.1866231,976815354.2965455,0.9837448845596304
2020-07-14,994455527.5866232,977837954.4465456,0.9832897774922066
2020-07-15,998651292.4366231,981284942.7465456,0.9826101965504844
2020-07-16,993127998.1366231,977055473.1465455,0.9838162603206898
2020-07-17,996682410.4366232,980366954.3465456,0.9836302357508946
2020-07-20,996740259.5366231,980982547.4465456,0.984190753870619
2020-07-21,1004754583.786623,987078435.8965455,0.9824074971387925
2020-07-22,1006167547.9366231,991122927.6465456,0.9850475993576518
2020-07-23,1003997235.636623,988999196.4465456,0.9850616728236634
2020-07-24,995391510.8866231,980861770.4465456,0.9854029893954636
2020-07-27,992779184.6366231,977578857.8465456,0.9846891161445521
2020-07-28,996742243.6708937,981457662.5369354,0.9846654626800337
2020-07-29,1000747300.0708938,988743054.3369355,0.988004718340876
2020-07-30,1008065406.2708937,996146385.7869354,0.9881763421204484
2020-07-31,1006829752.6208938,993538011.4369355,0.9867984223257623
2020-08-03,999030837.4208938,985071749.1869355,0.9860273700159295
2020-08-04,1002023178.7708937,988792142.3369355,0.9867956782694511
2020-08-05,1007036084.9708936,994052873.7869354,0.9871075015307585
2020-08-06,1017979682.3208936,1002964788.0369354,0.9852503006251306
2020-08-07,1017010304.4708937,1000931664.8369356,0.9841902883743906
2020-08-10,1015421712.3208939,1001339832.9869356,0.9861319891399879
2020-08-11,1009709727.2208937,996390438.0039345,0.9868087937969866
2020-08-12,1007313081.4208937,993195334.2039344,0.9859847474659567
2020-08-13,1019304108.5365937,999490895.4422344,0.9805620197854349
2020-08-14,1012087242.6343267,992593988.1053367,0.9807395511890341
2020-08-17,1012967149.0343267,995299962.1053367,0.982558973461447
2020-08-18,1015257447.8343265,996170136.1053367,0.9811995353792228
2020-08-19,1010785232.7343267,992671392.0053368,0.9820794367167501
2020-08-20,991342027.3343266,974151585.9053366,0.9826594243409469
2020-08-21,1000749151.4343268,983520341.9053366,0.9827840877963304
2020-08-24,994487595.2343266,978158268.3053367,0.983580160268221
2020-08-25,996308367.1714083,979427003.0775971,0.9830560851940463
2020-08-26,998699735.4450954,981104017.4775972,0.9823813731565111
2020-08-27,994860396.5450953,976884489.5775973,0.981931226702838
2020-08-28,995042359.9450954,978117104.6775972,0.9829904173442102
2020-08-31,978993502.6450955,966794788.7775973,0.987539535416181
2020-09-01,979587726.6450955,966112453.3775973,0.9862439341562104
2020-09-02,976131044.7450955,961646766.5775973,0.9851615433752744
2020-09-03,976692482.8450955,961454549.6775973,0.9843984330430083
2020-09-04,967222305.1190393,953187572.8775973,0.9854896519991703
2020-09-07,974892106.0190393,959158684.3775972,0.9838613713822247
2020-09-08,979082085.2190393,962671946.9775972,0.9832392620708907
2020-09-09,974082967.9190392,958755201.2775972,0.9842644136626398
2020-09-10,977012741.2190393,960984362.4775972,0.983594503873672
2020-09-11,977926816.7190393,961258489.5960951,0.9829554452971576
2020-09-14,979467118.9190394,962584741.1960951,0.982763711617419
2020-09-15,981568724.8190392,964687192.5960951,0.9828014770681937
2020-09-16,984321982.3190392,968199206.2960951,0.9836204247059898
2020-09-17,976587899.4190392,960650393.8960952,0.9836804188005759
2020-09-18,980529990.0190392,962959250.7960951,0.9820803653108021
2020-09-21,970962231.6190392,954272725.5960951,0.9828113746555157
2020-09-22,961576889.0190393,944424597.8960952,0.9821623301071201
2020-09-23,955269717.5190393,937092729.7960951,0.9809718790519685
2020-09-24,933823257.8190392,918641756.7960951,0.9837426398455734
2020-09-25,945656660.2190393,929211066.4960952,0.9826093397162402
2020-09-28,959515201.4190392,944506387.3960952,0.9843579194985683
2020-09-29,957744123.7190392,943360922.9960951,0.9849822093743656
2020-09-30,955897490.7190392,941578796.4960952,0.9850206801859336
2020-10-05,959214167.7190393,944557157.4960952,0.9847197730014792
2020-10-06,967153346.2190392,952366566.6960951,0.9847110289379124
