date,ret,core_w,alpha_w,cash_w,e45_exposure,nav
2019-05-09,-0.009233354710212005,0.8,0.2,0.0,1.0,1.1119990805190723
2019-05-10,-0.002690528173214357,0.8,0.2,0.0,1.0,1.1090072156643471
2019-05-13,-0.004450666600730857,0.8,0.2,0.0,1.0,1.1040713942896203
2019-05-14,-0.006559496775003027,0.8,0.2,0.0,1.0,1.0968292415394045
2019-05-15,0.004400872684175595,0.8,0.2,0.0,1.0,1.1016562473877003
2019-05-16,-0.0032576623787961443,0.8,0.2,0.0,1.0,1.0980674232762198
2019-05-17,0.0033168143380371664,0.8,0.2,0.0,1.0,1.1017095090498739
2019-05-20,0.005946739581828564,0.8,0.2,0.0,1.0,1.1082610885950175
2019-05-21,0.011272598829496118,0.8,0.2,0.0,1.0,1.1207540712450899
2019-05-22,-0.0027215369844071358,0.8,0.2,0.0,1.0,1.1177038975897715
2019-05-23,-0.0019278476297474923,0.8,0.2,0.0,1.0,1.1155491347800435
2019-05-24,-4.599432296112924e-05,0.8,0.2,0.0,1.0,1.1154978258528594
2019-05-27,0.002675065321949388,0.8,0.2,0.0,1.0,1.1184818554035083
2019-05-28,0.000867349512962301,0.8,0.2,0.0,1.0,1.1194519700960497
2019-05-29,0.0002721201056753663,0.8,0.2,0.0,1.0,1.1197565954844508
2019-05-30,0.007938809759435016,0.8,0.2,0.0,1.0,1.1286461300728745
2019-05-31,0.007214026323571332,0.8,0.2,0.0,1.0,1.1367882129652171
2019-06-03,0.002756949744249804,0.8,0.2,0.0,1.0,1.139922280938218
2019-06-04,-4.986043526549182e-05,0.8,0.2,0.0,1.0,1.1398654439171216
2019-06-05,0.003548353293399975,0.8,0.2,0.0,1.0,1.1439100892190779
2019-06-06,0.00980645112014671,0.8,0.2,0.0,1.0,1.1551277875948476
2019-06-10,0.00577906270011197,0.8,0.2,0.0,1.0,1.1618033435059998
2019-06-11,-0.017454355783382437,0.8,0.2,0.0,1.0,1.141524814598123
2019-06-12,-0.013331488712787911,0.8,0.2,0.0,1.0,1.1263065894169408
2019-06-13,-0.001507320204936624,0.8,0.2,0.0,1.0,1.1246088847377596
2019-06-14,0.0011553886711447969,0.8,0.2,0.0,1.0,1.1259082451026543
2019-06-17,0.0030791361688429666,0.8,0.2,0.0,1.0,1.1293750699029483
2019-06-18,0.0011599459776362232,0.8,0.2,0.0,1.0,1.1306850839725249
2019-06-19,0.014003446815064003,0.8,0.2,0.0,1.0,1.1465185724105202
2019-06-20,0.0005216422398393484,0.8,0.2,0.0,1.0,1.1471166449266499
2019-06-21,-0.008650710757152869,0.8,0.2,0.0,1.0,1.1371932706266739
2019-06-24,0.004497728607594231,0.8,0.2,0.0,1.0,1.1423080573323352
2019-06-25,0.0016439366043485837,0.8,0.2,0.0,1.0,1.1441859393612261
2019-06-26,-0.002915058866743947,0.8,0.2,0.0,1.0,1.1408505699934874
2019-06-27,0.0030768032451592878,0.8,0.2,0.0,1.0,1.1443607427294853
2019-06-28,-0.0028082513710695257,0.8,0.2,0.0,1.0,1.1411470901047172
2019-07-01,-0.002219281621377789,0.8,0.2,0.0,1.0,1.138614563340359
2019-07-02,0.0017216174919072683,0.8,0.2,0.0,1.0,1.140574822089146
2019-07-03,-0.0003207151580849832,0.8,0.2,0.0,1.0,1.140209022454772
2019-07-04,0.002816987189929599,0.8,0.2,0.0,1.0,1.1434209766648693
2019-07-05,0.0018747097490987574,0.8,0.2,0.0,1.0,1.145564559117147
2019-07-08,0.000370375745555851,0.8,0.2,0.0,1.0,1.1459888484448124
2019-07-09,-0.0005569267718021909,0.8,0.2,0.0,1.0,1.1453506165749268
2019-07-10,0.003282075709403931,0.8,0.2,0.0,1.0,1.1491097440123381
2019-07-11,0.007539851064216308,0.8,0.2,0.0,1.0,1.157773860338631
