id,track,detail,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
KD_MAY_Klt35_T15,kd_retune,MAY|K<35.0|T-15,0.5973622828576719,0.715233289682915,0.2357420136504862,PASS,PASS,True,True,0.0567254252777482,5696,0.1382571806367227,-0.2167148899445676
SOFT_BOTH__RSI14_LT30__RSI14_GT70,soft_assist,both|RSI14_LT30+RSI14_GT70,0.5966021216732065,0.6906611366533366,0.1881180299602602,PASS,PASS,True,True,0.0559652640932828,5726,0.1383341985711852,-0.2169606114748636
SOFT_BOTH__WILLR14_LT_N80__RSI14_GT70,soft_assist,both|WILLR14_LT_N80+RSI14_GT70,0.5965734314161031,0.693356699280856,0.1935665357295057,PASS,PASS,True,True,0.0559365738361794,5759,0.1383372604211654,-0.2169336558485881
SOFT_BOTH__BIAS20_LT_N5__BB_UPPER,soft_assist,both|BIAS20_LT_N5+BB_UPPER,0.5963666131555523,0.6870479725453182,0.1813627187795319,PASS,PASS,True,True,0.0557297555756286,5728,0.138314915556873,-0.2169967431159437
SOFT_BOTH__BIAS20_LT_N5__BB_PCTB_GT1,soft_assist,both|BIAS20_LT_N5+BB_PCTB_GT1,0.5963666131555523,0.6870479725453182,0.1813627187795319,PASS,PASS,True,True,0.0557297555756286,5728,0.138314915556873,-0.2169967431159437
SOFT_BOTH__K9_LT30__MFI14_GT80,soft_assist,both|K9_LT30+MFI14_GT80,0.5946129756893903,0.7171000984272813,0.2449742454757819,PASS,PASS,True,True,0.0539761181094666,5729,0.1380626270658436,-0.216696221857124
SOFT_BOTH__MFI14_LT20__RSI6_GT80,soft_assist,both|MFI14_LT20+RSI6_GT80,0.5939483519539102,0.6820885334450022,0.176280362982184,PASS,PASS,True,True,0.0533114943739865,5762,0.138464744120293,-0.2170463375069469
SOFT_BOTH__WILLR14_LT_N80__RSI6_GT80,soft_assist,both|WILLR14_LT_N80+RSI6_GT80,0.5929808302029604,0.6781487538711217,0.1703358473363225,PASS,PASS,True,True,0.0523439726230368,5762,0.1384838858962882,-0.2170857353026856
SOFT_BOTH__ROC10_LT_N5__RSI14_GT70,soft_assist,both|ROC10_LT_N5+RSI14_GT70,0.591202676352498,0.6814940556357896,0.1805827585665831,PASS,PASS,True,True,0.0505658187725743,5723,0.1384117166763485,-0.2170522822850389
SOFT_BOTH__WILLR14_LT_N80__K9_GT80,soft_assist,both|WILLR14_LT_N80+K9_GT80,0.5910482440067533,0.67415604958736,0.1662156111612134,PASS,PASS,True,True,0.0504113864268296,5716,0.1384933087919457,-0.2171256623455231
SOFT_SELL_RSI6_GT80,soft_assist,sell_tilt=1.0|RSI6_GT80,0.5908454880154457,0.6714207629793689,0.1611505499278465,PASS,PASS,True,True,0.050208630435522,5747,0.1386093910022334,-0.2171530152116032
KD_APR_Klt25_T10,kd_retune,APR|K<25.0|T-10,0.5902243099435767,0.8472153537887994,0.5139820876904455,PASS,PASS,True,True,0.049587452363653,5776,0.1364574293103255,-0.2153950693035088
SOFT_BOTH__MFI14_LT20__BB_UPPER,soft_assist,both|MFI14_LT20+BB_UPPER,0.5882857290871679,0.6878285180089039,0.1990855778434719,PASS,PASS,True,True,0.0476488715072442,5732,0.1382584943138705,-0.2169889376613076
SOFT_BOTH__MFI14_LT20__BB_PCTB_GT1,soft_assist,both|MFI14_LT20+BB_PCTB_GT1,0.5882857290871679,0.6878285180089039,0.1990855778434719,PASS,PASS,True,True,0.0476488715072442,5732,0.1382584943138705,-0.2169889376613076
SOFT_BOTH__K9_LT30__BIAS20_GT5,soft_assist,both|K9_LT30+BIAS20_GT5,0.5882024363545457,0.6971993896246809,0.2179939065402703,PASS,PASS,True,True,0.047565578774622,5761,0.1382672429295515,-0.2168952289451499
SOFT_BOTH__K9_LT30__BB_UPPER,soft_assist,both|K9_LT30+BB_UPPER,0.5880395057137333,0.688483441766774,0.2008878721060814,PASS,PASS,True,True,0.0474026481338096,5753,0.1382518600617197,-0.216982388423729
SOFT_BOTH__K9_LT30__BB_PCTB_GT1,soft_assist,both|K9_LT30+BB_PCTB_GT1,0.5880395057137333,0.688483441766774,0.2008878721060814,PASS,PASS,True,True,0.0474026481338096,5753,0.1382518600617197,-0.216982388423729
SOFT_BOTH__K9_LT30__K9_GT80,soft_assist,both|K9_LT30+K9_GT80,0.5877619680079493,0.6856800365916071,0.1958361371673156,PASS,PASS,True,True,0.0471251104280256,5760,0.1383584026777728,-0.2170104224754808
SOFT_BOTH__K9_LT30__WILLR14_GT_N20,soft_assist,both|K9_LT30+WILLR14_GT_N20,0.5877151358007704,0.6497733370150804,0.1241164024286201,PASS,PASS,True,True,0.0470782782208467,5754,0.1387955830144094,-0.2173694894712459
SOFT_BOTH__BELOW_MA120__D9_GT80,soft_assist,both|BELOW_MA120+D9_GT80,0.5875593762969422,0.7143580821478035,0.2535974117017225,PASS,PASS,True,True,0.0469225187170185,5753,0.137737864836146,-0.2167236420199187
SOFT_BOTH__RSI6_LT20__K9_GT80,soft_assist,both|RSI6_LT20+K9_GT80,0.5873287787215742,0.6816268560038141,0.1885961545644798,PASS,PASS,True,True,0.0466919211416505,5730,0.1383684670624088,-0.2170509542813585
SOFT_BOTH__RSI6_LT20__RSI6_GT80,soft_assist,both|RSI6_LT20+RSI6_GT80,0.5872351429666023,0.6776950169541385,0.1809197479750723,PASS,PASS,True,True,0.0465982853866786,5755,0.1384320441145534,-0.2170902726718556
SOFT_BOTH__BIAS20_LT_N5__K9_GT80,soft_assist,both|BIAS20_LT_N5+K9_GT80,0.5859729291643245,0.6807916265159308,0.1896373947032126,PASS,PASS,True,True,0.0453360715844008,5767,0.1383460659967479,-0.2170593065762376
SOFT_BOTH__D9_LT20__RSI14_GT70,soft_assist,both|D9_LT20+RSI14_GT70,0.5832652043435083,0.6677357362193548,0.168941063751693,PASS,PASS,True,True,0.0426283467635846,5716,0.1384848455055616,-0.2171898654792033
SOFT_BOTH__RSI14_LT30__MFI14_GT80,soft_assist,both|RSI14_LT30+MFI14_GT80,0.583033248083975,0.6963683172716117,0.2266701383752734,PASS,PASS,True,True,0.0423963905040514,5722,0.1381401630610901,-0.2169035396686808
KD_MAY_Klt35_T10,kd_retune,MAY|K<35.0|T-10,0.5822008953885405,0.7158175236174014,0.2672332564577218,PASS,PASS,True,True,0.0415640378086168,5738,0.1377450837620772,-0.2167090476052227
SOFT_BOTH__BELOW_MA120__BIAS20_GT5,soft_assist,both|BELOW_MA120+BIAS20_GT5,0.5818523770007578,0.7200211266668144,0.2763374993321132,PASS,PASS,True,True,0.0412155194208341,5784,0.1375914052492313,-0.2166670115747285
SLEEVE_MOM20_NEG_a02,tel_sleeve,sleeve|SLEEVE_MOM20_NEG|a=0.2|sign=1.0,0.5811492781044314,0.5833620836228404,0.0044256110368179,PASS,PASS,True,True,0.0405124205245077,5640,0.1391962199807839,-0.2180336020051685
SOFT_BOTH__BELOW_MA120__ROC10_GT5,soft_assist,both|BELOW_MA120+ROC10_GT5,0.5789404129639131,0.7220076298806166,0.2861344338334071,PASS,PASS,True,True,0.0383035553839894,5805,0.1375412903975117,-0.2166471465425906
SOFT_BUY_BELOW_MA120,soft_assist,buy_boost=1.0|BELOW_MA120,0.5788530273417414,0.7261308727257831,0.2945556907680835,PASS,PASS,True,True,0.0382161697618177,5792,0.1374738068273209,-0.216605914114139
SOFT_BOTH__WILLR14_LT_N80__MFI14_GT80,soft_assist,both|WILLR14_LT_N80+MFI14_GT80,0.5788331267573055,0.6850342815685417,0.2124023096224725,PASS,PASS,True,True,0.0381962691773818,5756,0.138223364939821,-0.2170168800257115
SOFT_BOTH__RSI6_LT20__RSI14_GT70,soft_assist,both|RSI6_LT20+RSI14_GT70,0.5788038090704495,0.684830782038981,0.2120539459370629,PASS,PASS,True,True,0.0381669514905258,5732,0.1382204095406753,-0.217018915021007
SOFT_BOTH__WILLR14_LT_N80__BB_UPPER,soft_assist,both|WILLR14_LT_N80+BB_UPPER,0.5779174499510598,0.6836099230033921,0.2113849461046646,PASS,PASS,True,True,0.0372805923711361,5743,0.1382002861745306,-0.2170311236113629
SOFT_BOTH__WILLR14_LT_N80__BB_PCTB_GT1,soft_assist,both|WILLR14_LT_N80+BB_PCTB_GT1,0.5779174499510598,0.6836099230033921,0.2113849461046646,PASS,PASS,True,True,0.0372805923711361,5743,0.1382002861745306,-0.2170311236113629
SOFT_BOTH__D9_LT20__RSI6_GT80,soft_assist,both|D9_LT20+RSI6_GT80,0.5779161284068857,0.6503982543581754,0.1449642519025795,PASS,PASS,True,True,0.037279270826962,5730,0.1386417927664274,-0.217363240297815
SOFT_SELL_RSI14_GT70,soft_assist,sell_tilt=1.0|RSI14_GT70,0.5763097512972881,0.6794423049179543,0.2062651072413324,PASS,PASS,True,True,0.0356728937173644,5721,0.1382516177617758,-0.2170727997922172
SOFT_BOTH__ROC10_LT_N5__MFI14_GT80,soft_assist,both|ROC10_LT_N5+MFI14_GT80,0.5744926501803138,0.6711394607430421,0.1932936211254565,PASS,PASS,True,True,0.0338557926003901,5715,0.1383389561004826,-0.2171558282339664
SOFT_BOTH__RSI14_LT30__K9_GT80,soft_assist,both|RSI14_LT30+K9_GT80,0.5737372368162186,0.648855709415308,0.1502369451981788,PASS,PASS,True,True,0.0331003792362949,5760,0.1385671856976338,-0.2173786657472437
SOFT_BOTH__RSI14_LT30__BB_UPPER,soft_assist,both|RSI14_LT30+BB_UPPER,0.5710597444290255,0.6608991737219627,0.1796788585858744,PASS,PASS,True,True,0.0304228868491018,5728,0.1383796080649135,-0.2172582311041772
SOFT_BOTH__RSI14_LT30__BB_PCTB_GT1,soft_assist,both|RSI14_LT30+BB_PCTB_GT1,0.5710597444290255,0.6608991737219627,0.1796788585858744,PASS,PASS,True,True,0.0304228868491018,5728,0.1383796080649135,-0.2172582311041772
KD_MAY15_JUN10_Klt35_T15,kd_retune,MAY15_JUN10|K<35.0|T-15,0.5703376112004332,0.690061946393794,0.2394486703867215,PASS,PASS,True,True,0.0297007536205096,5703,0.1384536475412519,-0.2169666033774588
SOFT_BOTH__D9_LT20__K9_GT80,soft_assist,both|D9_LT20+K9_GT80,0.5701981332985495,0.6404223142066345,0.14044836181617,PASS,PASS,True,True,0.0295612757186258,5726,0.1387048890764608,-0.2174629996993304
SOFT_SELL_K9_GT80,soft_assist,sell_tilt=1.0|K9_GT80,0.569369078802584,0.6609102142168921,0.1830822708286161,PASS,PASS,True,True,0.0287322212226603,5745,0.138428670961805,-0.2172581206992279
SOFT_BOTH__RSI6_LT20__BB_UPPER,soft_assist,both|RSI6_LT20+BB_UPPER,0.5690046162240003,0.6734036557809242,0.2087980791138477,PASS,PASS,True,True,0.0283677586440767,5753,0.1381850097186168,-0.2171331862835875
SOFT_BOTH__RSI6_LT20__BB_PCTB_GT1,soft_assist,both|RSI6_LT20+BB_PCTB_GT1,0.5690046162240003,0.6734036557809242,0.2087980791138477,PASS,PASS,True,True,0.0283677586440767,5753,0.1381850097186168,-0.2171331862835875
SOFT_BOTH__ROC10_LT_N5__RSI6_GT80,soft_assist,both|ROC10_LT_N5+RSI6_GT80,0.568755326542536,0.6360552214051629,0.1345997897252537,PASS,PASS,True,True,0.0281184689626123,5746,0.1386747511460861,-0.217506670627345
SOFT_BOTH__K9_LT30__D9_GT80,soft_assist,both|K9_LT30+D9_GT80,0.568565126270093,0.6832482680733998,0.2293662836066134,PASS,PASS,True,True,0.0279282686901694,5778,0.1382689508530248,-0.2170347401606626
SLEEVE_MOM20_POS_a02,tel_sleeve,sleeve|SLEEVE_MOM20_POS|a=0.2|sign=-1.0,0.5683093658784499,0.7147105757263517,0.2928024196958034,PASS,PASS,True,True,0.0276725082985263,5332,0.1375613990153918,-0.2167201170841332
SOFT_BOTH__D9_LT20__BB_UPPER,soft_assist,both|D9_LT20+BB_UPPER,0.5672746798388806,0.6545531410694694,0.1745569224611776,PASS,PASS,True,True,0.0266378222589569,5717,0.1384107771166147,-0.2173216914307021
SOFT_BOTH__D9_LT20__BB_PCTB_GT1,soft_assist,both|D9_LT20+BB_PCTB_GT1,0.5672746798388806,0.6545531410694694,0.1745569224611776,PASS,PASS,True,True,0.0266378222589569,5717,0.1384107771166147,-0.2173216914307021
SOFT_BOTH__BIAS20_LT_N5__BIAS20_GT5,soft_assist,both|BIAS20_LT_N5+BIAS20_GT5,0.566707423751045,0.6842620860358695,0.2351093245696489,PASS,PASS,True,True,0.0260705661711213,5753,0.1380905427686509,-0.217024601981038
SOFT_BOTH__D9_LT20__MFI14_GT80,soft_assist,both|D9_LT20+MFI14_GT80,0.5661269227122734,0.6693397325708728,0.2064256197171987,PASS,PASS,True,True,0.0254900651323497,5718,0.1382776852446374,-0.2171738255156882
SOFT_BOTH__K9_LT20__BB_UPPER,soft_assist,both|K9_LT20+BB_UPPER,0.5656950633242563,0.6509361508330258,0.1704821750175389,PASS,PASS,True,True,0.0250582057443327,5772,0.1384226146236784,-0.2173578613330665
SOFT_BOTH__K9_LT20__BB_PCTB_GT1,soft_assist,both|K9_LT20+BB_PCTB_GT1,0.5656950633242563,0.6509361508330258,0.1704821750175389,PASS,PASS,True,True,0.0250582057443327,5772,0.1384226146236784,-0.2173578613330665
SOFT_BUY_MFI14_LT20,soft_assist,buy_boost=1.0|MFI14_LT20,0.5652820017874371,0.6880829004187294,0.2456017972625845,PASS,PASS,True,True,0.0246451442075135,5725,0.1380350842345874,-0.2169863938372095
SOFT_BOTH__K9_LT20__K9_GT80,soft_assist,both|K9_LT20+K9_GT80,0.5649744351878594,0.656338647027721,0.1827284236797233,PASS,PASS,True,True,0.0243375776079357,5748,0.1384340537640096,-0.2173038363711197
SOFT_BOTH__K9_LT20__MFI14_GT80,soft_assist,both|K9_LT20+MFI14_GT80,0.5646404024491347,0.6715052700310253,0.2137297351637812,PASS,PASS,True,True,0.024003544869211,5735,0.1381993344243377,-0.2171521701410866
SOFT_BOTH__MFI14_LT20__K9_GT70,soft_assist,both|MFI14_LT20+K9_GT70,0.5637627337620188,0.6347016630236846,0.1418778585233315,PASS,PASS,True,True,0.0231258761820951,5701,0.138645205363358,-0.2175202062111599
SOFT_BOTH__MFI14_LT20__WILLR14_GT_N20,soft_assist,both|MFI14_LT20+WILLR14_GT_N20,0.5630851610619714,0.628928932264039,0.1316875424041352,PASS,PASS,True,True,0.0224483034820477,5712,0.138690305114439,-0.2175779335187565
SOFT_BOTH__BELOW_MA120__CCI20_GT100,soft_assist,both|BELOW_MA120+CCI20_GT100,0.5624320742684485,0.6894688631027934,0.2540735776686897,PASS,PASS,True,True,0.0217952166885249,5808,0.1376859705262274,-0.2169725342103688
SOFT_BOTH__RSI6_LT20__MFI14_GT80,soft_assist,both|RSI6_LT20+MFI14_GT80,0.5620524050326314,0.6901923729192627,0.2562799357732626,PASS,PASS,True,True,0.0214155474527077,5723,0.1379810247126569,-0.2169652991122042
KD_APR15_MAY15_Klt30_T10,kd_retune,APR15_MAY15|K<30.0|T-10,0.561370603677025,0.6979600308883671,0.2731788544226843,PASS,PASS,True,True,0.0207337460971013,5756,0.137484775535142,-0.2168876225325132
SOFT_BOTH__MFI14_LT20__ROC10_GT5,soft_assist,both|MFI14_LT20+ROC10_GT5,0.561328115005788,0.6924986901572727,0.2623411503029693,PASS,PASS,True,True,0.0206912574258644,5796,0.138038262131857,-0.2169422359398241
SOFT_BUY_BIAS20_LT_N5,soft_assist,buy_boost=1.0|BIAS20_LT_N5,0.5604747518093811,0.6730508996142137,0.2251522956096652,PASS,PASS,True,True,0.0198378942294574,5752,0.1381303873824322,-0.2171367138452546
SOFT_BOTH__MFI14_LT20__BIAS20_GT5,soft_assist,both|MFI14_LT20+BIAS20_GT5,0.5599911353028841,0.6819069223732988,0.2438315741408292,PASS,PASS,True,True,0.0193542777229605,5776,0.1381355006070479,-0.2170481536176637
SOFT_BOTH__K9_LT30__K9_GT70,soft_assist,both|K9_LT30+K9_GT70,0.5593359384942764,0.6393211255732445,0.1599703741579361,PASS,PASS,True,True,0.0186990809143527,5741,0.1385453917680619,-0.2174740115856643
SOFT_BOTH__MFI14_LT20__D9_GT80,soft_assist,both|MFI14_LT20+D9_GT80,0.5582659956431368,0.672226282560906,0.2279205738355383,PASS,PASS,True,True,0.0176291380632132,5759,0.1381930353831544,-0.2171449600157878
SLEEVE_BELOW_MA60_a02,tel_sleeve,sleeve|SLEEVE_BELOW_MA60|a=0.2|sign=1.0,0.556638327374881,0.6091378799555347,0.1049991051613075,PASS,PASS,True,True,0.0160014697949573,5734,0.139221236208799,-0.2177758440418413
SOFT_BOTH__BIAS20_LT_N5__K9_GT70,soft_assist,both|BIAS20_LT_N5+K9_GT70,0.5564029748344246,0.6278861586878515,0.1429663677068537,PASS,PASS,True,True,0.0157661172545009,5711,0.138639859545995,-0.2175883612545183
SLEEVE_MOM20_POS_a01,tel_sleeve,sleeve|SLEEVE_MOM20_POS|a=0.1|sign=-1.0,0.555089742979531,0.6431750150937998,0.1761705442285377,PASS,PASS,True,True,0.0144528853996073,5528,0.1380576484988327,-0.2174354726904589
SOFT_BOTH__K9_LT20__BIAS20_GT5,soft_assist,both|K9_LT20+BIAS20_GT5,0.5549297817469157,0.6587571641498258,0.2076547648058202,PASS,PASS,True,True,0.014292924166992,5776,0.1382642426053293,-0.2172796511998985
SOFT_BOTH__K9_LT20__ROC10_GT5,soft_assist,both|K9_LT20+ROC10_GT5,0.5546149478027895,0.6675835368718075,0.2259371781380359,PASS,PASS,True,True,0.0139780902228658,5771,0.1381457351648138,-0.2171913874726787
SOFT_BUY_D9_LT20,soft_assist,buy_boost=1.0|D9_LT20,0.5538005294303483,0.653973529105023,0.2003459993493495,PASS,PASS,True,True,0.0131636718504246,5734,0.138377575401672,-0.2173274875503466
SOFT_BUY_K9_LT30,soft_assist,buy_boost=1.0|K9_LT30,0.5536496017144454,0.6744551976349045,0.241611191840918,PASS,PASS,True,True,0.0130127441345218,5767,0.1381002783864315,-0.2171226708650477
SOFT_BOTH__WILLR14_LT_N80__BIAS20_GT5,soft_assist,both|WILLR14_LT_N80+BIAS20_GT5,0.5533166458728256,0.6688098997396086,0.230986507733566,PASS,PASS,True,True,0.0126797882929019,5736,0.1381541210829864,-0.2171791238440008
KD_MAY15_JUN10_Klt15_T10,kd_retune,MAY15_JUN10|K<15.0|T-10,0.5532613182950286,0.7763060042221048,0.4460893718541525,PASS,PASS,True,True,0.0126244607151049,5757,0.1367292558566788,-0.2161041627991756
SOFT_BOTH__RSI14_LT30__K9_GT70,soft_assist,both|RSI14_LT30+K9_GT70,0.5524315518203538,0.6148956209309442,0.1249281382211808,PASS,PASS,True,True,0.0117946942404301,5702,0.1387181642557897,-0.2177182666320873
KD_MAY15_JUN10_Klt35_T10,kd_retune,MAY15_JUN10|K<35.0|T-10,0.5521302064594003,0.6933028968778898,0.2823453808369791,PASS,PASS,True,True,0.0114933488794766,5748,0.1378801824898499,-0.2169341938726178
SOFT_BUY_K9_LT20,soft_assist,buy_boost=1.0|K9_LT20,0.5517630868942858,0.6672963414115163,0.231066509034461,PASS,PASS,True,True,0.0111262293143621,5733,0.1381369632980955,-0.2171942594272816
SOFT_SELL_BB_UPPER,soft_assist,sell_tilt=1.0|BB_UPPER,0.5513950675491541,0.6612506438832044,0.2197111526681006,PASS,PASS,True,True,0.0107582099692304,5738,0.1381704305474562,-0.2172547164025646
SOFT_SELL_BB_PCTB_GT1,soft_assist,sell_tilt=1.0|BB_PCTB_GT1,0.5513950675491541,0.6612506438832044,0.2197111526681006,PASS,PASS,True,True,0.0107582099692304,5738,0.1381704305474562,-0.2172547164025646
SOFT_BOTH__K9_LT20__WILLR14_GT_N20,soft_assist,both|K9_LT20+WILLR14_GT_N20,0.5513499837913827,0.6054472476581751,0.1081945277335849,PASS,PASS,True,True,0.010713126211459,5761,0.138883525985235,-0.2178127503648151
SOFT_BOTH__K9_LT30__ROC10_GT5,soft_assist,both|K9_LT30+ROC10_GT5,0.5512346468924956,0.6801151982701259,0.2577611027552606,PASS,PASS,True,True,0.0105977893125719,5778,0.1380605073966763,-0.2170660708586955
SOFT_BOTH__WILLR14_LT_N80__WILLR14_GT_N20,soft_assist,both|WILLR14_LT_N80+WILLR14_GT_N20,0.5511785968604355,0.6049642134103972,0.1075712330999234,PASS,PASS,True,True,0.0105417392805118,5736,0.1388861575554694,-0.2178175807072929
SOFT_BOTH__BIAS20_LT_N5__WILLR14_GT_N20,soft_assist,both|BIAS20_LT_N5+WILLR14_GT_N20,0.5510424191026542,0.6116681624047438,0.1212514866041791,PASS,PASS,True,True,0.0104055615227305,5743,0.1387527602970744,-0.2177505412173493
SOFT_BOTH__WILLR14_LT_N80__ROC10_GT5,soft_assist,both|WILLR14_LT_N80+ROC10_GT5,0.5507397062770036,0.6727950361869017,0.2441106598197961,PASS,PASS,True,True,0.01010284869708,5747,0.1381376864484946,-0.2171392724795279
KD_APR_Klt35_T10,kd_retune,APR|K<35.0|T-10,0.5485945142717497,0.8323245122949796,0.5674599960464599,PASS,PASS,True,True,0.007957656691826,5790,0.1360474319276903,-0.2155439777184468
SOFT_SELL_MFI14_GT80,soft_assist,sell_tilt=1.0|MFI14_GT80,0.5479364798381181,0.669164018164059,0.2424550766518818,PASS,PASS,True,True,0.0072996222581944,5759,0.1380548649860422,-0.2171755826597563
SOFT_BOTH__RSI14_LT30__BIAS20_GT5,soft_assist,both|RSI14_LT30+BIAS20_GT5,0.5469701964517681,0.6590228250921815,0.2241052572808266,PASS,PASS,True,True,0.0063333388718445,5759,0.1381838858101061,-0.217276994590475
KD_APR_MAY_Klt35_T10,kd_retune,APR_MAY|K<35.0|T-10,0.546839265565946,0.7568945056253495,0.4201104801188071,PASS,PASS,True,True,0.0062024079860223,5759,0.1366146854617371,-0.2162982777851432
SOFT_BOTH__BB_LOWER__RSI6_GT80,soft_assist,both|BB_LOWER+RSI6_GT80,0.5467274740484585,0.6250734092696941,0.1566918704424713,PASS,PASS,True,True,0.0060906164685348,5730,0.1385037413098739,-0.2176164887486997
SOFT_BOTH__BB_PCTB_LT0__RSI6_GT80,soft_assist,both|BB_PCTB_LT0+RSI6_GT80,0.5467274740484585,0.6250734092696941,0.1566918704424713,PASS,PASS,True,True,0.0060906164685348,5730,0.1385037413098739,-0.2176164887486997
SLEEVE_RSI14_LT30_a02,tel_sleeve,sleeve|SLEEVE_RSI14_LT30|a=0.2|sign=1.0,0.5440052951018126,0.6760665984047676,0.2641226066059099,PASS,PASS,True,True,0.0033684375218889,5775,0.1380412219156579,-0.2171065568573491
