date,nav_base,nav_chal_e45_e3,rel_chal_vs_base
2021-03-11,6195673.071198377,5963563.788384253,0.9625368736944623
2021-03-12,6206071.471198377,5985791.256106004,0.964505691545019
2021-03-15,6223478.871198378,5999261.806106004,0.9639723907266678
2021-03-16,6279943.271198377,6045991.656106004,0.9627462215836657
2021-03-17,6248269.871198377,6006400.456106003,0.9612901779087234
2021-03-18,6244588.471198377,6011905.706106004,0.9627384949119442
2021-03-19,6194271.771198377,5948907.756106004,0.9603885615362815
2021-03-22,6201962.221198377,5971704.006106004,0.9628733283306132
2021-03-23,6210726.621198377,5986219.856106004,0.9638517714938395
2021-03-24,6216364.121198377,5987960.856106004,0.9632577402740138
2021-03-25,6251204.171198377,6022445.856106004,0.9634057201096793
2021-03-26,6258913.771198377,6038389.756106004,0.9647664078538424
2021-03-29,6295958.621198377,6078996.706106003,0.9655394947543228
2021-03-30,6320619.821198377,6095995.4061060045,0.9644616475208623
2021-03-31,6328660.821198377,6098384.056106004,0.9636136662086485
2021-04-01,6326799.271198377,6085128.706106004,0.961802081157761
2021-04-06,6349381.971198377,6097797.756106004,0.9603765821250648
2021-04-07,6361020.121198377,6109125.906106004,0.960400342980692
2021-04-08,6325385.521198377,6081050.006106003,0.9613722334751728
2021-04-09,6304857.021198377,6069170.356106004,0.9626182379235658
2021-04-12,6311104.121198378,6077568.139339629,0.9629960182285181
2021-04-13,6362207.621198377,6112429.789339628,0.9607403834124324
2021-04-14,6405805.021198377,6139545.189339628,0.9584346025241747
2021-04-15,6456165.271198377,6189890.239339628,0.9587564721977256
2021-04-16,6477964.321198377,6215886.589339628,0.9595431961548274
2021-04-19,6550726.471198377,6282788.489339628,0.9590979743946273
2021-04-20,6579335.721198376,6295125.739339628,0.9568026326817411
2021-04-21,6527419.121198377,6250522.539339628,0.9575794695089362
2021-04-22,6538115.571198377,6263719.309990878,0.958031292316663
2021-04-23,6522081.571198377,6256275.959990879,0.9592452795467478
2021-04-26,6609657.171198377,6327654.509990878,0.9573347521810469
2021-04-27,6517201.171198377,6270475.009990878,0.9621423131300808
2021-04-28,6490986.471198377,6250728.659990879,0.9629859325275806
2021-04-29,6473801.871198377,6227952.759990878,0.9620239982472635
2021-05-03,6386959.871198377,6142516.692411128,0.9617277728815002
2021-05-04,6335237.771198377,6101149.792411129,0.9630498511276921
2021-05-05,6332464.371198377,6087872.592411129,0.9613749459215732
2021-05-06,6410101.821198377,6149102.132329378,0.9592830666112252
2021-05-07,6437332.571198377,6193112.028531378,0.9620618416143856
2021-05-10,6498207.871198378,6253360.078531379,0.9623207201862188
2021-05-11,6381469.471198377,6139256.478531378,0.9620443232142403
2021-05-12,6158215.364963126,5919015.972296128,0.9611576766171719
2021-05-13,6129841.463566626,5880532.397244754,0.9593286273709251
2021-05-14,6204575.713566626,5956411.841727754,0.9600030875122937
2021-05-17,6068823.863566627,5817594.698226879,0.9586033190305673
2021-05-18,6219832.518361252,5959160.416949378,0.9580901735468991
2021-05-19,6190706.556544001,5918355.547292128,0.9560064740972128
2021-05-20,6184058.806544001,5903471.782909378,0.9546273681392382
2021-05-21,6248986.306544001,5954380.474984003,0.9528554205261286
2021-05-24,6222101.056544001,5924567.424984003,0.9521811637490086
2021-05-25,6251445.956544002,5950928.974984003,0.9519284044605044
2021-05-26,6266020.306544001,5958173.824984004,0.9508704941095556
2021-05-27,6284696.256544001,5945709.474984003,0.9460615489241784
2021-05-28,6294322.206544002,5977630.674984003,0.9496861582283245
