date,nav,cost,exposure
2004-06-01,0.9483281727272744,0.0,0.5
2004-06-02,0.9418672076404205,0.0,0.5
2004-06-03,0.9269229976708347,0.0,0.5
2004-06-04,0.9312056137927016,0.0,0.5
2004-06-07,0.9530543968998365,0.0,0.5
2004-06-08,0.9560747609130557,0.0,0.5
2004-06-09,0.9565644477182892,0.0015494999999999999,0.5
2004-06-10,0.9522406148847802,0.0,0.5
2004-06-11,0.9488530790777681,0.0,0.5
2004-06-14,0.942247731991601,0.0,0.5
2004-06-15,0.9474829236971837,0.0,0.5
2004-06-16,0.9408501250189715,0.0,0.5
2004-06-17,0.94579187121824,0.0,0.5
2004-06-18,0.9416568902967702,0.0,0.5
2004-06-21,0.9451055502818605,0.0,0.5
2004-06-23,0.9553347843981641,0.0,0.5
2004-06-24,0.953422404309195,0.0,0.5
2004-06-25,0.9519892585980417,0.0,0.5
2004-06-28,0.9456036622571958,0.0,0.5
2004-06-29,0.9496372905881817,0.0,0.5
2004-06-30,0.952253790512103,0.0,0.5
2004-07-01,0.9525973119910056,0.0,0.5
2004-07-02,0.9511470945865975,0.0,0.5
2004-07-05,0.9468303030328069,0.0,0.5
2004-07-06,0.9506842818809383,0.0,0.5
2004-07-07,0.9514225985834508,0.0,0.5
2004-07-08,0.9507754959226532,0.0,0.5
2004-07-09,0.9531785589172105,0.0009421282894736843,0.5
2004-07-12,0.9479082155263296,0.0,0.5
2004-07-13,0.947952267924978,0.0,0.5
2004-07-14,0.9417025402227952,0.0,0.5
2004-07-15,0.9377585313107651,0.0,0.5
2004-07-16,0.9331715404155344,0.0,0.5
2004-07-19,0.9342951966601849,0.0,0.5
2004-07-20,0.9181601206839819,0.0,0.5
2004-07-21,0.915394552737486,0.0,0.5
2004-07-22,0.911286330591038,0.0,0.5
2004-07-23,0.9056399368824622,0.0,0.5
2004-07-26,0.9042496099877295,0.0,0.5
2004-07-27,0.9171461843944663,0.0,0.5
2004-07-28,0.9159647634317455,0.0,0.5
2004-07-29,0.9120186751521009,0.0,0.5
2004-07-30,0.9177039535078164,0.0,0.5
2004-08-02,0.9149643000675112,0.0,0.5
2004-08-03,0.9096340948562142,0.0,0.5
2004-08-04,0.898207063350553,0.0,0.5
2004-08-05,0.9019057987737864,0.0,0.5
2004-08-06,0.903379604859659,0.0,0.5
2004-08-09,0.9015183951454642,0.00046573515641625885,0.5
2004-08-10,0.9048804570000558,0.0,0.5
2004-08-11,0.9010690015700012,0.0,0.5
2004-08-12,0.8930480223196602,0.0,0.5
2004-08-13,0.8948720053871294,0.0,0.5
2004-08-16,0.8928365353121216,0.0,0.5
2004-08-17,0.8932460834305691,0.0,0.5
2004-08-18,0.8990626338442165,0.0,0.5
2004-08-19,0.9125317853265185,0.0,0.5
2004-08-20,0.9165939330216933,0.0,0.5
2004-08-23,0.9160708110987472,0.0,0.5
2004-08-26,0.9303798751549471,0.0,0.5
2004-08-27,0.9301982745151405,0.0,1.0
2004-08-30,0.9353293330064298,0.0003776811023622047,1.0
2004-08-31,0.9302339745102668,0.0,1.0
2004-09-01,0.9495024870693609,0.0,1.0
2004-09-02,0.945354151293844,0.0,1.0
2004-09-03,0.9355535259091984,0.0,1.0
2004-09-06,0.9383836811594943,0.0,1.0
2004-09-07,0.9534288080040532,0.0,1.0
2004-09-08,0.9584858291059946,0.0,1.0
