date,nav_base,nav_blend025,rel_blend025_vs_base
2023-10-27,38486822.65849657,38947070.93935248,1.0119585938527536
2023-10-30,38234026.9494676,38702924.74421365,1.0122638872270968
2023-10-31,38268597.18781382,38757739.41934986,1.012781817664636
2023-11-01,38462810.72369004,38943471.12571921,1.0124967570748313
2023-11-02,38872454.40633208,39412163.920093626,1.013884112078954
2023-11-03,39218531.77714872,39732976.09275529,1.0131173782468397
2023-11-06,39406986.251640536,39924843.196925394,1.0131412471377026
2023-11-07,39355674.6156154,39892185.0405332,1.0136323523902937
2023-11-08,39345207.73520033,39910841.25477051,1.0143761731638827
2023-11-09,39180077.603922576,39753602.60239357,1.0146381792366224
2023-11-10,39322412.21795315,39835311.35291771,1.0130434300958369
2023-11-13,39390926.350745074,39898430.154173695,1.0128837742710008
2023-11-14,39466980.75812058,39968225.045266636,1.012700345390442
2023-11-15,40172614.75994271,40624052.23540193,1.0112374431725903
2023-11-16,40225070.99583487,40681537.97902064,1.011347822934434
2023-11-17,40361680.70281519,40796026.3610458,1.0107613372552227
2023-11-20,40389257.22114543,40829182.9386475,1.0108921467679717
2023-11-21,40817497.75480424,41266358.315494984,1.0109967681847405
2023-11-22,40706904.06765022,41151722.083664924,1.0109273359446709
2023-11-23,40705706.26733029,41146835.56573718,1.0108370383137397
2023-11-24,40835339.982559375,41241826.103406735,1.009954272966038
2023-11-27,40768677.28566604,41185639.18750406,1.0102275062523214
2023-11-28,41136163.9604219,41506934.60726208,1.009013252844794
2023-11-29,41037987.353028096,41397122.52274513,1.0087512861346632
2023-11-30,41334059.8639,41658595.52290529,1.0078515311603526
2023-12-01,40876424.073138155,41242548.06183599,1.0089568497489592
2023-12-04,40852812.953469194,41256836.83952198,1.0098897445939148
2023-12-05,40974706.43103241,41345826.23496722,1.0090572901250547
2023-12-06,41243742.447024815,41621676.40881948,1.009163425513097
2023-12-07,40945528.31158847,41305741.845258296,1.0087973839518851
2023-12-08,41107065.69171264,41457777.01297021,1.008531655455239
2023-12-11,41193983.57467398,41490081.56515448,1.007187894075448
2023-12-12,41233016.14007211,41557505.80189352,1.007869656217219
2023-12-13,41183860.451755695,41475196.94996298,1.0070740453908775
2023-12-14,41549462.44203603,41846299.30039555,1.0071441804758274
2023-12-15,41303226.93749111,41613097.508168355,1.007502333198958
2023-12-18,41418183.90629293,41685319.75487106,1.0064497238503387
2023-12-19,41197495.90396893,41497470.908180825,1.0072813892599477
2023-12-20,40770664.33418493,41122253.00111581,1.008623569732615
2023-12-21,40610966.97917348,40923857.29315762,1.0077045767992818
2023-12-22,40684485.58501749,40990801.48021702,1.0075290590699353
2023-12-25,40817922.76953923,41154107.05859631,1.0082361929820682
2023-12-26,41207923.64245859,41503932.55863646,1.0071833009288746
2023-12-27,41367415.61044423,41693678.422750905,1.0078869517829947
2023-12-28,41591549.09495103,41897349.46353878,1.0073524640279596
2023-12-29,41510153.00275068,41821878.77179864,1.0075096270791222
2024-01-02,41500513.85835348,41811462.672288164,1.0074926497294947
2024-01-03,40864769.438605346,41171650.29974575,1.007509668238835
2024-01-04,40849184.577718,41156764.785154365,1.0075296535442753
2024-01-05,40922911.21620382,41227980.48801319,1.0074547304368848
2024-01-08,41206579.02467069,41524470.569992214,1.0077145823032578
2024-01-09,40873979.481204644,41253682.31724565,1.009289597951078
2024-01-10,40833519.47828636,41194039.262054145,1.0088290156805977
2024-01-11,41060473.81814104,41387597.61014109,1.0079668781575415
2024-01-12,40895672.10214232,41228435.986745894,1.0081368973169693
2024-01-15,40712592.02214583,41077351.56103088,1.0089593789235192
2024-01-16,40062132.590683274,40470703.620604485,1.0101984343693233
2024-01-17,39383039.695601486,39775812.94708554,1.0099731573418371
2024-01-18,39516566.30299529,39942625.03160249,1.0107817750494912
2024-01-19,39857252.552384764,40325782.76389735,1.0117552059288781
2024-01-22,39973604.8165645,40455886.92835901,1.0120650142514707
2024-01-23,40112832.70244413,40560284.53573478,1.0111548300916526
2024-01-24,40189953.16895057,40628960.46566034,1.0109233094864347
2024-01-25,40256524.68355245,40712243.25108655,1.0113203653598117
2024-01-26,40612564.41320597,41046729.93896933,1.0106904238143155
2024-01-29,40793414.63527996,41219943.88385797,1.0104558358840874
2024-01-30,40407153.61731004,40849440.54404466,1.010945758043822
2024-01-31,40436331.50318967,40803088.15142043,1.0090699782744097
2024-02-01,40812078.18086381,41145926.626369946,1.0081801383410725
2024-02-02,40919360.96855339,41258294.495750695,1.0082829623722076
2024-02-05,40762634.77616731,41136324.538449354,1.009167458490699
2024-02-15,41023784.16186122,41515279.880052194,1.011980750392303
2024-02-16,41006225.867147066,41494931.75217232,1.0119178460024236
2024-02-19,41230370.683338776,41712761.975980535,1.0116999019083932
2024-02-20,41214370.2226689,41734122.15643797,1.0126109396057978
2024-02-21,41114721.48636712,41621560.11026289,1.0123274244740739
2024-02-22,41050635.60458891,41619184.8375338,1.013849949570119
2024-02-23,41140741.37387098,41696743.5138707,1.0135146358921194
2024-02-26,40940477.645404115,41524986.76898943,1.014277047000963
2024-02-27,41225447.37696582,41739565.555919126,1.0124708938693183
2024-02-29,41445206.749056116,41955404.40835667,1.0123101728600297
2024-03-01,41224874.579884104,41753629.71111063,1.0128261186144283
2024-03-04,41298287.274300255,41940180.08859865,1.0155428434606741
2024-03-05,41286917.80180412,41975988.812206455,1.0166898147667547
2024-03-06,41487715.716295935,42191060.13637657,1.0169530765417476
2024-03-07,41682892.385873795,42424229.45757726,1.0177851638710826
2024-03-08,42004280.469647676,42788444.31489863,1.0186686651094428
2024-03-11,41956228.6350458,42710926.35163767,1.017987739631142
2024-03-12,42102011.833531626,42883037.8344965,1.0185507999962804
2024-03-13,42286718.36891079,43087411.55325799,1.0189348621797019
2024-03-14,43208994.603379525,43896882.772736214,1.0159200225710154
2024-03-15,43397944.064199865,44005708.46522952,1.0140044514581283
2024-03-18,43381395.2000124,44007455.75258781,1.014431544898197
2024-03-19,43137476.5155103,43763798.4169446,1.0145192058512997
2024-03-20,42760336.14045866,43428963.45232278,1.0156366243162314
2024-03-21,43588766.87070061,44255606.36925905,1.0152984254070898
2024-03-22,43490024.62922169,44132522.69510512,1.0147734583128225
2024-03-25,43440255.3602354,44095082.46363201,1.0150742001391646
2024-03-26,43709959.42371351,44373402.45927522,1.0151783036248205
2024-03-27,43676723.776319705,44355528.35475827,1.015541563554879
2024-03-28,43456302.070735864,44121986.53224629,1.0153184792490364
2024-03-29,43869544.69118562,44516383.07360715,1.0147445884605109
