date,breadth_63d,mkt_mom_63d,mkt_mom_21d,mkt_vol_60d,mean_mom_fam,mean_def_fam,mean_val_fam,mean_grw_fam,mean_qual_fam,disp_mom_fam,disp_grw_fam,mom_minus_val,grw_minus_val,mom_minus_def,risk_on,vol20,dd120,breadth60,ew_mom63,crisis_vote2,crisis_strict,mom_ic_same_day,mom_ic_lag1,mom_ic_lag21,val_ic_same_day,val_ic_lag1,val_ic_lag21,year,month
2008-01-23,0.12,-0.2542307692307694,-0.09545226176977623,0.5658591923942263,0.5,0.5,,0.5004138702460851,0.5,0.21133711221561327,0.23629353948277892,,,0.0,false,0.31886643884342136,-0.2955390545704044,0.45,-0.22313225233141998,true,true,0.07795822471551968,0.31967876921672245,0.09877374410703216,,,,2008,1
2008-01-24,0.13333333333333333,-0.247585562722498,-0.10212822324267035,0.5699849375507342,0.5,0.5,,0.4998340790454885,0.5,0.2088010076347059,0.23497850743000395,,,5.921189464667502e-18,false,0.33505238171837204,-0.3166903026924187,0.45,-0.24728023012141975,true,true,0.2683554296626654,0.07795822471551968,0.10203445807221752,,,,2008,1
2008-01-25,0.12666666666666668,-0.24573093342563712,-0.07474250842760255,0.5693121473323721,0.5,0.5,,0.4998452647278151,0.5,0.20968823279461576,0.23541217792876043,,,-5.921189464667502e-18,false,0.33620660364855476,-0.32628070536516396,0.43333333333333335,-0.2619555609787215,true,true,0.11307695659610392,0.2683554296626654,0.11540896533225216,,,,2008,1
2008-01-28,0.1,-0.2637121377206367,-0.13148220613491607,0.5803854907975574,0.5,0.5,,0.5004064131245339,0.5,0.20552826528099408,0.23769202582611393,,,5.921189464667502e-18,false,0.33492022133670074,-0.3179160733936073,0.45,-0.25411339866842453,true,true,0.10133885198657053,0.11307695659610392,0.12150617945078761,,,,2008,1
2008-01-29,0.12666666666666668,-0.25794999567935056,-0.1419445916855076,0.5750396693330802,0.5,0.5,,0.5004399701715139,0.5,0.20502199473819366,0.2374116239213313,,,0.0,false,0.3131094252407901,-0.3272424542813608,0.45,-0.25867745136008047,true,true,-0.007764052456397423,0.10133885198657053,0.12680712959211757,,,,2008,1
2008-01-30,0.12666666666666668,-0.24578646505624197,-0.14711996443616526,0.5699788608341134,0.5,0.4999999999999999,,0.5004474272930649,0.5,0.2048780589254955,0.23837088189932362,,,-5.921189464667502e-18,false,0.3028186441010741,-0.3253990790947605,0.45,-0.2611017707316957,true,true,-0.06205063473386732,-0.007764052456397423,0.12595806023069847,,,,2008,1
2008-01-31,0.17333333333333334,-0.21849197381880447,-0.1275897206061426,0.576748236560159,0.5,0.5,,0.5004474272930649,0.5,0.20586824170867996,0.23837088189932362,,,0.0,false,0.29886831794229607,-0.3280040941386376,0.43333333333333335,-0.23738907517928864,true,true,-0.2915211749427664,-0.06205063473386732,0.12154275823038503,,,,2008,1
2008-02-01,0.23333333333333334,-0.21110889658436927,-0.10627346301984286,0.5694463446030056,0.5,0.5,,0.5004474272930649,0.5,0.20648389658252728,0.23997317887290148,,,-1.1842378929335004e-17,false,0.2984798202085045,-0.3172756332545197,0.45,-0.2329870561861368,true,true,-0.46878430772662366,-0.2915211749427664,0.10657874558220672,,,,2008,2
2008-02-12,0.25333333333333335,-0.2062981053878037,-0.11347573602232841,0.5717137446249264,0.5,0.5,,0.4981400779974606,0.5,0.21781292888687973,0.21853564106098977,,,2.960594732333751e-18,false,0.29656567180818094,-0.30601785820651506,0.4666666666666667,-0.22900867264879754,true,true,-0.4359473533999364,-0.46878430772662366,0.08133645185859424,,,,2008,2
2008-02-13,0.22666666666666666,-0.21027833817602026,-0.07947269303201504,0.5647149446926026,0.5,0.5,,0.49813264606888763,0.5,0.21971147225733775,0.2202715382716974,,,-2.960594732333751e-18,false,0.2948476737053758,-0.3037295999115147,0.48333333333333334,-0.23259578201151332,true,true,-0.17824429655795285,-0.4359473533999364,0.05572827306284721,,,,2008,2
2008-02-14,0.32,-0.1373426580786395,-0.035488569594628094,0.5675254814484694,0.5,0.5,,0.49814390733014896,0.5,0.22532943510600792,0.21842280687173557,,,-8.881784197001253e-18,false,0.2936008469020319,-0.29910274001076376,0.5,-0.2020576404397253,true,true,0.02006519499612636,-0.17824429655795285,0.046113260153981234,,,,2008,2
2008-02-15,0.3,-0.1363399867562201,-0.03657477025898087,0.5635438473190351,0.5,0.5,,0.49812891750811217,0.5,0.22039972270189967,0.21952831614401316,,,-2.960594732333751e-18,false,0.26477426786986197,-0.29360410621141897,0.5,-0.1714889767499579,true,true,0.15627750195520917,0.02006519499612636,0.03969640228675873,,,,2008,2
2008-02-18,0.35333333333333333,-0.09934768261851284,-0.03252549414578887,0.5622442248123645,0.5,0.5,,0.49814017876937344,0.49999999999999994,0.22095904832859142,0.21904108017597596,,,-5.921189464667502e-18,false,0.28223595954469277,-0.2766956144061816,0.5,-0.11719325226549693,true,true,0.24490590528767892,0.15627750195520917,0.041723495178258296,,,,2008,2
2008-02-19,0.38,-0.09512768960944529,-0.009789963253739264,0.5632959282646424,0.5,0.5000000000000001,,0.4981251637543584,0.5,0.2220891652558383,0.21947516359407263,,,2.960594732333751e-18,false,0.2938494134395669,-0.25837910217113114,0.5166666666666667,-0.08125386051661343,true,true,0.21455455741526963,0.24490590528767892,0.04428558550896422,,,,2008,2
2008-02-20,0.2866666666666667,-0.14572013352501134,-0.044889073190959694,0.5658652966508164,0.5,0.5,,0.4981064453715461,0.5,0.22883038679670484,0.2180081833074507,,,-2.960594732333751e-18,false,0.29565203413096636,-0.2532618987268178,0.5166666666666667,-0.11040431209067936,true,true,0.36340927671701456,0.21455455741526963,0.05153154357805093,,,,2008,2
2008-02-21,0.35333333333333333,-0.11404984161690912,-0.03708791208791218,0.5704088269244226,0.5,0.5,,0.4981064453715461,0.5,0.23423851919143882,0.2180081833074507,,,8.881784197001253e-18,false,0.29560661044585,-0.252549020880956,0.5333333333333333,-0.11395178941220063,true,true,0.17898971046934034,0.36340927671701456,0.06992134478211673,,,,2008,2
2008-02-22,0.35333333333333333,-0.10000000000000003,-0.0014367816091952479,0.5643546809748105,0.5,0.5,,0.49808021948122616,0.5,0.241994793135274,0.21787384056926418,,,7.401486830834377e-18,false,0.2972497121794757,-0.24670822430504458,0.5333333333333333,-0.09268453250917996,true,true,0.09538176531002389,0.17898971046934034,0.07915583233327686,,,,2008,2
2008-02-25,0.3933333333333333,-0.060466033934913455,0.024560469298321896,0.5700668087827783,0.5,0.5,,0.49811019912529975,0.5,0.24140222006031276,0.2171508497583344,,,-2.960594732333751e-18,false,0.2955743081309998,-0.2287981471741104,0.55,-0.09117637382431953,true,true,0.16643909657845227,0.09538176531002389,0.07245821996754864,,,,2008,2
