family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,is_c1_reference,feature_set,mode,ridge_lambda
C2_replace_gap,20,42,2.0,NONE,5,1,20000000.0,5,0.0585578628143566,-0.308660179236497,0.018080206865105558,0.1364915438339486,1267,1.5606427427867258,-0.09577222680389191,0.3846,-0.000047693352321723376,-0.27732744779830915,true,false,0.7593686883344335,47,391,92,0,1068,0.48678420611826473,0.39852285395763654,19.51063829787234,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.0,NONE,5,0,20000000.0,5,0.0585578628143566,-0.308660179236497,0.018080206865105558,0.1364915438339486,1267,1.5606427427867258,-0.09577222680389191,0.3846,-0.000047693352321723376,-0.27732744779830915,true,false,0.7593686883344335,47,391,92,0,1068,0.48678420611826473,0.39852285395763654,19.51063829787234,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.0,NONE,5,0,20000000.0,3,0.06043475620374417,-0.308660179236497,0.01813733339566627,0.13793555430520818,1268,1.58241693422718,-0.09389533341450435,0.4004,-0.00004060778537311566,-0.23590519319689565,true,false,0.7617680026179833,47,391,90,0,1049,0.48667984805493864,0.3996098104793757,19.51063829787234,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.0,NONE,5,1,20000000.0,3,0.06043475620374417,-0.308660179236497,0.01813733339566627,0.13793555430520818,1268,1.58241693422718,-0.09389533341450435,0.4004,-0.00004060778537311566,-0.23590519319689565,true,false,0.7617680026179833,47,391,90,0,1049,0.48667984805493864,0.3996098104793757,19.51063829787234,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_combined_stabilizer,20,45,2.5,NONE,5,1,20000000.0,5,0.08176618092708732,-0.3170225634192715,0.018248829763547508,0.15242259200027208,1224,1.8491491846227777,-0.07674510078254843,0.6104,0.0000319109116916405,0.2063594862032068,true,false,0.8211973393596378,44,301,79,0,302,0.48125127763497016,0.4159560723514211,19.863636363636363,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,45,2.5,NONE,5,0,20000000.0,0,0.07022553511684948,-0.31960876056830256,0.018801394224024756,0.15490957683702217,1247,1.7003527287629756,-0.0895788451673018,0.4972,-0.000013589658765509461,-0.08760649232284813,true,false,0.846062740081114,44,294,76,0,0,0.46967652427026424,0.430232558139535,20.0,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,45,2.5,NONE,5,1,20000000.0,0,0.07022553511684948,-0.31960876056830256,0.018801394224024756,0.15490957683702217,1247,1.7003527287629756,-0.0895788451673018,0.4972,-0.000013589658765509461,-0.08760649232284813,true,false,0.846062740081114,44,294,76,0,0,0.46967652427026424,0.430232558139535,20.0,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_combined_stabilizer,20,49,2.5,NONE,5,1,20000000.0,5,0.08822373944835382,-0.31014314107747165,0.019144714031015808,0.1627977734866431,1199,1.937263719939792,-0.066847831090382,0.681,0.00006421187408813142,0.42549432790925,true,false,0.9380909875197746,41,309,94,0,107,0.41003267374343294,0.48,20.0,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_book_size,30,42,2.0,NONE,5,0,20000000.0,0,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false,false,TECH2,BREADTH_REGIME,1.0
C2_book_size,30,42,2.0,NONE,5,0,20000000.0,5,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false,false,TECH2,BREADTH_REGIME,1.0
