challenger,cagr,max_drawdown,utility,average_daily_turnover,block_bootstrap_positive_probability,mean_gross_exposure,turnover_gate_pass,bootstrap_gate_pass,s_n_days,s_n_crisis_days,s_crisis_day_share,s_crisis_mean_excess,s_crisis_hit_rate,s_crisis_sum_excess,s_crisis_strategy_compound,s_other_mean_excess,s_all_mean_excess,both_gates_pass,detector,is_baseline,controller,stress_day_share
CASH_070::VAL_WORKS_NONCRISIS_vol0.000_valic0.03,0.09834720472484015,-0.3023731520676275,-0.05283937130897359,0.02054003762843962,0.7484,0.939535550147159,true,true,1971,610,0.30948756976154235,-0.00009479340822852442,0.44426229508196724,-0.057823979019399896,0.2223756445281826,0.00017391421351924596,0.0000907525446881247,true,VAL_WORKS_NONCRISIS_vol0.000_valic0.03,false,CASH_070,0.3093306288032454
SLEEVE_VALUE::VAL_WORKS_NONCRISIS_vol0.000_valic0.03,0.0779718245758434,-0.3023731520676275,-0.07321475145797035,0.026622200684516324,0.5844,0.9994929006085193,false,false,1971,610,0.30948756976154235,-0.000028465016620042422,0.48032786885245904,-0.017363660138225878,0.26408237992730554,0.00004819669291523284,0.00002447084673739517,false,VAL_WORKS_NONCRISIS_vol0.000_valic0.03,false,SLEEVE_VALUE,0.3093306288032454
SLEEVE_VALUE_CASH085::VAL_WORKS_NONCRISIS_vol0.000_valic0.03,0.07658882407316558,-0.3023731520676275,-0.07459775196064816,0.026479621700926506,0.5692,0.9803352185561345,false,false,1971,610,0.30948756976154235,-0.000049283858331560804,0.4786885245901639,-0.03006315358225209,0.2500276227766196,0.00004790207778786462,0.000017824238603263104,false,VAL_WORKS_NONCRISIS_vol0.000_valic0.03,false,SLEEVE_VALUE_CASH085,0.3093306288032454
BASE::VAL_WORKS_NONCRISIS_vol0.000_valic0.05,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,556,0.28209030948756975,0.00010511510755183315,0.4748201438848921,0.05844399979881923,0.25760898828676626,0.0001266261195359596,0.00012055807150796657,true,VAL_WORKS_NONCRISIS_vol0.000_valic0.05,true,BASE_FULL,0.281947261663286
CASH_090::VAL_WORKS_NONCRISIS_vol0.000_valic0.05,0.10479789624195956,-0.3023731520676275,-0.04638867979185418,0.0205383295197645,0.7978,0.9940399464986142,true,true,1971,556,0.28209030948756975,0.0000888099446132342,0.4766187050359712,0.049378329204958216,0.24689261952237707,0.00012828514557268366,0.00011714957391694852,true,VAL_WORKS_NONCRISIS_vol0.000_valic0.05,false,CASH_090,0.281947261663286
CASH_085::VAL_WORKS_NONCRISIS_vol0.000_valic0.05,0.10341927934529238,-0.3023731520676275,-0.047767296688521366,0.020559466611057464,0.7878,0.9848227220204666,true,true,1971,556,0.28209030948756975,0.00007620141783961723,0.4658273381294964,0.04236798831882718,0.23887321588771981,0.0001255428113589378,0.00011162408239052463,true,VAL_WORKS_NONCRISIS_vol0.000_valic0.05,false,CASH_085,0.281947261663286
CASH_070::VAL_WORKS_NONCRISIS_vol0.000_valic0.05,0.0986105455168611,-0.3023731520676275,-0.05257603051695264,0.020565580637679298,0.75,0.9440185927407281,true,true,1971,556,0.28209030948756975,0.000032185990689724874,0.4550359712230216,0.01789541082348703,0.21132834437961678,0.00011542990493617506,0.00009194760340343714,true,VAL_WORKS_NONCRISIS_vol0.000_valic0.05,false,CASH_070,0.281947261663286
SLEEVE_VALUE::VAL_WORKS_NONCRISIS_vol0.000_valic0.05,0.08565193988169084,-0.3023731520676275,-0.0655346361521229,0.02661498827541108,0.6568,0.9994929006085193,false,false,1971,556,0.28209030948756975,0.00011741155430440979,0.4982014388489209,0.06528082419325185,0.2619534278961475,0.00002698529773542097,0.00005249366843676939,false,VAL_WORKS_NONCRISIS_vol0.000_valic0.05,false,SLEEVE_VALUE,0.281947261663286
SLEEVE_VALUE_CASH085::VAL_WORKS_NONCRISIS_vol0.000_valic0.05,0.08327968247178874,-0.3023731520676275,-0.067906893562025,0.02644313539293509,0.6302,0.9810429249297272,false,false,1971,556,0.28209030948756975,0.00009153360416426333,0.4982014388489209,0.05089268391533041,0.2456959391555893,0.00002297147011117933,0.00004231218372534206,false,VAL_WORKS_NONCRISIS_vol0.000_valic0.05,false,SLEEVE_VALUE_CASH085,0.281947261663286
BASE::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,163,0.08269913749365804,0.000422200065327806,0.50920245398773,0.06881861064843238,0.07561276216304869,0.00009336357759611156,0.00012055807150796657,true,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,true,BASE_FULL,0.08265720081135902
CASH_090::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,0.10508757542939096,-0.3023731520676275,-0.04609900060442279,0.02054423857874722,0.8022,0.9991449492753576,true,true,1971,163,0.08269913749365804,0.0004011812637049863,0.5153374233128835,0.06539254598391277,0.07191028881153927,0.0000934010944101785,0.00011885424894851119,true,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,false,CASH_090,0.08265720081135902
CASH_085::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,0.10421152576626458,-0.3023731520676275,-0.04697505026754917,0.020592721343902092,0.7958,0.9975211097376889,true,true,1971,163,0.08269913749365804,0.00037741880888055024,0.50920245398773,0.06151926584752969,0.0677924822647038,0.00009199416831743147,0.00011559853991143879,true,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,false,CASH_085,0.08265720081135902
CASH_070::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,0.10176893973220169,-0.3023731520676275,-0.049417636301612056,0.020789767706333617,0.7748,0.9886303600469623,true,true,1971,163,0.08269913749365804,0.00026106376387808277,0.4785276073619632,0.04255339351212749,0.04809180543911462,0.00009223920521151608,0.00010620085060098864,true,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,false,CASH_070,0.08265720081135902
SLEEVE_VALUE::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,0.08853129041369057,-0.3023731520676275,-0.06265528562012318,0.0235567272231259,0.6714,0.9994929006085193,true,false,1971,163,0.08269913749365804,0.0004054576347514871,0.49693251533742333,0.0660895944644924,0.0723809901680903,0.000028300367537482972,0.0000594909482355462,false,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,false,SLEEVE_VALUE,0.08265720081135902
SLEEVE_VALUE_CASH085::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,0.08850526386312718,-0.3023731520676275,-0.06268131217068657,0.023508245045229807,0.6716,0.9976777956804982,true,false,1971,163,0.08269913749365804,0.00037795636659934093,0.5030674846625767,0.06160688775569257,0.06763677190976569,0.00003051922296359912,0.00005925197507553511,false,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.03,false,SLEEVE_VALUE_CASH085,0.08265720081135902
BASE::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,152,0.07711821410451547,0.00042858184356155436,0.5131578947368421,0.06514444022135626,0.05094626244413125,0.00009481886680640232,0.00012055807150796657,true,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,true,BASE_FULL,0.07707910750507099
CASH_090::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,0.10508757542939096,-0.3023731520676275,-0.04609900060442279,0.02054423857874722,0.8022,0.9991449492753576,true,true,1971,152,0.07711821410451547,0.00040589930730354495,0.5197368421052632,0.06169669471013883,0.04730868150403089,0.00009486807584792557,0.00011885424894851119,true,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,false,CASH_090,0.07707910750507099
CASH_085::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,0.10421152576626458,-0.3023731520676275,-0.04697505026754917,0.020592721343902092,0.7958,0.9975211097376889,true,true,1971,152,0.07711821410451547,0.0003832939030833036,0.5131578947368421,0.05826067326866215,0.04372786739542067,0.00009322927372005701,0.00011559853991143879,true,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,false,CASH_085,0.07707910750507099
CASH_070::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,0.10176893973220169,-0.3023731520676275,-0.049417636301612056,0.020789767706333617,0.7748,0.9886303600469623,true,true,1971,152,0.07711821410451547,0.0002645194458955386,0.48026315789473684,0.040206955776121864,0.025351294940356706,0.00009297136930094925,0.00010620085060098864,true,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,false,CASH_070,0.07707910750507099
SLEEVE_VALUE::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,0.08853129041369057,-0.3023731520676275,-0.06265528562012318,0.0235567272231259,0.6714,0.9994929006085193,true,false,1971,152,0.07711821410451547,0.0004532407765581154,0.5131578947368421,0.06889259803683354,0.05466266516973217,0.000026588268793528343,0.0000594909482355462,false,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,false,SLEEVE_VALUE,0.07707910750507099
SLEEVE_VALUE_CASH085::COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,0.08850526386312718,-0.3023731520676275,-0.06268131217068657,0.023508245045229807,0.6716,0.9976777956804982,true,false,1971,152,0.07711821410451547,0.0004268382440481641,0.5197368421052632,0.06487941309532094,0.050469899241101235,0.000028535585364793198,0.00005925197507553511,false,COMBO_VOL_VAL_NONCRISIS_vol0.415_valic0.05,false,SLEEVE_VALUE_CASH085,0.07707910750507099
BASE::COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,82,0.041603247082699135,0.0011336237222624689,0.5487804878048781,0.09295714522552244,0.07915858146305643,0.00007658169069173088,0.00012055807150796657,true,COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,true,BASE_FULL,0.04158215010141988
CASH_090::COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,0.10530381219309248,-0.3023731520676275,-0.04588276384072126,0.02047642917370405,0.8042,0.9994929006085193,true,true,1971,82,0.041603247082699135,0.0011457490941942261,0.5487804878048781,0.09395142572392655,0.08023115186330854,0.00007509859873498777,0.00011964113583679272,true,COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,false,CASH_090,0.04158215010141988
CASH_085::COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,0.10490088417272458,-0.3023731520676275,-0.04628569186108916,0.02049886368644211,0.802,0.9994929006085193,true,true,1971,82,0.041603247082699135,0.0011470835416265113,0.5487804878048781,0.09406085041337393,0.08034359153355952,0.0000735661879911575,0.00011822799570201444,true,COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,false,CASH_085,0.04158215010141988
CASH_070::COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,0.10410209704992757,-0.3023731520676275,-0.04708447898388618,0.02059898364956485,0.7976,0.9965734462188359,true,true,1971,82,0.041603247082699135,0.0010708070792592504,0.524390243902439,0.08780618049925853,0.07367533473154508,0.00007379085081341643,0.00011526996331090928,true,COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,false,CASH_070,0.04158215010141988
SLEEVE_VALUE::COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,0.10012480957142378,-0.3023731520676275,-0.05106176646238997,0.021605018918867788,0.7708,0.9994929006085193,true,true,1971,82,0.041603247082699135,0.001168896200370196,0.5609756097560976,0.09584948843035607,0.08215818788582618,0.000054862011307494374,0.00010120945093364432,true,COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,false,SLEEVE_VALUE,0.04158215010141988
SLEEVE_VALUE_CASH085::COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,0.10019121074063819,-0.3023731520676275,-0.050995365293175554,0.021605172780816365,0.771,0.9994929006085193,true,true,1971,82,0.041603247082699135,0.001179051406989809,0.573170731707317,0.09668221537316433,0.08305445671195621,0.000054685059574349396,0.00010146235053734676,true,COMBO_VOL_VAL_NONCRISIS_vol0.438_valic0.03,false,SLEEVE_VALUE_CASH085,0.04158215010141988
