signal_date,execution_date,code,side,gross_value,cost
2024-08-02,2024-08-05,2317,SELL,0.07942773025232237,0.00039118157149268775
2024-08-02,2024-08-05,2327,SELL,0.08736920434158887,0.0004302933313823253
2024-08-02,2024-08-05,2330,SELL,0.08244670339449983,0.0004060500142179117
2024-08-02,2024-08-05,2379,SELL,0.07031436902785992,0.0003462982674622102
2024-08-02,2024-08-05,2412,SELL,0.08015097203983598,0.00039474353729619226
2024-08-02,2024-08-05,3008,SELL,0.09450679864308784,0.00046544598331720765
2024-08-02,2024-08-05,3034,SELL,0.07236816083386151,0.00035641319210676797
2024-08-02,2024-08-05,3711,SELL,0.07051921224805162,0.00034730712032165427
2024-08-02,2024-08-05,4938,SELL,0.07579632107468781,0.0003732968812928375
2024-08-02,2024-08-05,3231,SELL,0.06651239209750355,0.00032757353108020504
2024-08-02,2024-08-05,1216,SELL,0.08207178504676342,0.00040420354135530987
2024-08-02,2024-08-05,2618,SELL,0.07768010005214608,0.0003825744927568195
2024-08-02,2024-08-05,2357,SELL,0.07175394003038398,0.00035338815464964113
2024-08-02,2024-08-05,2474,SELL,0.07740118864525977,0.0003812008540779044
2024-08-02,2024-08-05,2610,SELL,0.07851990296537012,0.0003867105221044479
2024-08-02,2024-08-05,1519,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,2348,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,2464,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,2520,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,2543,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,2884,BUY,0.006070849521290733,0.000011686385328484662
2024-08-02,2024-08-05,3047,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,3312,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,3580,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,3583,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,4967,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,5347,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,5508,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,5871,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,6117,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,6139,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,6640,BUY,0.07922515215823663,0.00015250841790460552
2024-08-02,2024-08-05,8028,BUY,0.07922515215823663,0.00015250841790460552
2024-10-04,2024-10-07,2881,SELL,0.007090804486590982,0.00003492221209646059
2024-10-04,2024-10-07,2882,SELL,0.007734463202264424,0.000038092231271152295
2024-10-04,2024-10-07,2884,SELL,0.08601504374260993,0.000423624090432354
2024-10-04,2024-10-07,1519,SELL,0.08049275459276833,0.0003964268163693841
2024-10-04,2024-10-07,2348,SELL,0.05072796936685585,0.0002498352491317651
2024-10-04,2024-10-07,2464,SELL,0.08178080222785722,0.00040277045097219686
2024-10-04,2024-10-07,2520,SELL,0.07209788941672857,0.00035508210537738824
2024-10-04,2024-10-07,2543,SELL,0.11917980575099156,0.0005869605433236335
2024-10-04,2024-10-07,3047,SELL,0.07558141979879072,0.00037223849250904434
2024-10-04,2024-10-07,3312,SELL,0.07496955870786923,0.000369225076636256
2024-10-04,2024-10-07,3580,SELL,0.08704108645187432,0.00042867735077548107
2024-10-04,2024-10-07,3583,SELL,0.09540866121058661,0.0004698876564621391
2024-10-04,2024-10-07,4967,SELL,0.07053818371983349,0.00034740055482017997
2024-10-04,2024-10-07,5347,SELL,0.06953823399041728,0.00034247580240280513
2024-10-04,2024-10-07,5508,SELL,0.06413464698523919,0.000315863136402303
2024-10-04,2024-10-07,5871,SELL,0.006748405441969155,0.00003323589680169809
2024-10-04,2024-10-07,6117,SELL,0.07427358014834683,0.0003657973822306082
2024-10-04,2024-10-07,6139,SELL,0.08568048351383831,0.00042197638130565373
2024-10-04,2024-10-07,6640,SELL,0.09779690191890736,0.0004816497419506188
2024-10-04,2024-10-07,8028,SELL,0.09631293007471901,0.0004743411806179912
2024-10-04,2024-10-07,1216,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2303,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2308,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2317,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2327,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2330,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2357,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2379,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2412,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2618,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2883,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,2886,BUY,0.0022258797048660887,4.284818431867221e-6
2024-10-04,2024-10-07,2891,BUY,0.0015943626173447949,3.06914803838873e-6
2024-10-04,2024-10-07,3008,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,3034,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,3045,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,3231,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,4904,BUY,0.08174884207362523,0.00015736652099172858
2024-10-04,2024-10-07,4938,BUY,0.08174884207362523,0.00015736652099172858
2024-12-05,2024-12-06,2881,SELL,0.00022923065161357947,1.128960959196879e-6
2024-12-05,2024-12-06,2886,SELL,0.0023370540082152252,0.000011509990990459985
2024-12-05,2024-12-06,2891,SELL,0.010581719325028216,0.00005211496767576397
2024-12-05,2024-12-06,2882,SELL,0.002589777324144324,0.000012754653321410797
2024-12-05,2024-12-06,5871,SELL,0.06185993966814523,0.0003046602028656153
2024-12-05,2024-12-06,2308,SELL,0.0027881392683589135,0.00001373158589666765
2024-12-05,2024-12-06,2327,SELL,0.07226490778077005,0.00035590467082029253
2024-12-05,2024-12-06,2330,SELL,0.005687911355212946,0.000028012963424423764
2024-12-05,2024-12-06,2357,SELL,0.003239822322955707,0.00001595612494055686
2024-12-05,2024-12-06,2379,SELL,0.006042124872958063,0.000029757464999318462
2024-12-05,2024-12-06,2618,SELL,0.020486109639963612,0.00010089408997682081
2024-12-05,2024-12-06,2883,SELL,0.0060995369447074815,0.00003004021945268435
2024-12-05,2024-12-06,3008,SELL,0.07905033660711724,0.0003893229077900525
2024-12-05,2024-12-06,3231,SELL,0.011760599463756655,0.00005792095235900153
2024-12-05,2024-12-06,4938,SELL,0.07544819961136535,0.0003715823830859744
2024-12-05,2024-12-06,1216,BUY,0.002076155984549574,3.99660027025793e-6
2024-12-05,2024-12-06,2303,BUY,0.016144555929727782,0.00003107827016472598
2024-12-05,2024-12-06,2317,BUY,0.0008514876532102968,1.6391137324298213e-6
2024-12-05,2024-12-06,2324,BUY,0.08224542086830039,0.00015832243517147825
2024-12-05,2024-12-06,2404,BUY,0.08224542086830039,0.00015832243517147825
2024-12-05,2024-12-06,2412,BUY,0.0010554824732981125,2.0318037610988667e-6
2024-12-05,2024-12-06,2610,BUY,0.08224542086830039,0.00015832243517147825
2024-12-05,2024-12-06,3034,BUY,0.006876940771218998,0.000013238110984596572
2024-12-05,2024-12-06,3045,BUY,0.0014163266439425793,2.726428789589465e-6
2024-12-05,2024-12-06,3706,BUY,0.08224542086830039,0.00015832243517147825
2024-12-05,2024-12-06,4904,BUY,0.0005983319192722576,1.1517889445990959e-6
2025-02-13,2025-02-14,2881,SELL,0.0026685037243456,0.000013142380842402081
2025-02-13,2025-02-14,2891,SELL,0.0034036129825884,0.00001676279393924787
2025-02-13,2025-02-14,2882,SELL,0.000280192310288932,1.3799471281729902e-6
2025-02-13,2025-02-14,2308,SELL,0.0035270472133181463,0.000017370707525591874
2025-02-13,2025-02-14,2317,SELL,0.0747119357842312,0.0003679562837373387
2025-02-13,2025-02-14,2330,SELL,0.0002987859146366262,1.471520629585384e-6
2025-02-13,2025-02-14,2357,SELL,0.011387052191140806,0.000056081232041368474
2025-02-13,2025-02-14,2379,SELL,0.0065037213168300245,0.00003203082748538787
2025-02-13,2025-02-14,2412,SELL,0.0017499413834756172,8.618461313617415e-6
2025-02-13,2025-02-14,2883,SELL,0.0005295325627379388,2.607947871484349e-6
2025-02-13,2025-02-14,3034,SELL,0.012219097659122088,0.00006017905597117629
2025-02-13,2025-02-14,3045,SELL,0.0007498149027053702,3.692838395823949e-6
2025-02-13,2025-02-14,3231,SELL,0.07860083155293086,0.00038710909539818453
2025-02-13,2025-02-14,4904,SELL,0.08252928293293987,0.0004064567184447289
2025-02-13,2025-02-14,2324,SELL,0.0824596016518116,0.00040611353813517216
2025-02-13,2025-02-14,2404,SELL,0.0018060505515749004,8.894798966506385e-6
2025-02-13,2025-02-14,3706,SELL,0.06679600479359205,0.00032897032360844087
2025-02-13,2025-02-14,1216,BUY,0.004589624327295868,8.835026830044547e-6
2025-02-13,2025-02-14,2301,BUY,0.08149104913207211,0.00015687026957923882
2025-02-13,2025-02-14,2303,BUY,0.002496743449603337,4.806231140486424e-6
2025-02-13,2025-02-14,2327,BUY,0.08149104913207211,0.00015687026957923882
2025-02-13,2025-02-14,2454,BUY,0.08149104913207211,0.00015687026957923882
2025-02-13,2025-02-14,2610,BUY,0.00809907095039058,0.000015590711579501866
2025-02-13,2025-02-14,2618,BUY,0.002332101011588627,4.489294447308107e-6
2025-02-13,2025-02-14,2886,BUY,0.002306872216686092,4.440729017120727e-6
2025-02-13,2025-02-14,3008,BUY,0.08149104913207211,0.00015687026957923882
2025-02-13,2025-02-14,4763,BUY,0.08149104913207211,0.00015687026957923882
2025-04-17,2025-04-18,2886,SELL,0.006474430734837555,0.000031886571369074964
2025-04-17,2025-04-18,2891,SELL,0.0021179757524429077,0.000010431030580781321
