feature_set,regime_definition,mode,ridge_lambda,is_baseline,n_features,features,oof_risk_on_day_share,n_days,mean_rank_ic,p50_rank_ic,average_daily_turnover,block_bootstrap_positive_probability,cagr,max_drawdown,utility,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,both_gates_pass
QUALITY2,TREND_ONLY,BREADTH_REGIME,1.0,false,2,"quality_family_score,defensive_family_score",0.7601419878296146,1972,0.09461204838122646,0.09402910976382911,0.009367032557099926,0.1714,0.03290209967969204,-0.2549177064189111,-0.0945567535297635,-0.0001696587041780156,-0.9950175651841425,true,false,false
QUALITY2,BREADTH_STRICT55,BREADTH_REGIME,1.0,false,2,"quality_family_score,defensive_family_score",0.7038539553752535,1972,0.08524623816078639,0.09094448642161874,0.010874853741923929,0.1706,0.034226082573172834,-0.2549225717363469,-0.09323520329500062,-0.0001604127809979055,-0.9888729383295234,true,false,false
TECH2,BREADTH_STRICT55,BREADTH_REGIME,1.0,false,2,"momentum_family_score,defensive_family_score",0.7038539553752535,1972,0.10916026185204157,0.11189118752308844,0.02475365775517933,0.1662,0.030773578586608563,-0.3602765958375852,-0.14936471933218404,-0.0001517112139611708,-0.9979543453300228,true,false,false
VALUE2,BREADTH_BASE,GLOBAL,1.0,false,2,"value_family_score,defensive_family_score",0.7601419878296146,1972,0.06766711649249392,0.07211698297702121,0.007499697204915584,0.1594,0.03560970758613813,-0.22273078274103475,-0.07575568378437925,-0.00016956643645504578,-0.9969152098544544,true,false,false
VALUE2,BREADTH_21,BREADTH_REGIME,1.0,false,2,"value_family_score,defensive_family_score",0.6658215010141988,1972,0.054159062757346964,0.06180728563954766,0.013296500126000945,0.1554,0.02924045745347925,-0.40952078067499775,-0.17551993288401962,-0.00016116658389063947,-1.0472395107673276,true,false,false
TECH2,BREADTH_BASE,GLOBAL,1.0,false,2,"momentum_family_score,defensive_family_score",0.7601419878296146,1972,0.0603587961536488,0.05452686786079382,0.006007404744462465,0.146,0.03649052156940691,-0.2656404483354009,-0.09632970259829354,-0.0001661701777379527,-1.0166318091374364,true,false,false
VALUE2,VOL_REGIME,BREADTH_REGIME,1.0,false,2,"value_family_score,defensive_family_score",0.4234279918864097,1972,0.06983855815259325,0.06566155112807981,0.009220025160220992,0.1222,0.02863863843806924,-0.26232662004339025,-0.10252467158362588,-0.0001939419371306255,-1.1628909414184747,true,false,false
VAL_MOM,TREND_ONLY,BREADTH_REGIME,1.0,false,2,"value_family_score,momentum_family_score",0.7601419878296146,1972,0.023588693279485092,0.021322570054693547,0.018792655279884125,0.1088,0.002747865455201559,-0.46440131082656455,-0.22945278995808072,-0.0002247714354093594,-1.3136974845414298,true,false,false
VAL_MOM,BREADTH_BASE,BREADTH_REGIME,1.0,false,2,"value_family_score,momentum_family_score",0.7601419878296146,1972,0.023588693279485092,0.021322570054693547,0.018792655279884125,0.1088,0.002747865455201559,-0.46440131082656455,-0.22945278995808072,-0.0002247714354093594,-1.3136974845414298,true,false,false
QUALITY2,BREADTH_21,BREADTH_REGIME,1.0,false,2,"quality_family_score,defensive_family_score",0.6658215010141988,1972,0.04557162363647855,0.06439225257531077,0.013699501546326103,0.087,-0.0031622415710236274,-0.44243779014975015,-0.2243811366458987,-0.0002656078564746564,-1.4204914926185868,true,false,false
TECH2,BREADTH_21,BREADTH_REGIME,1.0,false,2,"momentum_family_score,defensive_family_score",0.6658215010141988,1972,0.049302183004167284,0.0577899269833692,0.019469675167737583,0.0774,0.004119234455547183,-0.40889348371389633,-0.20032750740140098,-0.00023396685000128418,-1.462999501912221,true,false,false
VALUE2,BREADTH_STRICT55,BREADTH_REGIME,1.0,false,2,"value_family_score,defensive_family_score",0.7038539553752535,1972,0.0889370484054153,0.08693708145250575,0.017648928339824118,0.0544,-0.0038535155949704913,-0.39742149237600277,-0.20256426178297188,-0.0002744008784627029,-1.6278307860350198,true,false,false
VAL_MOM,BREADTH_STRICT55,BREADTH_REGIME,1.0,false,2,"value_family_score,momentum_family_score",0.7038539553752535,1972,0.02317920416709521,0.021322035303562102,0.019210761949908943,0.0504,-0.014290872348564188,-0.5210355183798296,-0.274808631538479,-0.0002898309098643094,-1.665930652078512,true,false,false
FAMILY5,BREADTH_STRICT55,BREADTH_REGIME,1.0,false,5,"momentum_family_score,defensive_family_score,quality_family_score,growth_family_score,value_family_score",0.7038539553752535,1972,0.10180064108886028,0.10601643249799256,0.021418175888443303,0.0412,0.0037672175031482347,-0.428697119235424,-0.21058134211456375,-0.0002529847310655151,-1.7923871308132944,true,false,false
GROWTH2,BREADTH_STRICT55,BREADTH_REGIME,1.0,false,2,"growth_family_score,momentum_family_score",0.7038539553752535,1972,0.03928633612973787,0.03560130372320433,0.02247911207555128,0.0322,-0.017303035119828558,-0.4435143246040738,-0.23906019742186546,-0.0002999566897623322,-1.791558588238818,true,false,false
QUAL_VAL,BREADTH_BASE,BREADTH_REGIME,1.0,false,2,"quality_family_score,value_family_score",0.7601419878296146,1972,0.0035946685193836156,-0.002004584474447885,0.014135387964491897,0.0286,-0.004298670714427355,-0.38066397158480214,-0.19463065650682843,-0.00027950560652128127,-2.0383384951118235,true,false,false
QUAL_VAL,TREND_ONLY,BREADTH_REGIME,1.0,false,2,"quality_family_score,value_family_score",0.7601419878296146,1972,0.0035946685193836156,-0.002004584474447885,0.014135387964491897,0.0286,-0.004298670714427355,-0.38066397158480214,-0.19463065650682843,-0.00027950560652128127,-2.0383384951118235,true,false,false
QUAL_VAL,BREADTH_STRICT55,BREADTH_REGIME,1.0,false,2,"quality_family_score,value_family_score",0.7038539553752535,1972,0.003957000606560066,-0.0032000560876945857,0.014132668625394106,0.027,-0.005919756469774606,-0.37270496012819987,-0.19227223653387454,-0.0002853569271172089,-2.0648145851767246,true,false,false
QUAL_VAL,VOL_REGIME,BREADTH_REGIME,1.0,false,2,"quality_family_score,value_family_score",0.4234279918864097,1972,0.014493321177820097,0.007551797961076969,0.014902298539728024,0.021,-0.004697297206272988,-0.38627649299994726,-0.19783554370624662,-0.00027814205614488355,-2.1601731935506336,true,false,false
GROWTH2,TREND_ONLY,BREADTH_REGIME,1.0,false,2,"growth_family_score,momentum_family_score",0.7601419878296146,1972,0.038212842008597654,0.03536450675499794,0.02150206913645181,0.0178,-0.04123308140337956,-0.48847743303036895,-0.28547179791856403,-0.0003863829430248375,-2.0604931790048417,true,false,false
GROWTH2,BREADTH_BASE,BREADTH_REGIME,1.0,false,2,"growth_family_score,momentum_family_score",0.7601419878296146,1972,0.038212842008597654,0.03536450675499794,0.02150206913645181,0.0178,-0.04123308140337956,-0.48847743303036895,-0.28547179791856403,-0.0003863829430248375,-2.0604931790048417,true,false,false
FAMILY3,BREADTH_BASE,BREADTH_REGIME,1.0,false,3,"momentum_family_score,quality_family_score,growth_family_score",0.7601419878296146,1972,0.03124040270221266,0.026597134046798476,0.021123806724025498,0.0102,-0.05453320856404542,-0.45661361426617486,-0.28284001569713285,-0.0004420864310881257,-2.4120588164204912,true,false,false
FAMILY3,TREND_ONLY,BREADTH_REGIME,1.0,false,3,"momentum_family_score,quality_family_score,growth_family_score",0.7601419878296146,1972,0.03124040270221266,0.026597134046798476,0.021123806724025498,0.0102,-0.05453320856404542,-0.45661361426617486,-0.28284001569713285,-0.0004420864310881257,-2.4120588164204912,true,false,false
VAL_MOM,VOL_REGIME,BREADTH_REGIME,1.0,false,2,"value_family_score,momentum_family_score",0.4234279918864097,1972,0.02858487093753747,0.030145554416690815,0.019363805013617664,0.01,-0.027119547003490396,-0.45750014638676584,-0.2558696201968733,-0.0003624154744612786,-2.433186649953351,true,false,false
FAMILY3,BREADTH_STRICT55,BREADTH_REGIME,1.0,false,3,"momentum_family_score,quality_family_score,growth_family_score",0.7038539553752535,1972,0.031838759079819555,0.026813672199244895,0.021316348584333025,0.007,-0.03774618347276881,-0.4622683196615971,-0.26888034330356736,-0.000391433966767206,-2.4832710271558347,true,false,false
FAMILY5,VOL_REGIME,BREADTH_REGIME,1.0,false,5,"momentum_family_score,defensive_family_score,quality_family_score,growth_family_score,value_family_score",0.4234279918864097,1972,0.07516846963052494,0.07169776000410866,0.019380158273098528,0.0068,-0.015553340872263677,-0.41065731045795706,-0.2208819961012422,-0.0003481581876308602,-2.5636034679263884,true,false,false
VAL_MOM,BREADTH_21,BREADTH_REGIME,1.0,false,2,"value_family_score,momentum_family_score",0.6658215010141988,1972,0.016880239310887637,0.014232898156797402,0.015431777680260985,0.0062,-0.03489211799149794,-0.47456079437440435,-0.2721725151787001,-0.0004012277082967248,-2.518977651880994,true,false,false
FAMILY5,BREADTH_BASE,GLOBAL,1.0,false,5,"momentum_family_score,defensive_family_score,quality_family_score,growth_family_score,value_family_score",0.7601419878296146,1972,0.05868604753290775,0.05570342645387867,0.011006419365901361,0.004,-0.012992179298096929,-0.39307943625658415,-0.209531897426389,-0.00034674555848871624,-2.5832613280675285,true,false,false
FAMILY5,BREADTH_21,BREADTH_REGIME,1.0,false,5,"momentum_family_score,defensive_family_score,quality_family_score,growth_family_score,value_family_score",0.6658215010141988,1972,0.05708306594944442,0.07114189176578815,0.022063724386899502,0.003,-0.04073272791694904,-0.460249100501944,-0.27085727816792105,-0.00042326225693003507,-2.837512103890154,true,false,false
QUAL_VAL,BREADTH_21,BREADTH_REGIME,1.0,false,2,"quality_family_score,value_family_score",0.6658215010141988,1972,0.01019553460295302,0.004499454679110275,0.01402251652337641,0.0028,-0.031276955867723055,-0.3788912336364242,-0.22072257268593515,-0.0003877620644103357,-2.8068637408579042,true,false,false
GROWTH2,VOL_REGIME,BREADTH_REGIME,1.0,false,2,"growth_family_score,momentum_family_score",0.4234279918864097,1972,0.02800227009707471,0.024708875519074622,0.0221214393383423,0.0002,-0.07075685091942707,-0.5153432786230255,-0.32842849023093984,-0.0005313815096415892,-3.448760963661486,true,false,false
GROWTH2,BREADTH_21,BREADTH_REGIME,1.0,false,2,"growth_family_score,momentum_family_score",0.6658215010141988,1972,0.01820107627543624,0.012882392086909262,0.018263001019102932,0.0002,-0.07166489679982424,-0.5056494606729423,-0.32448962713629537,-0.0005422046756582792,-3.7762062547650714,true,false,false
FAMILY3,VOL_REGIME,BREADTH_REGIME,1.0,false,3,"momentum_family_score,quality_family_score,growth_family_score",0.4234279918864097,1972,0.025294463318852815,0.021646304980709727,0.023403608759459578,0.0,-0.09318380324467379,-0.5789919685548688,-0.3826797875221082,-0.0006322957485672877,-4.3599341949450094,true,false,false
FAMILY3,BREADTH_BASE,GLOBAL,1.0,false,3,"momentum_family_score,quality_family_score,growth_family_score",0.7601419878296146,1972,0.01395055933059164,0.013828013977798414,0.01588826094105833,0.0,-0.0776014483944295,-0.5510624592419537,-0.3531326780154064,-0.0005677456457859826,-3.646702016452367,true,false,false
FAMILY3,BREADTH_21,BREADTH_REGIME,1.0,false,3,"momentum_family_score,quality_family_score,growth_family_score",0.6658215010141988,1972,0.013946261592740329,0.011350981168814344,0.019435273542554667,0.0,-0.08620654567096353,-0.5733205580183536,-0.3728668246801403,-0.0006023905934927009,-3.9133919426256405,true,false,false
