family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,bootstrap_margin,turnover_headroom
C6_industry,20,42,2.5,NONE,6,0,20000000.0,0,0.09641648309827566,-0.3223349548596822,0.019950806005975718,0.17644947145079182,1339,2.0543098821867685,-0.06475099433156545,0.7346,0.00008816648686965348,0.5428058263965592,true,true,0.8379338522509802,47,325,80,0,0,0.45382127483386586,0.4402173913043479,20.0,50,true,0.034600000000000075,0.0050491939940242835
C6_industry,25,42,2.5,NONE,6,0,20000000.0,0,0.08308613846286539,-0.334769864084966,0.01776571063295149,0.1492830044151929,1609,1.8668703598158454,-0.08429879357961761,0.619,0.000036002687215903275,0.24761538279061363,true,false,0.7461598465839626,47,339,101,0,0,0.4998408925273001,0.3826086956521738,25.0,63,false,-0.08099999999999996,0.007234289367048511
C6_industry,20,42,2.0,INDUSTRY_LIQUIDITY,3,0,20000000.0,0,0.03799658572746911,-0.35207911900298383,0.025982724155276304,0.19918938296126842,1483,1.33867536234804,-0.1380429737740228,0.201,-0.00012305978563097522,-0.8976672837318548,false,false,1.091274414521605,47,393,154,0,0,0.2765968586381247,0.5945652173913043,20.0,40,false,-0.49899999999999994,-0.000982724155276303
C6_industry,25,42,2.0,INDUSTRY_LIQUIDITY,3,0,20000000.0,0,0.018371847692787657,-0.34823310791281115,0.02568229512266748,0.1817853735261577,1835,1.1530263318182619,-0.15574470626361792,0.06,-0.00020315100704519645,-1.6081281049490856,false,false,1.0786563951520343,47,457,207,0,0,0.28659825191850463,0.5773913043478263,25.0,50,false,-0.6399999999999999,-0.0006822951226674798
C6_industry,20,42,2.25,INDUSTRY_LIQUIDITY,3,0,20000000.0,0,0.03632716610250819,-0.3450602474531601,0.025214798221698302,0.19254863204507577,1467,1.3219278798890735,-0.13620295762407186,0.186,-0.00013062078333286832,-0.9590194616220276,false,false,1.0590215253113286,47,380,151,0,0,0.2922986014843137,0.5771739130434783,20.0,45,false,-0.514,-0.00021479822169830076
C6_industry,25,42,2.25,INDUSTRY_LIQUIDITY,3,0,20000000.0,0,0.015934329569851302,-0.34907033689443856,0.024454814146561737,0.17070580672684918,1802,1.1316160032199218,-0.15860083887736798,0.0518,-0.00021269878349047922,-1.6871742210498064,true,false,1.027102194155593,47,428,203,0,0,0.3122982327157881,0.5486956521739131,25.0,57,false,-0.6482,0.0005451858534382646
C6_industry,20,42,2.5,INDUSTRY_LIQUIDITY,3,0,20000000.0,0,0.027535853840704005,-0.3550513717435927,0.02384323571784128,0.17180026563151174,1436,1.236713987852112,-0.14998983203109234,0.1224,-0.0001653438155861604,-1.2350712271332265,true,false,1.0014159001493337,47,352,148,0,0,0.3224286048500694,0.5434782608695652,20.0,50,false,-0.5776,0.001156764282158721
C6_industry,25,42,2.5,INDUSTRY_LIQUIDITY,3,0,20000000.0,0,0.020614094582498632,-0.3410629550508091,0.022813616430207198,0.15706500056093028,1760,1.1730325709705711,-0.1499173829429059,0.0612,-0.00019547032477416066,-1.6248975849122171,true,false,0.9581718900687023,47,394,196,0,0,0.3430100040979051,0.5130434782608696,25.0,63,false,-0.6387999999999999,0.0021863835697928033
C6_industry,20,42,2.0,INDUSTRY_LIQUIDITY,4,0,20000000.0,0,0.04099652785278729,-0.3332737228333831,0.025460630658027717,0.1973930299203006,1470,1.3692359860701258,-0.12564033356390425,0.2364,-0.00010912553108004746,-0.7803819289484132,false,false,1.0693464876371641,47,386,148,0,0,0.2893338453927043,0.5804347826086955,20.0,40,false,-0.46359999999999996,-0.0004606306580277157
C6_industry,25,42,2.0,INDUSTRY_LIQUIDITY,4,0,20000000.0,0,0.01637518970414109,-0.340141515958318,0.024706419653681276,0.17342664037006905,1812,1.1354624808054716,-0.1536955682750179,0.0574,-0.00020902649053685098,-1.6361912560545342,true,false,1.0376696254546136,47,441,201,0,0,0.3041125888320255,0.5582608695652175,25.0,50,false,-0.6426,0.0002935803463187253
C6_industry,20,42,2.25,INDUSTRY_LIQUIDITY,4,0,20000000.0,0,0.03745130726270829,-0.3551807398993112,0.024395074594466996,0.1815065689012708,1450,1.3331849401553906,-0.1401390626869473,0.2014,-0.00012423786891247916,-0.9011840387129287,true,false,1.024593132967614,47,365,150,0,0,0.3083670474332142,0.5597826086956521,20.0,45,false,-0.49859999999999993,0.0006049254055330057
C6_industry,25,42,2.25,INDUSTRY_LIQUIDITY,4,0,20000000.0,0,0.019016584374393686,-0.3509295900926078,0.02343589581569244,0.1647157976609468,1774,1.158748218243217,-0.15644821067191023,0.0664,-0.00019807265685359008,-1.583381752857385,true,false,0.9843076242590825,47,414,189,0,0,0.3333806150894925,0.5243478260869566,25.0,57,false,-0.6335999999999999,0.0015641041843075625
C6_industry,20,42,2.5,INDUSTRY_LIQUIDITY,4,0,20000000.0,0,0.029284526645233955,-0.36109292769426315,0.023023242360573085,0.16297439554072757,1419,1.2532712585732313,-0.15126193720189762,0.133,-0.00015751159887571444,-1.1572487239862372,true,false,0.9669761791440695,47,339,145,0,0,0.339960236036019,0.5260869565217392,20.0,50,false,-0.567,0.001976757639426917
C6_industry,25,42,2.5,INDUSTRY_LIQUIDITY,4,0,20000000.0,0,0.02564744707010158,-0.3461042412464541,0.02199566089762405,0.15365132548360563,1737,1.2190482065665433,-0.14740467355312548,0.0906,-0.0001739042733070567,-1.4218934170776456,true,false,0.9238177577002101,47,386,181,0,0,0.3624727079030308,0.49304347826086947,25.0,63,false,-0.6093999999999999,0.0030043391023759497
