date,nav,cash,positions,stale_positions,turnover,cumulative_cost
2014-09-23,1.2258466432893569,-4.163336342344337e-17,23,1,0.0,0.06020229492910419
2014-09-24,1.2192146450380217,-4.163336342344337e-17,23,1,0.0,0.06020229492910419
2014-09-25,1.2265378033144687,-4.163336342344337e-17,23,1,0.0,0.06020229492910419
2014-09-26,1.1952354977176307,-4.163336342344337e-17,23,1,0.0,0.06020229492910419
2014-09-29,1.2023721694207776,-4.163336342344337e-17,23,1,0.0,0.06020229492910419
2014-09-30,1.1949475025244718,-4.163336342344337e-17,23,1,0.0,0.06020229492910419
2014-10-01,1.1905505123119844,-5.273559366969494e-16,23,1,1.7391667506750468,0.06734726050000513
2014-10-02,1.1998280966323842,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-03,1.211407959887602,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-06,1.2205957358376005,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-07,1.2033185828611421,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-08,1.190860057087659,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-09,1.1883081627858296,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-13,1.128672208911878,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-14,1.1078329537705633,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-15,1.1296723596330511,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-16,1.0966228957962343,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-17,1.1136383340028604,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-20,1.1081170768830837,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-21,1.1026541331093875,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-22,1.122590543161149,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-23,1.104404741761131,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-24,1.105214126682539,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-27,1.1027802982089638,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-28,1.0827987085447008,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-29,1.1036480297822955,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-30,1.1202983963982132,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-10-31,1.135735669140188,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-03,1.1431829588530389,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-04,1.1473281636937176,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-05,1.1454095459605254,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-06,1.1420975776432187,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-07,1.120745418022661,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-10,1.1349537576101254,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-11,1.140564043382811,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-12,1.1348476452897103,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-13,1.1334944832976166,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-14,1.1485179130168155,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-17,1.1527708417030564,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-18,1.1381110454496441,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-19,1.1231417904668608,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-20,1.1321708491856666,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-21,1.1524387144475463,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-24,1.1629472932942586,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-25,1.1581343326065838,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-26,1.1612550673298625,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-27,1.159570112858895,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-11-28,1.160348502283393,-5.273559366969494e-16,23,1,0.0,0.06734726050000513
2014-12-01,1.1210030860804157,0.28227784819439966,23,1,1.0825899691905547,0.07195118836833782
2014-12-02,1.1443970737120264,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-03,1.1546050203800595,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-04,1.1726608692711624,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-05,1.1704429247361086,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-08,1.1902535410451582,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-09,1.1809593469816928,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-10,1.1706608907690934,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-11,1.1644841178998127,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-12,1.1799294195630483,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-15,1.1745404873742527,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-16,1.1787357325620385,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-17,1.1744436625826036,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-18,1.1754505833929292,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-19,1.1799101948619446,0.28227784819439966,23,1,0.0,0.07195118836833782
2014-12-22,1.16105607964169,0.28227784819439966,23,2,0.0,0.07195118836833782
2014-12-23,1.1782518358219232,0.28227784819439966,23,2,0.0,0.07195118836833782
