dd_cut,vol_cut,breadth_cut,crisis_scale,rank_buffer,score_gap,min_hold,train_score,train_ret,train_mdd,train_sharpe,train_turnover,crisis_2008_09_mdd
-0.25,0.35,0.25,0.5,1,0.1,21,-0.31178152969035283,0.13692379886791572,-0.43873407229635286,0.199998076606054,59.94212784504213,-0.43873407229635286
-0.18,0.3,0.3,0.5,0,0.1,42,-0.312049162551127,0.11994710914041118,-0.41594367956030665,0.18905205965262606,69.91559619298823,-0.41594367956030665
-0.18,0.3,0.3,0.5,0,0.05,42,-0.3220106226153232,0.11040627855625829,-0.41594367956030665,0.18377519935254957,69.70148309305952,-0.41594367956030665
-0.25,0.35,0.25,0.5,0,0.0,0,-0.33517321853662274,0.10277279245431958,-0.42170719606598694,0.18199279693820544,68.87618923755181,-0.42170719606598694
-0.25,0.35,0.25,0.5,0,0.0,21,-0.33517321853662274,0.10277279245431958,-0.42170719606598694,0.18199279693820544,68.87618923755181,-0.42170719606598694
-0.18,0.3,0.3,0.5,1,0.0,21,-0.33608525612292034,0.11316975772964866,-0.43588950002499127,0.18495056217584102,63.72114009032363,-0.43588950002499127
-0.18,0.3,0.3,0.5,1,0.0,0,-0.33608525612292034,0.11316975772964866,-0.43588950002499127,0.18495056217584102,63.72114009032363,-0.43588950002499127
-0.25,0.35,0.25,0.5,1,0.1,42,-0.3590118165618209,0.12180521110992992,-0.4678373419039922,0.1915554013419166,64.27045180390061,-0.4678373419039922
-0.18,0.3,0.3,0.5,1,0.05,42,-0.36047077839191777,0.08621632896240139,-0.43074393383981624,0.16969632405364893,65.82561183973561,-0.43074393383981624
-0.18,0.3,0.3,0.5,1,0.0,42,-0.3663156077496685,0.0873459798617533,-0.4378294274645541,0.17046613224854776,65.75754674344489,-0.4378294274645541
-0.18,0.3,0.3,0.5,1,0.1,0,-0.3726987215078451,0.05917969713867066,-0.4158272138240243,0.1540279980886406,62.90800926271095,-0.4158272138240243
-0.18,0.3,0.3,0.5,1,0.1,21,-0.3726987215078451,0.05917969713867066,-0.4158272138240243,0.1540279980886406,62.90800926271095,-0.4158272138240243
-0.18,0.3,0.3,0.5,0,0.0,0,-0.38472373657135794,0.037429664251291905,-0.4006307769762074,0.14159137660631393,71.36352301414757,-0.4006307769762074
-0.18,0.3,0.3,0.5,0,0.0,21,-0.38472373657135794,0.037429664251291905,-0.4006307769762074,0.14159137660631393,71.36352301414757,-0.4006307769762074
