medium_exposure,severe_exposure,recovery_ramp,rank_buffer,score_gap,min_hold,no_trade_band,train_score,train_ret,train_mdd,train_sharpe,train_turnover,crisis_2008_09_ret,crisis_2008_09_mdd
0.8,0.4,20,0,0.0,21,0.05,-0.32613853500890283,0.053247269251345486,-0.3601148961045888,0.14837682351627893,68.21718101457483,0.24375407604425758,-0.3601148961045888
0.7,0.4,10,0,0.0,21,0.05,-0.32826210632571035,0.05499825672406344,-0.3628549387464617,0.15082585532557669,70.9760196717396,0.2502936888156899,-0.3628549387464617
0.7,0.4,10,0,0.0,21,0.1,-0.32826210632571035,0.05499825672406344,-0.3628549387464617,0.15082585532557669,70.9760196717396,0.2502936888156899,-0.3628549387464617
0.7,0.4,10,1,0.05,21,0.05,-0.32923541355570074,0.08165809475455221,-0.3961733288445439,0.16579820442963994,62.59999981734612,0.2568434658098857,-0.3961733288445439
0.7,0.4,10,1,0.05,21,0.1,-0.32923541355570074,0.08165809475455221,-0.3961733288445439,0.16579820442963994,62.59999981734612,0.2568434658098857,-0.3961733288445439
0.8,0.5,10,1,0.0,21,0.05,-0.3560009595404236,0.11062175209027636,-0.45353356982018034,0.18477891351899897,63.134066324839125,0.20466770730071926,-0.45353356982018034
0.8,0.5,10,1,0.0,21,0.1,-0.3560009595404236,0.11062175209027636,-0.45353356982018034,0.18477891351899897,63.134066324839125,0.20466770730071926,-0.45353356982018034
0.8,0.5,10,1,0.05,42,0.05,-0.3696212022950481,0.09285661261636546,-0.4474028800103912,0.17484955636014607,65.11978107407387,0.18678940290343915,-0.4474028800103912
0.8,0.5,10,1,0.05,42,0.1,-0.3696212022950481,0.09285661261636546,-0.4474028800103912,0.17484955636014607,65.11978107407387,0.18678940290343915,-0.4474028800103912
0.8,0.5,10,1,0.0,42,0.1,-0.37391973574548093,0.09527519305887111,-0.454283816416753,0.17625116760934556,65.07245829706729,0.18621665971437995,-0.454283816416753
0.8,0.5,10,1,0.0,42,0.05,-0.37550563325965414,0.09383604417979896,-0.454283816416753,0.1754752990113507,65.21078184767032,0.18621665971437995,-0.454283816416753
0.8,0.5,10,0,0.0,21,0.05,-0.38887103219518504,0.03303765198613551,-0.40062662477821065,0.1412112241929255,70.80636364480483,0.2261734171720704,-0.40062662477821065
0.8,0.5,10,0,0.0,21,0.1,-0.38887103219518504,0.03303765198613551,-0.40062662477821065,0.1412112241929255,70.80636364480483,0.2261734171720704,-0.40062662477821065
0.8,0.5,10,1,0.05,21,0.05,-0.39082674469047485,0.053315096718575594,-0.4283180553101392,0.1519804910551931,62.04367040886103,0.22345711052123174,-0.4283180553101392
0.8,0.5,10,1,0.05,21,0.1,-0.39082674469047485,0.053315096718575594,-0.4283180553101392,0.1519804910551931,62.04367040886103,0.22345711052123174,-0.4283180553101392
0.8,0.4,20,0,0.05,21,0.05,-0.39918500087200803,-0.019652031870445286,-0.35741717728310185,0.10187099281974454,64.60578200087076,0.23654164712224968,-0.35741717728310185
0.8,0.4,20,0,0.05,21,0.1,-0.39918500087200803,-0.019652031870445286,-0.35741717728310185,0.10187099281974454,64.60578200087076,0.23654164712224968,-0.35741717728310185
0.7,0.4,10,0,0.05,21,0.1,-0.4026221020392272,-0.019756418890610417,-0.35956297608044707,0.10394992793925063,67.3953997241896,0.24238745763360647,-0.35956297608044707
0.7,0.4,10,0,0.05,21,0.05,-0.4026221020392272,-0.019756418890610417,-0.35956297608044707,0.10394992793925063,67.3953997241896,0.24238745763360647,-0.35956297608044707
0.8,0.5,10,0,0.05,21,0.1,-0.4596627913199939,-0.03823788578976228,-0.39755963209933654,0.09717734702433213,67.1660162666565,0.2184824210556069,-0.39755963209933654
0.8,0.5,10,0,0.05,21,0.05,-0.4596627913199939,-0.03823788578976228,-0.39755963209933654,0.09717734702433213,67.1660162666565,0.2184824210556069,-0.39755963209933654
