book,scope,alpha,sleeves,window,mdd_improve_pp,cagr_giveback_pp,score,book_cagr,base_cagr,book_mdd,base_mdd
FIN_0050_A05,FIN_0050,0.05,"['Financial', '0050']",full,0.6596669796109955,0.37815557596638794,0.47058919162780155,0.13411240096972143,0.13789395672938531,-0.21883677458214512,-0.22543344437825508
FIN_0050_A25,FIN_0050,0.25,"['Financial', '0050']",heldout_2019_plus,0.44046262126553604,2.5522225991670977,-0.8356486783180128,0.15651299630305604,0.18203522229472702,-0.22102881816559983,-0.2254334443782552
FIN_0050_A25,FIN_0050,0.25,"['Financial', '0050']",sealed_2023_plus,4.767562174923379,3.9518026641472304,2.7916608428497636,0.2093741994597469,0.2488922261012192,-0.09319585950086784,-0.14087148125010163
FIN_0050_A25,FIN_0050,0.25,"['Financial', '0050']",full,0.44046262126552493,1.245146429540478,-0.18211059350471404,0.12544249243398053,0.13789395672938531,-0.22102881816559983,-0.22543344437825508
HIGH_BETA_A05,HIGH_BETA,0.05,"['0050', 'Financial']",heldout_2019_plus,0.6596669796110177,0.8521528111249177,0.23359057404855887,0.17351369418347784,0.18203522229472702,-0.218836774582145,-0.2254334443782552
HIGH_BETA_A05,HIGH_BETA,0.05,"['0050', 'Financial']",sealed_2023_plus,2.581359990388288,1.2725197539510846,1.9451001134127455,0.23616702856170835,0.2488922261012192,-0.11505788134621875,-0.14087148125010163
HIGH_BETA_A05,HIGH_BETA,0.05,"['0050', 'Financial']",full,0.6596669796109955,0.37815557596638794,0.47058919162780155,0.13411240096972143,0.13789395672938531,-0.21883677458214512,-0.22543344437825508
HIGH_BETA_A25,HIGH_BETA,0.25,"['0050', 'Financial']",heldout_2019_plus,0.44046262126553604,2.5522225991670977,-0.8356486783180128,0.15651299630305604,0.18203522229472702,-0.22102881816559983,-0.2254334443782552
HIGH_BETA_A25,HIGH_BETA,0.25,"['0050', 'Financial']",sealed_2023_plus,4.767562174923379,3.9518026641472304,2.7916608428497636,0.2093741994597469,0.2488922261012192,-0.09319585950086784,-0.14087148125010163
HIGH_BETA_A25,HIGH_BETA,0.25,"['0050', 'Financial']",full,0.44046262126552493,1.245146429540478,-0.18211059350471404,0.12544249243398053,0.13789395672938531,-0.22102881816559983,-0.22543344437825508
