date,nav_base,nav_m2_reloc_bil_fx_c35,rel_chal_vs_base
2023-12-14,8388460.009200628,7589992.963009506,0.9048136314275389
2023-12-15,8340720.959200628,7545248.000952678,0.9046277939114524
2023-12-18,8348740.209200628,7565656.149077364,0.9062033264299834
2023-12-19,8317899.996645628,7527528.214836211,0.9049794080082532
2023-12-20,8236981.746645628,7454543.021419231,0.9050090495168291
2023-12-21,8195269.620038878,7427436.341674443,0.9063077465460139
2023-12-22,8206666.720038878,7436521.878493202,0.90615619376072
2023-12-25,8245341.570038877,7459439.229396201,0.9046852899947272
2023-12-26,8309699.470038878,7525814.346767411,0.905666248689521
2023-12-27,8342686.520038879,7550191.252152661,0.9050071861165263
2023-12-28,8387909.370038878,7588427.965401972,0.9046864517286504
2023-12-29,8375372.370038878,7575414.915401972,0.9044869386943816
2024-01-02,8380047.670038878,7578624.97940101,0.9043653780749734
2024-01-03,8257537.720038878,7476224.165116528,0.9053817758499235
2024-01-04,8255135.370038878,7470027.912400526,0.9048946598152933
2024-01-05,8276420.320038879,7484464.998233615,0.9043118532914791
2024-01-08,8342559.370038878,7534567.753514952,0.9031482329720405
2024-01-09,8287697.070038877,7478006.759020607,0.9023021348179571
2024-01-10,8278235.520038878,7472291.813787825,0.9026430566876084
2024-01-11,8309520.120038878,7510675.506671288,0.903863929345194
2024-01-12,8276528.314175753,7482107.90641433,0.9040152612779966
2024-01-15,8243174.055252504,7453100.284934896,0.9041541807777094
2024-01-16,8125822.055252503,7342959.356276773,0.9036574153787075
2024-01-17,7969179.805252504,7227423.7260883795,0.9069219044756361
2024-01-18,8009232.705252504,7250660.155639117,0.9052877375986452
2024-01-19,8070709.1052525025,7305170.9730544025,0.9051461126631513
2024-01-22,8096714.305252504,7322923.359839863,0.9044314871143883
2024-01-23,8110990.305252504,7345153.343577871,0.9055803381766228
2024-01-24,8124657.055252504,7358823.577282117,0.9057395933437851
2024-01-25,8133917.205252503,7369495.572388053,0.9060204802219006
2024-01-26,8208410.605252503,7424606.909638711,0.9045121238072275
2024-01-29,8238478.455252503,7453683.282492849,0.904740277343409
2024-01-30,8159089.405252503,7388285.649215337,0.9055282130453243
2024-01-31,8152015.405252503,7394288.942315449,0.9070504132697251
2024-02-01,8223018.305252504,7456718.250817042,0.9068103674357647
2024-02-02,8242251.255252503,7473430.943942442,0.90672204868541
2024-02-05,8209685.855252503,7453631.9631397,0.9079070861610271
2024-02-15,8260350.705252503,7500254.167011244,0.9079825342333302
2024-02-16,8264874.055252504,7498655.980126764,0.9072922261121702
2024-02-19,8318647.955252503,7535156.906371673,0.9058150972254904
2024-02-20,8325404.305252504,7536230.32286606,0.9052089299869133
2024-02-21,8299806.105252504,7520539.227171631,0.9061102309862736
2024-02-22,8296324.405252503,7510027.596580254,0.9052234736416002
2024-02-23,8301366.405252503,7525371.628291603,0.9065220423869127
2024-02-26,8264226.060247128,7493720.333778187,0.9067661362537921
2024-02-27,8307322.060247129,7536659.042653585,0.9072308727163254
2024-02-29,8358590.510247128,7570930.465812209,0.905766403621604
2024-03-01,8320239.360247129,7538043.810206326,0.90598881640617
2024-03-04,8343654.9102471275,7549820.633411895,0.9048577289719524
2024-03-05,8349882.110247128,7548164.264111137,0.9039845310927075
2024-03-06,8395901.410247128,7581833.216622473,0.9030398102780135
2024-03-07,8422068.410247128,7611706.309382563,0.9037811068028612
2024-03-08,8493461.661927627,7659932.529182704,0.9018622599450516
2024-03-11,8484818.061927628,7653764.669779949,0.9020540704488748
2024-03-12,8513541.861927629,7677372.295236138,0.9017835842881301
2024-03-13,8557708.111927629,7706887.959578712,0.9005785028864148
2024-03-14,8723640.611927629,7856314.494103885,0.9005775046902014
2024-03-15,8754088.461927628,7888579.491616803,0.9011308859768774
2024-03-18,8742436.069323752,7888780.302708705,0.9023549317551853
2024-03-19,8689468.583348129,7852003.529900414,0.9036229839126673
2024-03-20,8628207.983348127,7792934.552128161,0.9031927101395807
2024-03-21,8777788.183348129,7927676.610629284,0.9031519609539512
2024-03-22,8745799.183348127,7915436.701319123,0.9050558485712773
2024-03-25,8736270.683348127,7907205.382063008,0.9051007768262757
2024-03-26,8801740.783348128,7953506.224436829,0.9036287730131679
2024-03-27,8799538.233348127,7953459.7647993695,0.9038496741405901
2024-03-28,8750742.283348128,7914443.3173671,0.9044310826554189
2024-03-29,8828287.333348127,7982056.46479937,0.9041455226143139
2024-04-01,8843638.183348127,7993439.290213746,0.9038632205990473
2024-04-02,8842860.133348128,8007207.193722487,0.9054996995288626
2024-04-03,8723998.733348127,7907123.6485367315,0.9063646030015077
2024-04-08,8805767.833348127,7981449.198017752,0.9063887839276643
2024-04-09,8865488.783348126,8029042.451383477,0.9056514138807856
2024-04-10,8861340.983348127,8019135.402302746,0.9049573216256975
2024-04-11,8855265.083348127,8028437.632728331,0.906628718300641
2024-04-12,8793708.033348128,7974505.874972995,0.9068422381925241
2024-04-15,8764678.783348126,7951265.138268425,0.907194129392957
2024-04-16,8574019.533348128,7784026.522497763,0.9078620001065153
2024-04-17,8585301.483348127,7800228.424632113,0.908556145612507
2024-04-18,8651282.833348127,7858325.683039468,0.9083422463947145
2024-04-19,8469059.433348127,7694060.373642359,0.9084905394979166
2024-04-22,8637857.883348128,7836787.229768175,0.9072604962482377
2024-04-23,8710360.533348128,7889616.593244917,0.9057738268168183
2024-04-24,8686297.733348127,7880816.274307086,0.9072698767912749
