signal_date,execution_date,code,side,gross_value,cost,period
2019-02-22,2019-02-25,1326,SELL,0.0005160769203325227,2.541678832637675e-6,VALIDATION_2019_2022
2019-02-22,2019-02-25,5880,SELL,0.05308264150150594,0.0002614320093949168,VALIDATION_2019_2022
2019-02-22,2019-02-25,1101,SELL,0.001500558620241614,7.3902512046899505e-6,VALIDATION_2019_2022
2019-02-22,2019-02-25,2301,SELL,0.052351313206511416,0.00025783021754206874,VALIDATION_2019_2022
2019-02-22,2019-02-25,1102,SELL,0.00002465517105012388,1.2142671742186013e-7,VALIDATION_2019_2022
2019-02-22,2019-02-25,2324,SELL,0.05245080072187974,0.00025832019355525774,VALIDATION_2019_2022
2019-02-22,2019-02-25,2330,SELL,0.0008371420054744325,4.12292437696158e-6,VALIDATION_2019_2022
2019-02-22,2019-02-25,2892,BUY,0.00022272206483685102,4.287399748109382e-7,VALIDATION_2019_2022
2019-02-22,2019-02-25,3045,BUY,9.173549526974377e-6,1.7659082839425677e-8,VALIDATION_2019_2022
2019-02-22,2019-02-25,2002,BUY,0.00041967867317369,8.078814458593533e-7,VALIDATION_2019_2022
2019-02-22,2019-02-25,2884,BUY,0.0003677957844767253,7.080068851176962e-7,VALIDATION_2019_2022
2019-02-22,2019-02-25,2317,BUY,0.0526071013421554,0.00010126867008364914,VALIDATION_2019_2022
2019-02-22,2019-02-25,1402,BUY,0.0526071013421554,0.00010126867008364914,VALIDATION_2019_2022
2019-02-22,2019-02-25,2382,BUY,0.0008180800040955835,1.5748040078839983e-6,VALIDATION_2019_2022
2019-02-22,2019-02-25,1216,BUY,0.0526071013421554,0.00010126867008364914,VALIDATION_2019_2022
2019-02-22,2019-02-25,2308,BUY,0.0008927022608454571,1.718451852127505e-6,VALIDATION_2019_2022
2019-02-22,2019-02-25,2454,BUY,0.0526071013421554,0.00010126867008364914,VALIDATION_2019_2022
2019-03-05,2019-03-06,3045,SELL,0.00023220766062492099,1.143622728577736e-6,VALIDATION_2019_2022
