fill_id,signal_date,fill_date,code,sleeve,side,quantity,fill_price,fill_price_adj,ohlc_basis,t1_drag_vs_signal_ext_pct,dh_exposure,cool_exposure_cf,defense_dh,defense_cool_cf,e16_financial,e16_telecom,e16_0050,mechanisms,extremes
2026-08-25-4904-BUY,2026-08-25,2026-08-26,4904,TEL,BUY,100000,102.55125,102.55125,adj_close_scaled,1.0357,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 2.7568, 'low': 99.8, 'high': 102.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.5375, 'low': 98.1, 'high': 108.5, 'n_bars': 43}}"
2026-08-25-5880-BUY,2026-08-25,2026-08-26,5880,FIN,BUY,657000,25.0125,25.0125,adj_close_scaled,0.2505,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.6768, 'low': 24.6, 'high': 26.3, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.8742, 'low': 23.85, 'high': 27.6, 'n_bars': 43}}"
2026-08-26-0050-BUY,2026-08-26,2026-08-27,0050,0050,BUY,36000,106.55325,106.55325,adj_close_scaled,2.95,,1.0,False,False,0.7102101090133827,0.2530927304298557,0.0366971605567614,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.0559, 'low': 102.4, 'high': 108.7, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 16.0711, 'low': 91.8, 'high': 113.75, 'n_bars': 42}}"
2026-08-26-2412-BUY,2026-08-26,2026-08-27,2412,TEL,BUY,53000,136.56825,136.56825,adj_close_scaled,0.7884,,1.0,False,False,0.7102101090133827,0.2530927304298557,0.0366971605567614,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.1617, 'low': 135.0, 'high': 138.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.1617, 'low': 135.0, 'high': 146.0, 'n_bars': 42}}"
2026-08-26-2880-BUY,2026-08-26,2026-08-27,2880,FIN,BUY,469000,39.8199,39.8199,adj_close_scaled,1.452,,1.0,False,False,0.7102101090133827,0.2530927304298557,0.0366971605567614,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.1604, 'low': 38.6, 'high': 43.75, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.7892, 'low': 38.0, 'high': 48.3, 'n_bars': 42}}"
2026-08-26-2886-BUY,2026-08-26,2026-08-27,2886,FIN,BUY,398000,46.6233,46.6233,adj_close_scaled,0.5896,,1.0,False,False,0.7102101090133827,0.2530927304298557,0.0366971605567614,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.1351, 'low': 46.1, 'high': 50.8, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.7226, 'low': 44.95, 'high': 52.9, 'n_bars': 42}}"
2026-08-26-2892-BUY,2026-08-26,2026-08-27,2892,FIN,BUY,556000,33.516749999999995,33.51675,adj_close_scaled,0.8023,,1.0,False,False,0.7102101090133827,0.2530927304298557,0.0366971605567614,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 0.9541, 'low': 33.2, 'high': 37.1, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.2874, 'low': 32.45, 'high': 40.95, 'n_bars': 42}}"
2026-08-26-3045-BUY,2026-08-26,2026-08-27,3045,TEL,BUY,62000,116.058,116.058,adj_close_scaled,1.3607,,1.0,False,False,0.7102101090133827,0.2530927304298557,0.0366971605567614,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 2.7062, 'low': 113.0, 'high': 118.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 7.9609, 'low': 107.5, 'high': 125.5, 'n_bars': 42}}"
2026-08-26-4904-BUY,2026-08-26,2026-08-27,4904,TEL,BUY,71000,101.0505,101.0505,adj_close_scaled,0.5478,,1.0,False,False,0.7102101090133827,0.2530927304298557,0.0366971605567614,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.253, 'low': 99.8, 'high': 103.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.0076, 'low': 98.1, 'high': 108.5, 'n_bars': 42}}"
2026-08-26-5880-BUY,2026-08-26,2026-08-27,5880,FIN,BUY,743000,25.0125,25.0125,adj_close_scaled,0.6539,,1.0,False,False,0.7102101090133827,0.2530927304298557,0.0366971605567614,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.4706, 'low': 24.65, 'high': 26.85, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.8742, 'low': 23.85, 'high': 27.6, 'n_bars': 42}}"
