book,family,max_cut,alpha,window,cagr,max_drawdown,vol,utility,n_days,mean_e45_exposure,frac_days_lt_1,exact_t1,live_wire
BLEND_E45_A25,REF_BLEND,0.5,0.25,sealed_2023_plus,0.20570634699499202,-0.09333047125898775,0.1399614900754266,0.15904111136549814,879,0.9766993235978588,0.9833472106577852,True,False
BLEND_E45_A25,REF_BLEND,0.5,0.25,heldout_2019_plus,0.1548439985792287,-0.22091438224309323,0.1336863173383517,0.04438680745768209,1856,0.9766993235978588,0.9833472106577852,True,False
MILD_MC25_FULL,MILD,0.25,1.0,full,0.11443234637001365,-0.2165561635184866,0.11207421582943956,0.006154264610770344,3351,0.9388747325668539,0.9833472106577852,True,False
MILD_MC25_FULL,MILD,0.25,1.0,oof_2011_2018,0.09156284645541346,-0.16121985224307311,0.09709991496411055,0.010952920333876903,1495,0.9388747325668539,0.9833472106577852,True,False
MILD_MC25_FULL,MILD,0.25,1.0,validation_2019_2022,0.10792879552937196,-0.21655616351848672,0.1207378745729515,-0.0003492862298714039,977,0.9388747325668539,0.9833472106577852,True,False
MILD_MC25_FULL,MILD,0.25,1.0,sealed_2023_plus,0.1669901384443342,-0.09334650115540255,0.12495574040391377,0.12031688786663292,879,0.9388747325668539,0.9833472106577852,True,False
MILD_MC25_FULL,MILD,0.25,1.0,heldout_2019_plus,0.1357940621646052,-0.21655616351848672,0.12269990243515808,0.02751598040536185,1856,0.9388747325668539,0.9833472106577852,True,False
MILD_MC35_FULL,MILD,0.35,1.0,full,0.11180079632939277,-0.21299173202001975,0.11014678635239826,0.0053049303193828945,3351,0.9249630602758537,0.9833472106577852,True,False
MILD_MC35_FULL,MILD,0.35,1.0,oof_2011_2018,0.09071772946952872,-0.16013890249439977,0.09609761573471302,0.010648278222328833,1495,0.9249630602758537,0.9833472106577852,True,False
MILD_MC35_FULL,MILD,0.35,1.0,validation_2019_2022,0.10634678804934139,-0.21299173202001975,0.11842939160209084,-0.00014907796066848666,977,0.9249630602758537,0.9833472106577852,True,False
MILD_MC35_FULL,MILD,0.35,1.0,sealed_2023_plus,0.15987617204219262,-0.09502053672182131,0.12217494869533985,0.11236590368128196,879,0.9249630602758537,0.9833472106577852,True,False
MILD_MC35_FULL,MILD,0.35,1.0,heldout_2019_plus,0.13161787813168213,-0.21299173202001975,0.12016343277000247,0.025122012121672255,1856,0.9249630602758537,0.9833472106577852,True,False
MILD_MC40_FULL,MILD,0.4,1.0,full,0.11062780150877205,-0.21141499106279826,0.1094128402174956,0.0049203059773729185,3351,0.9189333921715008,0.9833472106577852,True,False
MILD_MC40_FULL,MILD,0.4,1.0,oof_2011_2018,0.0904295868559104,-0.1591025541210127,0.09557858377355224,0.01087830979540405,1495,0.9189333921715008,0.9833472106577852,True,False
MILD_MC40_FULL,MILD,0.4,1.0,validation_2019_2022,0.10446331660912112,-0.21141499106279815,0.11739480636165774,-0.001244178922277961,977,0.9189333921715008,0.9833472106577852,True,False
MILD_MC40_FULL,MILD,0.4,1.0,sealed_2023_plus,0.1579000368875152,-0.09535969805240241,0.1214657757982452,0.11022018786131399,879,0.9189333921715008,0.9833472106577852,True,False
MILD_MC40_FULL,MILD,0.4,1.0,heldout_2019_plus,0.12967922950253774,-0.21141499106279815,0.11928614907490198,0.023971733971138665,1856,0.9189333921715008,0.9833472106577852,True,False
MILD_MC25_A50,MILD_BLEND,0.25,0.5,full,0.12251899498848329,-0.21979760463073905,0.1184821595724264,0.012620192673113761,3351,0.9694373662834269,0.9833472106577852,True,False
MILD_MC25_A50,MILD_BLEND,0.25,0.5,oof_2011_2018,0.0918247557548082,-0.16649486281926673,0.10008353544309645,0.00857732434517483,1495,0.9694373662834269,0.9833472106577852,True,False
MILD_MC25_A50,MILD_BLEND,0.25,0.5,validation_2019_2022,0.1085741742620292,-0.21979760463073905,0.12644258702246286,-0.0013246280533403265,977,0.9694373662834269,0.9833472106577852,True,False
MILD_MC25_A50,MILD_BLEND,0.25,0.5,sealed_2023_plus,0.19819141787610195,-0.09252238087703746,0.13659344501878848,0.15193022743758322,879,0.9694373662834269,0.9833472106577852,True,False
MILD_MC25_A50,MILD_BLEND,0.25,0.5,heldout_2019_plus,0.15070916176292615,-0.21979760463073905,0.13130660637955,0.04081035944755662,1856,0.9694373662834269,0.9833472106577852,True,False
MILD_MC35_A50,MILD_BLEND,0.35,0.5,full,0.12089909702636437,-0.218683002096145,0.11655250564496977,0.011557595978291868,3351,0.9624815301379268,0.9833472106577852,True,False
MILD_MC35_A50,MILD_BLEND,0.35,0.5,oof_2011_2018,0.092171349692308,-0.1637683709579636,0.09892839844177145,0.010287164213326205,1495,0.9624815301379268,0.9833472106577852,True,False
MILD_MC35_A50,MILD_BLEND,0.35,0.5,validation_2019_2022,0.10936599884200682,-0.218683002096145,0.12475127009737032,2.449779393431939e-05,977,0.9624815301379268,0.9833472106577852,True,False
MILD_MC35_A50,MILD_BLEND,0.35,0.5,sealed_2023_plus,0.18997793856796497,-0.09250634058876617,0.1334284293855745,0.14372476827358188,879,0.9624815301379268,0.9833472106577852,True,False
MILD_MC35_A50,MILD_BLEND,0.35,0.5,heldout_2019_plus,0.14728818751103612,-0.218683002096145,0.12888738097298394,0.03794668646296362,1856,0.9624815301379268,0.9833472106577852,True,False
