date,nav_core,nav_alpha,nav_combined,exposure_e45,core_w,alpha_w,cash_w,ret_combined
2025-02-17,4508032.3588365,840201.7537543754,5348234.112590876,0.9307032250145324,0.8,0.1861406450029064,0.0138593549970934,0.0051421285994508
2025-02-18,4523003.710713669,846077.8681634136,5369081.578877082,0.9307032250145324,0.8,0.1861406450029064,0.0138593549970934,0.0040555702124448
2025-02-19,4520180.9809842575,840572.6513270987,5360753.632311356,0.9341680637638056,0.8,0.1868336127527611,0.0131663872472388,-0.0018006163222524
2025-02-20,4516872.448285073,841349.2445111761,5358221.692796249,0.9341680637638056,0.8,0.1868336127527611,0.0131663872472388,-0.0004007803916194
2025-02-21,4523100.886130844,835262.4556800858,5358363.3418109305,0.9341680637638056,0.8,0.1868336127527611,0.0131663872472388,-0.0003437696606128
2025-02-24,4486886.604415811,830979.8802355082,5317866.484651319,0.9341680637638056,0.8,0.1868336127527611,0.0131663872472388,-0.0074306574293139
2025-02-25,4471813.800302209,828569.0341108162,5300382.8344130255,0.9341680637638056,0.8,0.1868336127527611,0.0131663872472388,-0.0032676828157261
2025-02-26,4518187.496929781,826347.971927262,5344535.4688570425,0.9374596605756154,0.8,0.187491932115123,0.0125080678848768,0.0077600566579802
2025-02-27,4512630.494236886,834296.557844082,5346927.052080967,0.9374596605756154,0.8,0.187491932115123,0.0125080678848768,0.0009398517801057
2025-03-03,4531898.142206202,811843.6275340928,5343741.769740295,0.9374596605756154,0.8,0.187491932115123,0.0125080678848768,-0.0019667094987907
2025-03-04,4473328.056036662,805088.7773543089,5278416.833390972,0.9374596605756154,0.8,0.187491932115123,0.0125080678848768,-0.0120032474636219
2025-03-05,4474608.2333982345,815661.1891964206,5290269.422594655,0.9374596605756154,0.8,0.187491932115123,0.0125080678848768,0.0028553405871038
2025-03-06,4482203.688231085,822472.338539396,5304676.026770482,0.9405866775468346,0.8,0.1881173355093669,0.011882664490633,0.003028058344807
2025-03-07,4467044.700759736,821656.9610944857,5288701.6618542215,0.9405866775468346,0.8,0.1881173355093669,0.011882664490633,-0.0029039059027207
2025-03-10,4465429.435573346,818464.4999453283,5283893.935518675,0.9405866775468346,0.8,0.1881173355093669,0.011882664490633,-0.0010663555744296
2025-03-11,4424367.518803055,797629.1759892704,5221996.694792326,0.9405866775468346,0.8,0.1881173355093669,0.011882664490633,-0.0124477309585881
2025-03-12,4462622.933151884,804261.8865490436,5266884.819700928,0.9405866775468346,0.8,0.1881173355093669,0.011882664490633,0.0085803281114492
2025-03-13,4459935.318426514,812566.5532848228,5272501.871711337,0.9435573436694928,0.8,0.1887114687338985,0.0112885312661013,0.0015833647998299
2025-03-14,4494249.782877386,797434.2419802288,5291684.024857614,0.9435573436694928,0.8,0.1887114687338985,0.0112885312661013,0.0024305786109929
2025-03-17,4482317.938121549,793859.5184828019,5276177.45660435,0.9435573436694928,0.8,0.1887114687338985,0.0112885312661013,-0.0030204871671416
2025-03-18,4510268.725172412,797871.5169984344,5308140.242170846,0.9435573436694928,0.8,0.1887114687338985,0.0112885312661013,0.0059993886746306
2025-03-19,4519735.411400556,803332.7815007356,5323068.192901291,0.9435573436694928,0.8,0.1887114687338985,0.0112885312661013,0.0030480931389726
2025-03-20,4535379.776295979,802585.1737810865,5337964.950077065,0.9463794764860182,0.8,0.1892758952972036,0.0107241047027963,0.0025829497039434
2025-03-21,4537530.909803513,804593.8849445877,5342124.794748101,0.9463794764860182,0.8,0.1892758952972036,0.0107241047027963,0.0008800007547847
2025-03-24,4530894.070715008,806041.2928203288,5336935.363535337,0.9463794764860182,0.8,0.1892758952972036,0.0107241047027963,-0.0008103374887093
2025-03-25,4536035.7124361405,804650.4190715837,5340686.1315077245,0.9463794764860182,0.8,0.1892758952972036,0.0107241047027963,0.0005627247395339
2025-03-26,4542597.768960507,806053.6543310042,5348651.423291511,0.9463794764860182,0.8,0.1892758952972036,0.0107241047027963,0.0015061014219067
2025-03-27,4561939.700432975,799149.8118938078,5361089.512326783,0.9490605026617172,0.8,0.1898121005323434,0.0101878994676564,0.0016933225452081
2025-03-28,4539060.406154212,794913.2647672469,5333973.670921459,0.9490605026617172,0.8,0.1898121005323434,0.0101878994676564,-0.0050724681548411
2025-03-31,4490126.480701231,773945.4586296035,5264071.939330835,0.9490605026617172,0.8,0.1898121005323434,0.0101878994676564,-0.0138999984044555
2025-04-01,4499680.01618238,769384.0609057758,5269064.077088156,0.9490605026617172,0.8,0.1898121005323434,0.0101878994676564,0.0005234021968985
2025-04-02,4514989.73154341,774027.854478267,5289017.586021677,0.9490605026617172,0.8,0.1898121005323434,0.0101878994676564,0.0039290664941445
2025-04-07,4141121.479666656,729807.9249412676,4870929.404607924,0.6102857968479668,0.8,0.1220571593695933,0.0779428406304065,-0.0776707293446012
