date,nav_core
2019-11-19,2897961.150818565
2019-11-20,2896512.5365203563
2019-11-21,2870012.132041769
2019-11-22,2876387.1754163606
2019-11-25,2887314.7917860663
2019-11-26,2875882.534956987
2019-11-27,2900182.8114332496
2019-11-28,2893645.6067776945
2019-11-29,2864932.6767320903
2019-12-02,2867086.930908082
2019-12-03,2864836.588513297
2019-12-04,2865877.331444044
2019-12-05,2866532.472860734
2019-12-06,2856555.922758178
2019-12-09,2871904.930568907
2019-12-10,2862670.2200982464
2019-12-11,2869924.299038034
2019-12-12,2879274.077065655
2019-12-13,2894828.5383397746
2019-12-16,2890382.4936179323
2019-12-17,2913722.682258231
2019-12-18,2932840.2660382814
2019-12-19,2927907.5105158426
2019-12-20,2900069.757754431
2019-12-23,2923712.339168311
2019-12-24,2913992.5066009965
2019-12-25,2914531.587892261
2019-12-26,2918865.4871376078
2019-12-27,2931750.67046131
2019-12-30,2925634.670938446
2019-12-31,2911437.4451161427
2020-01-02,2913393.423366198
2020-01-03,2923158.0800804556
2020-01-06,2901912.484109174
2020-01-07,2907789.383688728
2020-01-08,2892867.425171621
2020-01-09,2910540.90543787
2020-01-10,2920578.819230196
2020-01-13,2956958.5791737293
2020-01-14,2973382.0898739784
2020-01-15,2960616.825328203
2020-01-16,2959952.349904353
2020-01-17,2971207.040698171
2020-01-20,2990058.6584164593
2020-01-30,2869233.7518477035
2020-01-31,2890985.3333008196
2020-02-03,2869932.821597948
2020-02-04,2895395.989058911
2020-02-05,2912858.398658545
2020-02-06,2938668.454534794
2020-02-07,2919112.2182484004
2020-02-10,2915395.9024676154
2020-02-11,2919571.146469117
2020-02-12,2924269.3684646534
2020-02-13,2932267.840310529
2020-02-14,2934690.6138224755
2020-02-17,2939307.5009575374
2020-02-18,2950044.3310056054
2020-02-19,2986956.6188366422
2020-02-20,2985204.7323037405
2020-02-21,2958118.635095011
2020-02-24,2925489.095916323
2020-02-25,2922037.8919291818
2020-02-26,2902439.1578123327
2020-02-27,2900274.2082544444
2020-03-02,2862721.729474103
2020-03-03,2889452.8648305903
2020-03-04,2898464.873052202
2020-03-05,2927772.6308756163
2020-03-06,2890227.641699575
2020-03-09,2837106.431679348
2020-03-10,2815826.3561283057
2020-03-11,2800097.870748457
2020-03-12,2712961.2010411317
2020-03-13,2665903.1570250876
2020-03-16,2575446.9187377174
2020-03-17,2492495.4174787845
2020-03-18,2460474.8974496303
2020-03-19,2328972.6452940367
2020-03-20,2465232.019790047
2020-03-23,2392701.154057333
2020-03-24,2442267.6068798676
