id,layer,buy_id,sell_id,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
X__ROC10_LT_N5__K9_GT70,CROSS,ROC10_LT_N5,K9_GT70,-3.823085535935522,-2.1998698834857167,3.2464313048996107,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.363722393515445,6655.0,0.12288263192168447,-0.24586592167625387
X__ROC10_LT_N5__WILLR14_GT_N20,CROSS,ROC10_LT_N5,WILLR14_GT_N20,-3.8363264891792537,-2.0983810371023592,3.475890904153789,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.376963346759178,6626.0,0.12196361268064226,-0.2448510332124204
X__ROC10_LT_N5__MFI14_GT80,CROSS,ROC10_LT_N5,MFI14_GT80,-3.837705306385031,-2.533772947191393,2.607864718387276,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.3783421639649545,5177.0,0.1269169495815563,-0.24920495231331052
X__K9_LT30__K9_GT70,CROSS,K9_LT30,K9_GT70,-3.8661885209352653,-2.550522519006726,2.6313320038570787,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.4068253785151885,5208.0,0.1340470671578684,-0.24937244803146408
X__BELOW_MA120__CCI20_GT100,CROSS,BELOW_MA120,CCI20_GT100,-3.9025868389138463,-1.575111411398411,4.6549508550308705,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.44322369649377,4536.0,0.11861914569672583,-0.23961833695538093
X__RSI14_LT30__MACD_HIST_POS,CROSS,RSI14_LT30,MACD_HIST_POS,-3.9494065176691073,-2.1403331429392547,3.6181467494597053,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.490043375249031,7066.0,0.12514275977043954,-0.24527055427078936
X__RSI6_LT20__RSI6_GT80,CROSS,RSI6_LT20,RSI6_GT80,-3.9593002750387463,-2.472797839619656,2.9730048708381807,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.49993713261867,5121.0,0.1274018373710626,-0.24859520123759338
X__ROC10_LT_N5__RSI6_GT80,CROSS,ROC10_LT_N5,RSI6_GT80,-4.032915515933622,-2.519269792803591,3.027291446260061,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.573552373513546,5506.0,0.12497745363672008,-0.24905992076943273
X__K9_LT30__MACD_HIST_POS,CROSS,K9_LT30,MACD_HIST_POS,-4.047568422073555,-2.76294154208071,2.56925375998569,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.5882052796534785,5390.0,0.1332063601213742,-0.2514966382622039
X__BELOW_MA20__ABOVE_MA20,CROSS,BELOW_MA20,ABOVE_MA20,-4.064581698348713,-3.321762199811973,1.4856389970734796,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.605218555928636,4935.0,0.13638487842022973,-0.25708484483951666
X__ROC10_LT_N5__D9_GT80,CROSS,ROC10_LT_N5,D9_GT80,-4.104464084577031,-2.518749851409574,3.1714284663349135,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.6451009421569545,5869.0,0.12326299300084842,-0.24905472135549256
X__K9_LT30__ABOVE_MA20,CROSS,K9_LT30,ABOVE_MA20,-4.158191764150542,-2.757480115986566,2.801423296327954,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.698828621730466,5438.0,0.1322658391213034,-0.25144202400126237
X__BIAS20_LT_N5__WILLR14_GT_N20,CROSS,BIAS20_LT_N5,WILLR14_GT_N20,-4.163261089228653,-2.5450050766642307,3.236512025128846,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.703897946808577,7123.0,0.12328577777172645,-0.24931727360803901
X__RSI14_LT30__K9_GT80,CROSS,RSI14_LT30,K9_GT80,-4.164518674725515,-2.486576283314945,3.355884782821139,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.705155532305438,6714.0,0.12680065888521508,-0.24873298567454616
X__RSI6_LT20__WILLR14_GT_N20,CROSS,RSI6_LT20,WILLR14_GT_N20,-4.185196147940529,-2.3334316874453753,3.7035289209903066,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.725833005520452,6269.0,0.12359613344869258,-0.24720153971585057
X__RSI6_LT20__ABOVE_MA20,CROSS,RSI6_LT20,ABOVE_MA20,-4.20209610644614,-2.345956632489987,3.7122789479123064,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.742732964026064,6393.0,0.12340336194223145,-0.2473267891662968
X__ROC10_LT_N5__K9_GT80,CROSS,ROC10_LT_N5,K9_GT80,-4.211899684689435,-2.4130003260205646,3.5977987173377413,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.752536542269358,6427.0,0.12031850510165465,-0.24799722610160246
X__RSI14_LT30__ABOVE_MA60,CROSS,RSI14_LT30,ABOVE_MA60,-4.229847035048362,-2.451145295835566,3.5574034784255915,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.7704838926282855,6873.0,0.12560842446694198,-0.24837867579975248
X__BIAS20_LT_N5__MACD_HIST_POS,CROSS,BIAS20_LT_N5,MACD_HIST_POS,-4.239386518592337,-2.5652036339520734,3.3483657692805258,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.78002337617226,7349.0,0.1227977136183489,-0.24951925918091766
X__K9_LT30__WILLR14_GT_N20,CROSS,K9_LT30,WILLR14_GT_N20,-4.256818015379549,-2.886838851191176,2.739958328376746,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.797454872959473,5244.0,0.13280543833980207,-0.2527356113533086
X__ROC10_LT_N5__RSI14_GT70,CROSS,ROC10_LT_N5,RSI14_GT70,-4.285361084094664,-2.7752298782360407,3.020262411717245,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.825997941674587,4959.0,0.12566359027266572,-0.2516195216237572
X__RSI6_LT20__MACD_HIST_POS,CROSS,RSI6_LT20,MACD_HIST_POS,-4.286677001759454,-2.484701552696633,3.6039508981256407,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.827313859339378,6463.0,0.12362626763972262,-0.24871423836836326
