date,nav_base,nav_chal,rel_chal_vs_base
2024-08-05,1436430139.0208173,1563118389.6160476,1.0881965973518148
2024-08-06,1464438224.9957507,1574765031.406325,1.0753372894311706
2024-08-07,1469070841.3117871,1576215725.0976436,1.0729337760799764
2024-08-08,1448319991.4678967,1568703817.2708786,1.0831196327553076
2024-08-09,1475594121.829821,1580517220.9683573,1.071105663533293
2024-08-12,1487170587.6731985,1584884444.7894847,1.0657045384881958
2024-08-13,1463152252.735807,1580246584.3394845,1.080028808611499
2024-08-14,1474777123.1599646,1590331728.9461303,1.0783539451293969
2024-08-15,1460480531.3369741,1581849412.8461304,1.0831020194415402
2024-08-16,1481817846.2902904,1589541304.4961305,1.072696828746883
2024-08-19,1477474945.6599123,1590073632.7961304,1.0762102176195794
2024-08-20,1490101323.0622041,1591608534.5961304,1.0681210129559013
2024-08-21,1485922874.0456805,1596097707.8961306,1.074145728405459
2024-08-22,1491709829.699827,1598452762.5816138,1.0715574374831776
2024-08-23,1486808920.1654062,1598005229.6865754,1.0747885676585789
2024-08-26,1496249302.3697531,1604408567.5732977,1.0722869277414149
2024-08-27,1492008640.5815911,1602577235.0232975,1.0741072078500875
2024-08-28,1486503388.845252,1600348696.0156283,1.0765859721711188
2024-08-29,1477322432.6828253,1588708542.8751552,1.0753972915648835
2024-08-30,1484874038.4504323,1598783712.575155,1.0767133582883537
2024-09-02,1484147703.3635392,1598720653.4514048,1.077197808431201
2024-09-03,1479274402.3516593,1590985852.173251,1.075517733318443
2024-09-04,1450861868.6061282,1563574286.9388738,1.0776865260378168
2024-09-05,1466705555.0978,1570590001.9601607,1.0708284266745234
2024-09-06,1478630422.5533884,1577520570.420989,1.0668795571626555
2024-09-09,1472216138.2961066,1574541848.85384,1.0695045434538992
2024-09-10,1481962510.3408756,1579104173.4538403,1.065549339092674
2024-09-11,1472016919.1959026,1573513054.0538404,1.0689503860549243
2024-09-12,1486199979.7775826,1582313167.250077,1.064670427116328
2024-09-13,1484619472.7415447,1581374575.450077,1.0651716513793674
2024-09-16,1487407845.1579995,1582578994.650077,1.0639845687259826
2024-09-18,1484038492.3596241,1580500595.8500772,1.0649997314672601
2024-09-19,1491270624.0038757,1580209528.1000772,1.0596396808631632
2024-09-20,1495568431.93074,1584504702.4500773,1.0594665336741047
2024-09-23,1504347401.1367536,1587151635.900077,1.0550432929925315
2024-09-24,1507773960.6016283,1590979789.250077,1.0551845507500661
2024-09-25,1510309122.3516283,1592357093.400077,1.0543252833702652
2024-09-26,1513767398.8184428,1594212477.4500773,1.0531422982780745
2024-09-27,1504002539.3004854,1592265148.5000772,1.0586851463965234
2024-09-30,1493104056.6212232,1583867343.963249,1.0607883201037012
2024-10-01,1490940457.504046,1582660081.4132488,1.0615179656890852
2024-10-04,1481241426.5750237,1576229542.0132487,1.0641273689312483
2024-10-07,1485332885.6750236,1578903796.713249,1.062996592845045
2024-10-08,1469571595.9434416,1569929415.4343712,1.0682905275033583
2024-10-09,1466044450.2412639,1563939080.7983456,1.0667746673990488
2024-10-11,1469599131.5145524,1566024065.5877306,1.0656130859126216
2024-10-14,1477819849.0459738,1569636857.534805,1.0621300414581012
2024-10-15,1498440454.1303012,1587302212.984805,1.0593028295582687
2024-10-16,1479282301.6507432,1572507463.834805,1.0630205350797688
2024-10-17,1485869959.5498931,1582802915.534805,1.0652365002481612
2024-10-18,1506186721.1083686,1603183064.584805,1.0643986181242249
2024-10-21,1489887327.725113,1586591670.0951738,1.0649071514137363
2024-10-22,1499570423.1461818,1594929737.4912095,1.0635910877362855
2024-10-23,1479059946.3152895,1576665951.6098063,1.0659919197580043
2024-10-24,1480318826.9517155,1576827551.981433,1.0651945535465823
2024-10-25,1479776140.9164252,1580486778.7139516,1.0680580224351748
2024-10-28,1484739244.5220556,1583554945.7139516,1.0665542461792374
2024-10-29,1472232823.6971707,1568637491.1639516,1.0654819441022128
2024-10-30,1476245826.2840114,1570668242.6139517,1.0639611741139479
2024-11-01,1461772574.9007025,1559592924.7639515,1.0669189937907366
2024-11-04,1475005050.8066685,1572136341.5639517,1.065851497053629
2024-11-05,1478387523.6066685,1577144302.2639515,1.0668003328493711
2024-11-06,1471324236.1566684,1567816889.7139516,1.065582181810134
2024-11-07,1472796313.2566686,1570431182.0139515,1.0662921735194946
2024-11-08,1478210634.5429416,1571392728.3139517,1.0630370879450626
2024-11-11,1477245569.3429418,1571500459.6139517,1.0638044833080347
2024-11-12,1464915344.4429417,1557989400.9139516,1.0635354505801855
2024-11-13,1469010286.0429416,1559936956.2139516,1.0618965510554308
2024-11-14,1454437158.6429417,1546351183.8139517,1.0631955974342475
2024-11-15,1472934013.8929417,1569778526.7639515,1.0657493899642192
2024-11-18,1478886701.1429417,1575877864.6139517,1.065583904024596
2024-11-19,1493441087.6929417,1593517130.4639516,1.0670103719495267
2024-11-20,1481650796.0929418,1579299199.5639517,1.0659051402182655
2024-11-21,1484649492.6429417,1576783223.0139515,1.0620575636388057
2024-11-22,1488882109.3555875,1582870232.6146173,1.0631266388845988
2024-11-25,1495714775.771252,1592007994.6646173,1.0643793993702526
2024-11-26,1490516371.271252,1583634596.4646175,1.0624738023601483
2024-11-27,1499131408.771252,1584573441.9646173,1.0569943586622583
2024-11-28,1495568203.7212517,1580760089.1146173,1.056962888874872
2024-11-29,1488989352.3212519,1571478069.3146174,1.0553991315416529
2024-12-02,1500339073.3712518,1583023058.8322456,1.0551101993732679
2024-12-03,1526811436.671252,1603132307.7322457,1.049987096787399
2024-12-04,1529882333.771252,1607486238.6322458,1.0507254075349022
2024-12-05,1533440336.6212518,1611719900.5822456,1.051048327144878
2024-12-06,1533685941.471252,1610186156.3322456,1.0498799739845093
2024-12-09,1543855590.621252,1615393305.7822456,1.0463370509493097
2024-12-10,1534493740.021252,1608887958.0822456,1.0484812783009225
2024-12-11,1519970302.1212518,1594664833.7822456,1.0491420993928309
2024-12-12,1529125856.021252,1602215888.6822457,1.0477985722190142
2024-12-13,1523062186.521252,1596625981.0822456,1.0482999284021468
2024-12-16,1523937807.3212519,1600379510.1822457,1.0501606446757572
2024-12-17,1512093975.021252,1593846187.0822456,1.0540655629950808
2024-12-18,1497099962.771252,1580513971.3370948,1.055717060076227
2024-12-19,1480203541.55617,1566955218.4691632,1.0586079376771313
2024-12-20,1470867956.2085,1552345480.0191634,1.0553941796520543
2024-12-23,1501664393.695462,1576886290.9191632,1.0500923492223098
2024-12-24,1505355107.3267603,1583434321.5191634,1.0518676382817458
