股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
1444,力麗,62,17,,765,810,248898,3,3,,3,3,248898,, 
1445,大宇,,,,1278,1278,32666,,2,,1,3,32666,, 
1446,宏和,7,,,1512,1519,34427,,,,,,34427,, 
1447,力鵬,,,7,607,600,,,,,,,,,OX 
1449,佳和,2,1,,2947,2948,31778,,,,5,5,31778,, 
1451,年興,,,,590,590,49500,,,,,,49500,, 
1452,宏益,,,,106,106,33160,,,,,,33160,, 
1453,大將,,,,834,834,28310,,,,,,28310,, 
1454,台富,,,,2174,2174,32458,,,,,,32458,, 
1455,集盛,84,88,,3327,3323,132922,,,,5,5,132922,, 
1456,怡華,12,,,774,786,23430,,,,,,23430,, 
1457,宜進,,,,635,635,79182,,,,1,1,79182,, 
1459,聯發,6,11,,293,288,89657,,,,,,89657,, 
1460,宏遠,,,,,,,,,,,,,,OX 
1463,強盛新,5,,,496,501,43317,,,,,,43317,, 
1464,得力,,,,1958,1958,106393,,,,,,106393,, 
1465,偉全,154,151,,2998,3001,25901,,,,,,25901,, 
1466,聚隆,4,10,,2857,2851,27789,,,,,,27789,,X 
1467,南緯,5,5,,7010,7010,42052,,,,1,1,42052,, 
1468,昶和,,,,,,,,,,,,,,OX 
1470,大統新創,,,,5,5,21441,,,,,,21441,, 
1471,首利,,,,,,,,,,,,,,OX 
1472,三洋實業,,,,3587,3587,8747,,,,3,3,8747,, 
1473,台南,,,,820,820,36538,,,,2,2,36538,, 
1474,弘裕,,75,,3174,3099,32474,,,,,,32474,, 
1475,業旺,,,,465,465,16504,,,,,,16504,, 
1476,儒鴻,2,10,,1317,1309,68591,,,,19,19,68591,, 
1477,聚陽,55,13,,1793,1835,61673,1,,,10,9,61673,, 
1503,士電,57,105,,3188,3140,130243,6,1,,19,14,130243,1, 
1504,東元,250,548,7,27663,27358,594110,26,35,,126,135,594110,, 
1506,正道,,,,,,,,,,,,,,OX 
1512,瑞利,,,,,,,,,,,,,,OX 
1513,中興電,59,111,42,7107,7013,125778,20,1,,33,14,125778,5, 
1514,亞力,75,183,2,6368,6258,69642,3,11,,68,76,69642,, 
1515,力山,87,126,2,2931,2890,45368,1,1,,5,5,45368,, 
1516,川飛,,,,2,2,,,,,,,,,OX 
1517,利奇,11,81,,1803,1733,55000,,,,3,3,55000,, 
