code,name,industry,listing_date,asof_table_date,source,pit_note
1312,國喬,03,19881221,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1313,聯成,03,19890327,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1314,中石化,03,19910712,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1315,達新,03,19920509,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1316,上曜,14,19921015,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1319,東陽,12,19941212,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1321,大洋,03,19990126,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1323,永裕,03,20000911,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1324,地球,03,20000911,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1325,恆大,03,20000911,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1326,台化,03,19841220,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1337,再生-KY,03,20110817,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1338,廣華-KY,12,20121219,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1339,昭輝,12,20120424,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1340,勝悅-KY,03,20140114,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1341,富林-KY,03,20181224,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1342,八貫,20,20201124,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1402,遠東新,04,19670414,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1409,新纖,04,19730831,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1410,南染,04,19731018,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1413,宏洲,04,19751223,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1414,東和,04,19760202,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1416,廣豐,20,19760420,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1417,嘉裕,04,19761228,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
