date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2024-06-14,TX,202408,22130.0,22293.0,22097.0,22293.0,146.0,0.66,159,22293.0,418,position
2024-06-14,TX,202409,22075.0,22277.0,22075.0,22277.0,148.0,0.67,80,22277.0,1932,position
2024-06-14,TX,202412,22096.0,22286.0,22096.0,22286.0,156.0,0.7,34,22286.0,377,position
2024-06-14,TX,202503,22151.0,22274.0,22151.0,22274.0,130.0,0.59,17,22291.0,283,position
2024-06-14,TX,202406/202407,-132.0,-132.0,-179.0,-164.0,0.0,0.0,5644,0.0,0,position
2024-06-14,TX,202406/202408,-175.0,-175.0,-175.0,-175.0,0.0,0.0,5,0.0,0,position
2024-06-14,TX,202406/202409,-235.0,-220.0,-235.0,-222.0,0.0,0.0,3,0.0,0,position
2024-06-14,TX,202406/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-14,TX,202406/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-14,TX,202407/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-14,TX,202407/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-14,TX,202407/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-14,TX,202408/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-14,TX,202409/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-14,TX,202409/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-17,TX,202406,22500.0,22506.0,22363.0,22457.0,-53.0,-0.24,55879,0.0,0,after_market
2024-06-17,TX,202407,22347.0,22359.0,22210.0,22305.0,-43.0,-0.19,3155,0.0,0,after_market
2024-06-17,TX,202408,22248.0,22275.0,22178.0,22267.0,-26.0,-0.12,54,0.0,0,after_market
2024-06-17,TX,202409,22252.0,22253.0,22155.0,22235.0,-42.0,-0.19,45,0.0,0,after_market
2024-06-17,TX,202412,22245.0,22245.0,22150.0,22228.0,-58.0,-0.26,16,0.0,0,after_market
2024-06-17,TX,202503,22265.0,22272.0,22178.0,22200.0,-91.0,-0.41,6,0.0,0,after_market
2024-06-17,TX,202406/202407,-163.0,-157.0,-163.0,-157.0,0.0,0.0,29,0.0,0,after_market
2024-06-17,TX,202406/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-17,TX,202406/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-17,TX,202406/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-17,TX,202406/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-17,TX,202407/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-17,TX,202407/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-17,TX,202408/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-17,TX,202409/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-17,TX,202409/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-17,TX,202406,22430.0,22554.0,22420.0,22477.0,-33.0,-0.15,91913,22477.0,45429,position
2024-06-17,TX,202407,22273.0,22397.0,22263.0,22347.0,-1.0,0.0,33859,22346.0,40121,position
2024-06-17,TX,202408,22233.0,22340.0,22225.0,22282.0,-11.0,-0.05,92,22294.0,444,position
2024-06-17,TX,202409,22229.0,22314.0,22229.0,22267.0,-10.0,-0.04,61,22267.0,1947,position
2024-06-17,TX,202412,22210.0,22304.0,22210.0,22271.0,-15.0,-0.07,33,22271.0,396,position
2024-06-17,TX,202503,22311.0,22316.0,22311.0,22314.0,23.0,0.1,3,22275.0,286,position
2024-06-17,TX,202406/202407,-156.0,-123.0,-166.0,-134.0,0.0,0.0,23499,0.0,0,position
2024-06-17,TX,202406/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-17,TX,202406/202409,-217.0,-203.0,-217.0,-203.0,0.0,0.0,9,0.0,0,position
2024-06-17,TX,202406/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-17,TX,202406/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-17,TX,202407/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-17,TX,202407/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-17,TX,202407/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-17,TX,202408/202409,-13.0,-13.0,-13.0,-13.0,0.0,0.0,1,0.0,0,position
2024-06-17,TX,202409/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-17,TX,202409/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-18,TX,202406,22489.0,22767.0,22482.0,22734.0,257.0,1.14,56101,0.0,0,after_market
2024-06-18,TX,202407,22360.0,22623.0,22348.0,22600.0,254.0,1.14,6702,0.0,0,after_market
2024-06-18,TX,202408,22324.0,22568.0,22324.0,22542.0,248.0,1.11,109,0.0,0,after_market
2024-06-18,TX,202409,22298.0,22529.0,22292.0,22529.0,262.0,1.18,59,0.0,0,after_market
2024-06-18,TX,202412,22283.0,22520.0,22283.0,22520.0,249.0,1.12,40,0.0,0,after_market
2024-06-18,TX,202503,22319.0,22527.0,22319.0,22527.0,252.0,1.13,15,0.0,0,after_market
2024-06-18,TX,202406/202407,-134.0,-134.0,-142.0,-142.0,0.0,0.0,64,0.0,0,after_market
2024-06-18,TX,202406/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-18,TX,202406/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
