code,fiscal_year,announcement_date,announcement_time,cash_ex_date,cash_payment_date,cash_dividend,source,board_date_quality
3045,107年,2019-06-21,16:31:18,2019-07-09,2019-07-31,5.54897,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,108年,2020-07-01,17:35:11,2020-07-17,2020-08-12,4.183,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,109年,2021-08-09,10:22:57,2021-08-23,2021-09-11,3.38353,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,110年,2022-06-24,08:55:48,2022-07-08,2022-08-03,3.7412,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,111年,2023-06-14,09:27:33,2023-06-30,2023-07-26,3.5036,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,112年,2024-06-21,17:22:45,2024-07-08,2024-07-31,3.6251,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,113年,2025-06-24,14:41:56,2025-07-09,2025-07-31,4.1111,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,114年,2026-06-24,17:39:33,2026-07-09,2026-07-31,3.93716,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,98年,2010-06-28,09:06:23,2010-08-10,,2.8,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,99年,2011-06-24,11:35:49,2011-07-19,,2.5,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
