date,option_id,contract_date,strike_price,call_put,open,max,min,close,volume,settlement_price,open_interest,trading_session
2020-01-02,TXO,202001W2,11750.0,put,5.8,5.8,2.2,2.5,1850,2.5,832,position
2020-01-02,TXO,202001W2,11800.0,call,279.0,306.0,279.0,306.0,3,314.0,2,position
2020-01-02,TXO,202001W2,11800.0,put,8.6,8.6,2.9,3.5,4021,3.5,2469,position
2020-01-02,TXO,202001W2,11850.0,call,206.0,262.0,198.0,261.0,27,264.0,5,position
2020-01-02,TXO,202001W2,11850.0,put,11.0,14.5,4.2,4.9,6016,4.9,2653,position
2020-01-02,TXO,202001W2,11900.0,call,183.0,226.0,154.0,220.0,265,220.0,96,position
2020-01-02,TXO,202001W2,11900.0,put,18.5,19.5,6.9,7.8,8608,7.8,3861,position
2020-01-02,TXO,202001W2,11950.0,call,139.0,187.0,114.0,173.0,536,173.0,175,position
2020-01-02,TXO,202001W2,11950.0,put,24.0,30.5,11.0,13.0,10256,13.0,5860,position
2020-01-02,TXO,202001W2,12000.0,call,97.0,143.0,82.0,132.0,1910,132.0,594,position
2020-01-02,TXO,202001W2,12000.0,put,41.0,47.0,19.0,22.0,10622,22.0,5774,position
2020-01-02,TXO,202001W2,12050.0,call,70.0,106.0,55.0,97.0,4365,97.0,1767,position
2020-01-02,TXO,202001W2,12050.0,put,61.0,71.0,32.0,36.0,8332,36.0,3727,position
2020-01-02,TXO,202001W2,12100.0,call,47.0,75.0,26.5,68.0,8984,68.0,3913,position
2020-01-02,TXO,202001W2,12100.0,put,85.0,102.0,51.0,56.0,8414,56.0,4520,position
2020-01-02,TXO,202001W2,12150.0,call,26.0,49.5,21.5,44.0,9013,44.0,4692,position
2020-01-02,TXO,202001W2,12150.0,put,113.0,135.0,76.0,83.0,5651,83.0,3731,position
2020-01-02,TXO,202001W2,12200.0,call,19.0,31.5,12.0,28.0,7136,28.0,3129,position
2020-01-02,TXO,202001W2,12200.0,put,151.0,179.0,108.0,117.0,1561,117.0,665,position
2020-01-02,TXO,202001W2,12250.0,call,10.5,19.5,7.2,16.0,6192,16.0,2566,position
2020-01-02,TXO,202001W2,12250.0,put,202.0,221.0,146.0,156.0,122,156.0,69,position
2020-01-02,TXO,202001W2,12300.0,call,7.1,11.5,4.3,9.6,4076,9.6,2654,position
2020-01-02,TXO,202001W2,12300.0,put,238.0,238.0,189.0,200.0,58,200.0,53,position
2020-01-02,TXO,202001W2,12350.0,call,3.7,6.6,2.8,5.5,3694,5.5,2301,position
2020-01-02,TXO,202001W2,12400.0,call,2.9,3.7,1.7,3.4,2957,3.4,1895,position
2020-01-02,TXO,202001W2,12500.0,call,1.4,1.6,1.0,1.3,3154,1.3,2517,position
2020-01-02,TXO,202001W2,12500.0,put,424.0,424.0,385.0,391.0,15,391.0,15,position
2020-01-02,TXO,202001W2,12600.0,call,0.8,0.8,0.5,0.7,1017,0.7,978,position
2020-01-02,TXO,202001W2,12700.0,call,0.3,0.5,0.3,0.4,149,0.4,138,position
2020-01-02,TXO,202001,9400.0,put,0.2,0.2,0.2,0.2,40,0.2,658,position
2020-01-02,TXO,202001,9600.0,put,0.2,0.2,0.2,0.2,100,0.2,412,position
2020-01-02,TXO,202001,9700.0,put,0.7,0.7,0.2,0.2,21,0.2,264,position
2020-01-02,TXO,202001,9800.0,put,0.3,0.3,0.3,0.3,41,0.3,456,position
2020-01-02,TXO,202001,9900.0,put,0.3,0.3,0.3,0.3,20,0.3,149,position
2020-01-02,TXO,202001,10000.0,put,0.4,0.4,0.3,0.3,70,0.3,1105,position
2020-01-02,TXO,202001,10100.0,put,0.5,0.5,0.5,0.5,200,0.4,221,position
2020-01-02,TXO,202001,10100.0,put,1.6,1.6,1.6,1.6,1,0.0,0,after_market
2020-01-02,TXO,202001,10200.0,put,0.6,0.6,0.4,0.4,251,0.4,471,position
2020-01-02,TXO,202001,10200.0,put,1.7,1.7,1.7,1.7,1,0.0,0,after_market
2020-01-02,TXO,202001,10300.0,put,0.7,0.7,0.2,0.6,242,0.6,560,position
2020-01-02,TXO,202001,10400.0,put,0.8,0.8,0.5,0.5,310,0.7,1091,position
2020-01-02,TXO,202001,10500.0,put,1.3,1.3,0.5,0.8,47,0.8,1596,position
2020-01-02,TXO,202001,10600.0,call,1500.0,1500.0,1500.0,1500.0,1,1500.0,8,position
2020-01-02,TXO,202001,10600.0,put,1.3,1.3,0.5,0.7,76,0.8,2362,position
2020-01-02,TXO,202001,10600.0,put,2.3,2.3,2.3,2.3,3,0.0,0,after_market
2020-01-02,TXO,202001,10700.0,put,1.8,1.8,0.7,0.8,52,1.0,3585,position
2020-01-02,TXO,202001,10700.0,put,2.6,2.6,2.6,2.6,2,0.0,0,after_market
2020-01-02,TXO,202001,10800.0,call,1300.0,1300.0,1300.0,1300.0,1,1300.0,8,position
2020-01-02,TXO,202001,10800.0,put,2.9,2.9,0.8,1.5,1095,1.5,5583,position
2020-01-02,TXO,202001,10800.0,put,3.1,3.1,2.8,2.8,14,0.0,0,after_market
2020-01-02,TXO,202001,10900.0,call,1220.0,1220.0,1220.0,1220.0,1,1200.0,11,position
2020-01-02,TXO,202001,10900.0,put,2.5,2.5,1.0,1.7,1398,1.7,3644,position
2020-01-02,TXO,202001,10900.0,put,4.5,4.5,3.1,3.1,8,0.0,0,after_market
2020-01-02,TXO,202001,11000.0,call,1120.0,1120.0,1120.0,1120.0,2,1100.0,33,position
2020-01-02,TXO,202001,11000.0,put,3.2,3.2,0.8,1.9,10910,1.9,8490,position
2020-01-02,TXO,202001,11000.0,put,5.6,5.6,4.3,4.3,17,0.0,0,after_market
2020-01-02,TXO,202001,11100.0,put,4.5,4.5,1.4,2.4,1520,2.4,5783,position
2020-01-02,TXO,202001,11100.0,put,6.3,6.4,5.1,5.7,54,0.0,0,after_market
2020-01-02,TXO,202001,11200.0,put,4.6,4.8,1.9,3.2,1699,3.2,7431,position
2020-01-02,TXO,202001,11200.0,put,6.5,8.0,6.3,6.3,45,0.0,0,after_market
2020-01-02,TXO,202001,11300.0,call,810.0,810.0,810.0,810.0,1,810.0,141,position
2020-01-02,TXO,202001,11300.0,put,8.0,8.0,2.6,4.3,1733,4.3,5485,position
2020-01-02,TXO,202001,11300.0,put,9.8,11.0,8.4,8.9,183,0.0,0,after_market
2020-01-02,TXO,202001,11400.0,call,655.0,675.0,655.0,675.0,6,710.0,300,position
2020-01-02,TXO,202001,11400.0,call,585.0,585.0,585.0,585.0,1,0.0,0,after_market
2020-01-02,TXO,202001,11400.0,put,9.5,10.5,3.7,6.2,3115,6.2,6723,position
2020-01-02,TXO,202001,11400.0,put,15.0,16.0,12.0,12.0,326,0.0,0,after_market
2020-01-02,TXO,202001,11500.0,call,565.0,620.0,565.0,610.0,13,610.0,1366,position
2020-01-02,TXO,202001,11500.0,call,499.0,520.0,499.0,520.0,8,0.0,0,after_market
2020-01-02,TXO,202001,11500.0,put,16.0,16.0,6.4,9.4,7550,9.4,8941,position
2020-01-02,TXO,202001,11500.0,put,20.5,24.0,18.0,18.0,736,0.0,0,after_market
2020-01-02,TXO,202001,11600.0,call,485.0,530.0,448.0,515.0,27,515.0,1234,position
2020-01-02,TXO,202001,11600.0,call,427.0,427.0,427.0,427.0,2,0.0,0,after_market
2020-01-02,TXO,202001,11600.0,put,24.5,24.5,10.5,14.0,6947,14.0,11187,position
2020-01-02,TXO,202001,11600.0,put,31.0,36.0,28.0,29.5,1534,0.0,0,after_market
2020-01-02,TXO,202001,11700.0,call,385.0,437.0,361.0,426.0,159,426.0,2164,position
2020-01-02,TXO,202001,11700.0,call,343.0,361.0,323.0,361.0,57,0.0,0,after_market
2020-01-02,TXO,202001,11700.0,put,36.0,36.0,18.0,23.0,10240,23.0,16198,position
2020-01-02,TXO,202001,11700.0,put,47.0,54.0,41.0,41.0,1651,0.0,0,after_market
2020-01-02,TXO,202001,11800.0,call,304.0,351.0,283.0,338.0,438,338.0,3030,position
2020-01-02,TXO,202001,11800.0,call,267.0,269.0,247.0,268.0,119,0.0,0,after_market
2020-01-02,TXO,202001,11800.0,put,53.0,60.0,31.0,37.0,9256,37.0,11197,position
2020-01-02,TXO,202001,11800.0,put,70.0,79.0,60.0,60.0,1637,0.0,0,after_market
2020-01-02,TXO,202001,11900.0,call,222.0,273.0,208.0,262.0,1271,262.0,4839,position
2020-01-02,TXO,202001,11900.0,call,198.0,220.0,181.0,220.0,327,0.0,0,after_market
2020-01-02,TXO,202001,11900.0,put,82.0,85.0,52.0,60.0,12079,60.0,10593,position
2020-01-02,TXO,202001,11900.0,put,102.0,114.0,92.0,92.0,1067,0.0,0,after_market
2020-01-02,TXO,202001,12000.0,call,162.0,202.0,149.0,193.0,3477,193.0,8565,position
2020-01-02,TXO,202001,12000.0,call,142.0,149.0,126.0,149.0,1068,0.0,0,after_market
2020-01-02,TXO,202001,12000.0,put,120.0,124.0,82.0,90.0,7095,90.0,7930,position
2020-01-02,TXO,202001,12000.0,put,144.0,161.0,127.0,128.0,829,0.0,0,after_market
2020-01-02,TXO,202001,12100.0,call,111.0,143.0,100.0,135.0,5966,135.0,11564,position
2020-01-02,TXO,202001,12100.0,call,95.0,101.0,85.0,101.0,1637,0.0,0,after_market
2020-01-02,TXO,202001,12100.0,put,164.0,175.0,122.0,134.0,3114,134.0,4396,position
2020-01-02,TXO,202001,12100.0,put,201.0,218.0,187.0,195.0,449,0.0,0,after_market
2020-01-02,TXO,202001,12200.0,call,75.0,96.0,64.0,89.0,8548,89.0,12944,position
2020-01-02,TXO,202001,12200.0,call,61.0,66.0,54.0,66.0,1741,0.0,0,after_market
2020-01-02,TXO,202001,12200.0,put,222.0,240.0,175.0,188.0,938,188.0,981,position
2020-01-02,TXO,202001,12200.0,put,274.0,285.0,253.0,258.0,74,0.0,0,after_market
2020-01-02,TXO,202001,12300.0,call,44.0,61.0,39.5,57.0,8031,57.0,16197,position
2020-01-02,TXO,202001,12300.0,call,38.5,39.0,33.0,39.0,2108,0.0,0,after_market
2020-01-02,TXO,202001,12300.0,put,294.0,314.0,240.0,254.0,362,254.0,754,position
2020-01-02,TXO,202001,12300.0,put,285.0,363.0,285.0,340.0,437,0.0,0,after_market
2020-01-02,TXO,202001,12400.0,call,26.5,36.0,22.0,32.0,6126,32.0,18948,position
2020-01-02,TXO,202001,12400.0,call,21.5,22.5,19.0,22.0,2167,0.0,0,after_market
2020-01-02,TXO,202001,12400.0,put,378.0,397.0,318.0,331.0,157,331.0,815,position
2020-01-02,TXO,202001,12400.0,put,436.0,451.0,416.0,416.0,1157,0.0,0,after_market
2020-01-02,TXO,202001,12500.0,call,16.0,20.0,12.5,17.5,5006,17.5,14719,position
2020-01-02,TXO,202001,12500.0,call,12.5,13.5,11.0,13.5,1884,0.0,0,after_market
2020-01-02,TXO,202001,12500.0,put,457.0,480.0,413.0,413.0,37,413.0,309,position
2020-01-02,TXO,202001,12500.0,put,520.0,520.0,520.0,520.0,205,0.0,0,after_market
2020-01-02,TXO,202001,12600.0,call,9.0,10.5,6.6,8.9,2483,8.9,10417,position
2020-01-02,TXO,202001,12600.0,call,7.2,7.4,6.4,6.7,1236,0.0,0,after_market
2020-01-02,TXO,202001,12700.0,call,4.0,6.0,3.5,3.9,1320,3.9,5172,position
2020-01-02,TXO,202001,12700.0,call,3.6,3.9,3.2,3.2,157,0.0,0,after_market
2020-01-02,TXO,202001,12800.0,call,3.5,3.5,2.0,2.3,690,2.3,2444,position
2020-01-02,TXO,202001,12800.0,call,2.5,2.5,1.8,1.8,21,0.0,0,after_market
2020-01-02,TXO,202001,12900.0,call,2.2,2.2,1.2,1.4,145,1.4,1680,position
2020-01-02,TXO,202001,12900.0,call,1.6,1.6,1.6,1.6,11,0.0,0,after_market
2020-01-02,TXO,202001,12900.0,put,805.0,805.0,805.0,805.0,1,800.0,1,position
2020-01-02,TXO,202001,13000.0,call,1.3,1.7,0.7,0.8,82,0.8,1491,position
2020-01-02,TXO,202001,13000.0,call,0.9,1.2,0.9,1.2,21,0.0,0,after_market
2020-01-02,TXO,202001,13100.0,call,0.7,0.7,0.7,0.7,1,0.7,334,position
2020-01-02,TXO,202001,13300.0,call,0.4,0.4,0.4,0.4,1,0.4,486,position
2020-01-02,TXO,202001,13400.0,call,0.3,0.3,0.3,0.3,6,0.0,0,after_market
2020-01-02,TXO,202001,13500.0,call,0.2,0.2,0.2,0.2,1,0.0,0,after_market
2020-01-02,TXO,202001,14000.0,call,0.1,0.1,0.1,0.1,8,0.1,266,position
2020-01-02,TXO,202002,9700.0,put,3.1,3.5,3.1,3.4,47,3.4,272,position
2020-01-02,TXO,202002,9800.0,put,3.1,3.3,3.1,3.3,2,3.6,59,position
2020-01-02,TXO,202002,10000.0,put,5.1,5.6,4.0,4.0,22,4.0,300,position
2020-01-02,TXO,202002,10200.0,put,5.0,6.0,5.0,6.0,7,6.0,99,position
2020-01-02,TXO,202002,10400.0,put,7.3,7.3,7.3,7.3,1,6.7,46,position
2020-01-02,TXO,202002,10500.0,put,8.0,8.0,7.0,7.0,45,7.0,125,position
2020-01-02,TXO,202002,10500.0,put,12.5,13.5,10.0,13.5,29,0.0,0,after_market
2020-01-02,TXO,202002,10600.0,put,8.9,8.9,8.0,8.0,154,8.0,586,position
2020-01-02,TXO,202002,10600.0,put,13.0,13.0,13.0,13.0,21,0.0,0,after_market
2020-01-02,TXO,202002,10700.0,put,13.0,13.0,10.5,10.5,25,10.5,166,position
2020-01-02,TXO,202002,10800.0,put,15.0,15.0,12.0,12.0,126,12.0,472,position
2020-01-02,TXO,202002,10800.0,put,10.0,20.0,10.0,20.0,7,0.0,0,after_market
2020-01-02,TXO,202002,10900.0,call,1170.0,1170.0,1170.0,1170.0,1,1210.0,2,position
2020-01-02,TXO,202002,10900.0,put,18.0,19.0,14.5,15.0,33,15.0,584,position
2020-01-02,TXO,202002,10900.0,put,24.5,24.5,24.5,24.5,1,0.0,0,after_market
2020-01-02,TXO,202002,11000.0,call,1100.0,1100.0,1100.0,1100.0,1,1110.0,6,position
2020-01-02,TXO,202002,11000.0,put,22.0,23.0,18.0,18.0,163,18.0,1512,position
2020-01-02,TXO,202002,11000.0,put,30.5,30.5,28.0,28.0,27,0.0,0,after_market
2020-01-02,TXO,202002,11100.0,call,1010.0,1020.0,1010.0,1020.0,2,1010.0,6,position
2020-01-02,TXO,202002,11100.0,put,28.0,28.0,21.5,22.5,56,22.5,786,position
2020-01-02,TXO,202002,11100.0,put,36.5,41.0,33.0,33.0,8,0.0,0,after_market
2020-01-02,TXO,202002,11200.0,put,38.0,38.0,27.5,28.0,153,28.0,715,position
2020-01-02,TXO,202002,11200.0,put,45.5,45.5,40.0,40.0,3,0.0,0,after_market
2020-01-02,TXO,202002,11300.0,put,48.0,48.0,35.0,35.5,205,35.5,856,position
2020-01-02,TXO,202002,11300.0,put,56.0,58.0,55.0,56.0,22,0.0,0,after_market
2020-01-02,TXO,202002,11400.0,put,60.0,60.0,45.0,46.5,382,46.5,4140,position
2020-01-02,TXO,202002,11400.0,put,71.0,75.0,67.0,67.0,55,0.0,0,after_market
2020-01-02,TXO,202002,11500.0,put,70.0,75.0,57.0,59.0,513,59.0,2981,position
2020-01-02,TXO,202002,11500.0,put,87.0,93.0,80.0,80.0,64,0.0,0,after_market
