date,is_session,is_settlement,kind,name,source,notes
2025-08-08,1,1,SESSION,,weekday_default,
2025-08-09,0,0,WEEKEND,,weekend,
2025-08-10,0,0,WEEKEND,,weekend,
2025-08-11,1,1,SESSION,,weekday_default,
2025-08-12,1,1,SESSION,,weekday_default,
2025-08-13,1,1,SESSION,,weekday_default,
2025-08-14,1,1,SESSION,,weekday_default,
2025-08-15,1,1,SESSION,,weekday_default,
2025-08-16,0,0,WEEKEND,,weekend,
2025-08-17,0,0,WEEKEND,,weekend,
2025-08-18,1,1,SESSION,,weekday_default,
2025-08-19,1,1,SESSION,,weekday_default,
2025-08-20,1,1,SESSION,,weekday_default,
2025-08-21,1,1,SESSION,,weekday_default,
2025-08-22,1,1,SESSION,,weekday_default,
2025-08-23,0,0,WEEKEND,,weekend,
2025-08-24,0,0,WEEKEND,,weekend,
2025-08-25,1,1,SESSION,,weekday_default,
2025-08-26,1,1,SESSION,,weekday_default,
2025-08-27,1,1,SESSION,,weekday_default,
2025-08-28,1,1,SESSION,,weekday_default,
2025-08-29,1,1,SESSION,,weekday_default,
2025-08-30,0,0,WEEKEND,,weekend,
2025-08-31,0,0,WEEKEND,,weekend,
2025-09-01,1,1,SESSION,,weekday_default,
2025-09-02,1,1,SESSION,,weekday_default,
2025-09-03,1,1,SESSION,,weekday_default,
2025-09-04,1,1,SESSION,,weekday_default,
2025-09-05,1,1,SESSION,,weekday_default,
2025-09-06,0,0,WEEKEND,,weekend,
2025-09-07,0,0,WEEKEND,,weekend,
2025-09-08,1,1,SESSION,,weekday_default,
2025-09-09,1,1,SESSION,,weekday_default,
2025-09-10,1,1,SESSION,,weekday_default,
2025-09-11,1,1,SESSION,,weekday_default,
2025-09-12,1,1,SESSION,,weekday_default,
2025-09-13,0,0,WEEKEND,,weekend,
2025-09-14,0,0,WEEKEND,,weekend,
2025-09-15,1,1,SESSION,,weekday_default,
2025-09-16,1,1,SESSION,,weekday_default,
2025-09-17,1,1,SESSION,,weekday_default,
2025-09-18,1,1,SESSION,,weekday_default,
2025-09-19,1,1,SESSION,,weekday_default,
2025-09-20,0,0,WEEKEND,,weekend,
2025-09-21,0,0,WEEKEND,,weekend,
2025-09-22,1,1,SESSION,,weekday_default,
2025-09-23,1,1,SESSION,,weekday_default,
2025-09-24,1,1,SESSION,,weekday_default,
2025-09-25,1,1,SESSION,,weekday_default,
