as_of_date,stock_id,name,industry,source,pit_note
2023-12-25,5838,華南銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5839,中華開發資本,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5839,A 開發銀特,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5840,國際票券,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5842,兆豐票券,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5843,兆豐商銀,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5844,第一銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5846,國泰人壽,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5847,玉山商銀,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5848,台新商銀,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5849,永豐銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5852,元大銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5857,台灣土地銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5858,臺灣銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5862,板信商業銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5865,富邦人壽保險,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5866,統一期,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5867,康和期貨,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5868,臺灣金融控股,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5870,花旗(台灣)商業銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5872,匯豐(台灣)商業銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5873,全球人壽保險,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5874,南山人壽保險,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5875,星展(台灣)商業銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5901,中友百貨,貿易百貨業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6008,凱基證,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6025,臺銀人壽,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6029,和泰產險,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6030,樂天國際銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6031,連線銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6033,一卡通,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6034,愛金卡,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6036,橘子支付,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6037,簡單支,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6038,街口電支,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6039,將來銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6040,全支付,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6475,岱煒,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6479,瑞寶基因,農業科技業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6483,原創,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6484,惠合再生醫學生技,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6497,亞獅康-KY,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6545,擎力,半導體業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6563,映智,半導體業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,6566,創益,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
