as_of_date,stock_id,name,market,security_type,industry,industry_norm,listing_date,source,pit_note
2026-09-04,6605,帝寶,上市,股票,汽車工業,汽車工業,2004/03/17,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6606,建德工業,上市,股票,電機機械,電機機械,2023/03/24,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6614,資拓宏宇,上市,股票,數位雲端,數位雲端,2025/11/25,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6625,必應,上市,股票,其他業,其他,2018/02/07,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6641,基士德-KY,上市,股票,綠能環保,綠能環保,2018/09/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6655,科定,上市,股票,其他業,其他,2018/11/28,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6657,華安,上市,股票,生技醫療業,生技醫療業,2023/06/12,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6658,聯策,上市,股票,其他電子業,其他電子業,2023/11/02,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6666,羅麗芬-KY,上市,股票,生技醫療業,生技醫療業,2018/11/19,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6668,中揚光,上市,股票,光電業,光電業,2018/12/12,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6669,緯穎,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2019/03/27,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6670,復盛應用,上市,股票,運動休閒,運動休閒,2018/12/18,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6671,三能-KY,上市,股票,居家生活,居家生活,2018/12/11,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6672,騰輝電子-KY,上市,股票,電子零組件業,電子零組件業,2019/04/17,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6674,鋐寶科技,上市,股票,通信網路業,通信網路業,2018/11/28,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6689,伊雲谷,上市,股票,數位雲端,數位雲端,2022/09/13,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6691,洋基工程,上市,股票,其他電子業,其他電子業,2022/01/03,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6695,芯鼎,上市,股票,半導體業,半導體業,2022/11/04,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6698,旭暉應材,上市,股票,其他電子業,其他電子業,2019/11/25,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
