date,nav_base,nav_l4,rel_l4_vs_base
2023-08-02,39847419.36548105,39385627.63456775,0.9884110003039912
2023-08-04,39942395.42676305,39500308.56678917,0.9889318891556098
2023-08-07,40038578.66060962,39552672.290118314,0.9878640454595022
2023-08-08,39804266.95423877,39328064.4895098,0.9880363965683266
2023-08-09,40081754.379394256,39618967.36538043,0.9884539232082181
2023-08-10,40035586.58043579,39616607.63929476,0.9895348369556355
2023-08-11,39938230.574186765,39565485.70632661,0.9906669658995592
2023-08-14,39564648.04687638,39229343.069635235,0.9915251368634981
2023-08-15,39227504.97914429,38898620.82204126,0.9916159807441771
2023-08-16,38780791.03716822,38497072.45906528,0.9926840435557125
2023-08-17,38556600.33279192,38250642.520368375,0.9920647098088851
2023-08-18,38532090.473693416,38220837.02882929,0.9919222279134681
2023-08-21,38569022.04045731,38282513.03219976,0.9925715252007943
2023-08-22,38522031.68892089,38271623.15600551,0.9934996021254143
2023-08-23,38449829.88405988,38182679.194736265,0.9930519669364163
2023-08-24,38573920.510337986,38233947.605716914,0.9911864570641722
2023-08-25,38304258.00763807,37961543.250314526,0.991052828715408
2023-08-28,38670750.87728069,38303939.42379509,0.990514498809458
2023-08-29,38700272.11509521,38270077.710969985,0.9888839436878939
2023-08-30,38823723.38573663,38433207.663815476,0.9899413119643072
2023-08-31,38274461.43893159,37881729.33031386,0.989739055917368
2023-09-01,38430617.79990743,38043377.458322726,0.9899236503664628
2023-09-04,38639870.94472874,38256755.545063004,0.9900849720690384
2023-09-05,38516902.26374525,38148325.53326879,0.9904307795068091
2023-09-06,38252185.96467995,37909731.33114651,0.9910474493183306
2023-09-07,38274024.73794045,37897617.434734285,0.9901654632408428
2023-09-08,38341848.824672304,37939589.44736115,0.9895086077056277
2023-09-11,38569297.63263054,38190655.26797715,0.9901828037352421
2023-09-12,38842829.66228081,38445253.32524307,0.9897644857366348
2023-09-13,38841458.52228081,38432433.32524307,0.9894693656572369
2023-09-14,39413964.57099639,38957485.58463127,0.9884183438196668
2023-09-15,39254466.43941118,38752271.494520515,0.9872066801451551
2023-09-18,39199056.64879417,38653423.64863327,0.9860804558372535
2023-09-19,39073991.59719366,38515305.79095181,0.9857018496599673
2023-09-20,39101720.59934709,38549423.51303331,0.9858753763811865
2023-09-21,38597882.12795599,38047049.00520097,0.9857289288327025
2023-09-22,38794246.03567133,38220471.02962205,0.9852097910210268
2023-09-25,38908199.038339205,38315711.394280836,0.9847721647698331
2023-09-26,38605388.6269725,37979758.99340674,0.9837942407571402
2023-09-27,38535705.06503756,37929862.96056191,0.9842784217012985
2023-09-28,38544531.61445259,37927899.10541827,0.9840020754382935
2023-10-02,38642966.19928156,38055519.07594391,0.9847980840728378
2023-10-03,38501635.48215119,37886880.906666465,0.9840330269666151
2023-10-04,37983491.972695015,37408902.43167895,0.984872650955075
2023-10-05,38288752.55240564,37649166.70454418,0.9832957251091933
2023-10-06,38581568.68860131,37998259.07594391,0.9848811328184867
2023-10-11,39372254.6946978,38743235.184589826,0.984023787436469
2023-10-12,39706275.81302251,39055797.040469304,0.9836177339920692
2023-10-13,39320026.48624186,38677220.81392594,0.9836519522045377
2023-10-16,39431429.43664038,38763596.97057652,0.9830634477216466
2023-10-17,39372787.98144495,38705454.83414391,0.9830509044059687
2023-10-18,39168746.27677509,38457561.06742336,0.9818430438307537
2023-10-19,39003971.69238313,38345394.47537104,0.9831151242184728
2023-10-20,38567600.7338206,37965355.27310798,0.9843846791282378
2023-10-23,38437957.40077861,37876140.85875686,0.9853838086097061
2023-10-24,38378820.307275206,37775700.95897417,0.9842850993471858
2023-10-25,38307934.75016924,37750934.89665497,0.9854599352028026
2023-10-26,37965738.74147041,37431322.86043967,0.9859237328510879
2023-10-27,38316248.54845968,37749100.03441994,0.9851982243689006
2023-10-30,38071020.62345919,37528830.887198925,0.9857584659570127
2023-10-31,38115818.13961372,37549500.928467505,0.9851421997798431
2023-11-01,38286179.8028635,37746562.648898266,0.9859056934710191
2023-11-02,38818912.163341776,38185377.021069184,0.9836797296223343
2023-11-03,39144571.396281615,38498199.26866317,0.9834875666136468
2023-11-06,39349658.81051795,38678573.5002598,0.9829455875719366
2023-11-07,39325529.75242849,38645467.42614639,0.9827068489461327
2023-11-08,39354448.38375406,38662117.49688934,0.9824078111802343
2023-11-09,39218670.03314469,38496361.534787446,0.9815825346003114
2023-11-10,39270814.31242849,38597829.54194264,0.9828629789764033
2023-11-13,39355669.01436342,38677745.574787475,0.982774439958611
2023-11-14,39426134.475510634,38748033.576768264,0.9828007257682446
2023-11-15,40040995.104289204,39414297.60204437,0.9843486032099711
2023-11-16,40104256.25199575,39438109.13897909,0.983389615585166
